virtue_pk,virtue_title,prevented_family_pk,prevented_family_name,crossLink_Opposes,opposed_fallacies_readable,AIF_skosDirectRef,AIF_skosMappingType,link_type,justification
3,Argument réel,1,Insuffisance,3;1297,3 Argument vide . 1297 Preuve par assertion,Argument from Sign,"Les éléments invoqués sont-ils concrets, vérifiables et pertinents pour la conclusion ?",crossLink_Opposes,L'argument réel prévient l'argument vide en rétablissant l'exigence que les prémisses fournissent des signes contrôlables de la conclusion.
4,Argument déductif,1,Insuffisance,784;727,784 Syllogisme invalide . 727 Erreur de logique propositionnelle,Argument from Rule,La conclusion suit-elle nécessairement des prémisses selon une règle logique valide ?,crossLink_Opposes,L'argument déductif prévient les erreurs de validité en vérifiant que la règle d'inférence autorise bien le passage des prémisses à la conclusion.
5,Argument inductif,1,Insuffisance,759;596,759 Conclusion hâtive . 596 Échantillon biaisé,Argument from Example,"Les exemples sont-ils assez nombreux, pertinents et représentatifs pour soutenir probablement la conclusion ?",crossLink_Opposes,L'argument inductif prévient la conclusion hâtive en rétablissant l'exigence d'exemples suffisants et révisables.
6,Preuves tangibles,1,Insuffisance,3;1297,3 Argument vide . 1297 Preuve par assertion,Argument from Sign,"Les preuves présentées sont-elles tangibles, vérifiables et réellement probantes ?",crossLink_Opposes,"Les preuves tangibles empêchent l'assertion nue en exigeant des faits, témoignages ou données contrôlables comme signes fiables."
7,Objectif clair,1,Insuffisance,667;1313,667 Imprécision . 1313 Évasion,Argument from Commitment,L'objectif du débat et les positions défendues sont-ils clairement établis ?,crossLink_Opposes,Un objectif clair prévient l'insuffisance argumentative en fixant précisément l'engagement discuté et ce qui doit être justifié.
8,Illustrer par des exemples,1,Insuffisance,33;759,33 Justification triviale . 759 Conclusion hâtive,Argument from Example,Les exemples choisis illustrent-ils de façon précise et pertinente la thèse défendue ?,crossLink_Opposes,Illustrer par des exemples évite la justification triviale lorsque les exemples sont suffisamment pertinents pour éclairer la conclusion.
9,Appuyer par des citations,1,Insuffisance,71;942,71 Argument d'autorité . 942 Fausse attribution,Argument from Expert Opinion,La citation provient-elle d'une source compétente et soutient-elle réellement l'argument ?,crossLink_Opposes,Appuyer par des citations prévient l'autorité abusive en vérifiant la compétence de la source et la pertinence exacte du propos cité.
10,Citer ses sources,1,Insuffisance,942;71,942 Fausse attribution . 71 Argument d'autorité,Argument from Position to Know,"La source est-elle précisément identifiable, correctement rapportée et placée dans son contexte ?",crossLink_Opposes,"Citer ses sources prévient la fausse attribution en rendant contrôlables l'origine, le contenu et le contexte de l'information."
11,Raisonner sans biais,1,Insuffisance,953;1242,953 Attention sélective . 1242 Biais théoriques,Argument from Bias,Le raisonnement tient-il compte des faits pertinents sans sélection biaisée en faveur d'une conclusion préconçue ?,crossLink_Opposes,Raisonner sans biais prévient l'attention sélective en restaurant l'examen équilibré des données pertinentes.
13,Sources crédibles,1,Insuffisance,71;942,71 Argument d'autorité . 942 Fausse attribution,Argument from Position to Know,La source est-elle en position fiable de connaître ce qu'elle affirme ?,crossLink_Opposes,Des sources crédibles empêchent l'autorité insuffisante en exigeant que l'information vienne d'une source réellement fiable.
14,Source bien évaluée,1,Insuffisance,71;953,71 Argument d'autorité . 953 Attention sélective,Argument from Position to Know,"La fiabilité, la compétence et les limites de la source ont-elles été évaluées de manière critique ?",crossLink_Opposes,Une source bien évaluée prévient l'appel insuffisant à l'autorité en contrôlant les raisons de lui faire confiance.
15,Journal réputé,1,Insuffisance,71;942,71 Argument d'autorité . 942 Fausse attribution,Argument from Position to Know,Le média cité possède-t-il une réputation vérifiable d'exactitude et de rigueur éditoriale ?,crossLink_Opposes,Le recours à un journal réputé prévient l'autorité faible en fondant l'information sur une pratique éditoriale contrôlable.
16,Publication scientifique,1,Insuffisance,71;596,71 Argument d'autorité . 596 Échantillon biaisé,Argument from Expert Opinion,La publication est-elle évaluée par des pairs compétents et méthodologiquement fiable ?,crossLink_Opposes,La publication scientifique prévient l'autorité insuffisante en soumettant la preuve à un contrôle expert indépendant.
17,Autorité compétente,1,Insuffisance,71;942,71 Argument d'autorité . 942 Fausse attribution,Argument from Expert Opinion,L'autorité invoquée est-elle compétente dans le domaine précis concerné ?,crossLink_Opposes,L'autorité compétente prévient l'appel abusif à l'autorité en exigeant une expertise pertinente au sujet traité.
18,Expert du domaine,1,Insuffisance,71;1242,71 Argument d'autorité . 1242 Biais théoriques,Argument from Expert Opinion,"L'expert possède-t-il une expertise reconnue, pertinente et fiable dans ce domaine ?",crossLink_Opposes,L'expert du domaine prévient l'autorité fallacieuse en restaurant la question de la compétence spécialisée et de la fiabilité.
19,Témoignage non controversé,1,Insuffisance,942;953,942 Fausse attribution . 953 Attention sélective,Argument from Witness Testimony,"Le témoignage est-il fiable, corroboré et exempt de controverse sérieuse ?",crossLink_Opposes,Le témoignage non controversé prévient l'insuffisance testimoniale en exigeant corroboration et absence de contestation décisive.
20,Conclusion validée,1,Insuffisance,1297;3,1297 Preuve par assertion . 3 Argument vide,Argument from Expert Opinion,La conclusion a-t-elle été validée par des preuves vérifiées et reconnues par la communauté compétente ?,crossLink_Opposes,La conclusion validée empêche la simple assertion en exigeant une reconnaissance fondée sur des preuves contrôlées.
21,Information confirmée,1,Insuffisance,942;71,942 Fausse attribution . 71 Argument d'autorité,Argument from Position to Know,L'information est-elle confirmée par des sources fiables et correctement identifiées ?,crossLink_Opposes,L'information confirmée prévient l'insuffisance en subordonnant l'acceptation de l'énoncé à la fiabilité des sources.
22,Faits vérifiés,1,Insuffisance,1297;953,1297 Preuve par assertion . 953 Attention sélective,Argument from Sign,Les prémisses factuelles ont-elles été vérifiées par un contrôle minutieux et indépendant ?,crossLink_Opposes,Les faits vérifiés empêchent la preuve par assertion en rétablissant la vérification effective des prémisses.
23,Preuves empiriques,1,Insuffisance,3;596,3 Argument vide . 596 Échantillon biaisé,Argument from Sign,"Les données empiriques sont-elles observables, vérifiables et pertinentes pour la conclusion ?",crossLink_Opposes,Les preuves empiriques préviennent l'argument vide en appuyant la thèse sur des observations contrôlables.
24,Hypothèse plausible,1,Insuffisance,55;1287,55 Sauvetage ad hoc . 1287 Pseudo-explication,Argument from Cause to Effect,"L'hypothèse est-elle plausible, nécessaire et reliée aux faits à expliquer ?",crossLink_Opposes,L'hypothèse plausible prévient le sauvetage ad hoc en exigeant une explication motivée par les faits plutôt qu'ajoutée artificiellement.
25,Sources indépendantes,1,Insuffisance,953;596,953 Attention sélective . 596 Échantillon biaisé,Argument from Position to Know,"Les sources sont-elles multiples, indépendantes et convergentes ?",crossLink_Opposes,Les sources indépendantes préviennent l'attention sélective en réduisant le risque qu'une seule perspective biaisée fonde l'argument.
26,Sources impartiales,1,Insuffisance,953;1024,953 Attention sélective . 1024 Biais naturels,Argument from Bias,La source est-elle suffisamment impartiale et dépourvue d'intérêt personnel dans la conclusion ?,crossLink_Opposes,Les sources impartiales préviennent l'insuffisance biaisée en vérifiant que l'information n'est pas orientée par un intérêt propre.
27,Sources sans biais social,1,Insuffisance,1174;953,1174 Biais culturels . 953 Attention sélective,Argument from Bias,La source est-elle exempte de biais socio-économiques susceptibles de fausser l'information ?,crossLink_Opposes,Les sources sans biais social préviennent l'insuffisance en contrôlant l'influence des biais sociaux sur les prémisses.
29,Complexité adaptée,1,Insuffisance,1345;33,1345 Complication exagérée . 33 Justification triviale,Argument from Verbal Classification,Le niveau de complexité retenu correspond-il réellement à la nature du sujet ?,crossLink_Opposes,La complexité adaptée prévient à la fois la simplification triviale et la complication excessive en ajustant l'analyse au problème réel.
30,Interprétation non partisane,1,Insuffisance,953;1242,953 Attention sélective . 1242 Biais théoriques,Argument from Bias,L'interprétation examine-t-elle les informations sans biais partisan déterminant ?,crossLink_Opposes,L'interprétation non partisane prévient l'attention sélective en restaurant l'évaluation objective des arguments disponibles.
31,Représentation parcimonieuse,1,Insuffisance,165;1345,165 Manque de parcimonie . 1345 Complication exagérée,Argument from Cause to Effect,L'explication est-elle aussi simple que possible sans perdre les éléments nécessaires à la compréhension ?,crossLink_Opposes,La représentation parcimonieuse prévient le manque de parcimonie en conservant seulement les hypothèses nécessaires et pertinentes.
32,Rasoir d'Ockham,1,Insuffisance,165;1287,165 Manque de parcimonie . 1287 Pseudo-explication,Argument from Cause to Effect,"Parmi les explications disponibles, la plus simple rend-elle adéquatement compte des faits ?",crossLink_Opposes,Le rasoir d'Ockham prévient la prolifération d'hypothèses inutiles en privilégiant l'explication suffisante la plus simple.
33,Rasoir de Hanlon,1,Insuffisance,707;1371,707 Inversion de causalité . 1371 Sophisme génétique,Argument from Cause to Effect,L'intention attribuée est-elle la meilleure explication causale des faits observés ?,crossLink_Opposes,Le rasoir de Hanlon prévient l'attribution causale insuffisante en demandant si l'ignorance ou l'erreur explique mieux les faits que la malveillance.
