virtue_pk,virtue_title,prevented_family_pk,prevented_family_name,crossLink_Opposes,opposed_fallacies_readable,AIF_skosDirectRef,AIF_skosMappingType,link_type,justification
154,Vérité des faits,887,Tricherie,889;1297,889 Mensonge · 1297 Preuve par assertion,Argument from Witness Testimony,"Les faits rapportés sont-ils exacts, vérifiés et fidèles à la réalité ?",crossLink_Opposes,La vérité des faits empêche la tricherie en rétablissant l'exigence que le témoignage ou l'énoncé factuel soit vérifiable plutôt qu'affirmé ou falsifié.
155,Attribution juste,887,Tricherie,942;889,942 Fausse attribution · 889 Mensonge,Argument from Witness Testimony,La source citée est-elle correctement identifiée et fidèlement rapportée ?,crossLink_Opposes,L'attribution juste empêche la tricherie en garantissant que l'autorité ou le témoignage invoqué correspond réellement à la source citée.
156,Considération équilibrée,887,Tricherie,953;177,953 Attention sélective · 177 Langage persuasif,Argument from Bias,La présentation des faits est-elle exempte de sélection partiale ou de cadrage orienté ?,crossLink_Opposes,La considération équilibrée empêche la tricherie en rétablissant l'examen impartial des informations pertinentes plutôt qu'une sélection avantageuse.
157,Considération nuancée,887,Tricherie,953;1282,953 Attention sélective · 1282 Relativisme abusif,Argument from Bias,Les points de vue pertinents sont-ils pris en compte sans effacer les différences de valeur probante ?,crossLink_Opposes,La considération nuancée empêche la tricherie en intégrant les perspectives pertinentes sans réduire l'évaluation à un tri partial ou à un relativisme commode.
158,Divulgation intégrale,887,Tricherie,953;889,953 Attention sélective · 889 Mensonge,Argument from Witness Testimony,Tous les faits nécessaires à une compréhension équitable ont-ils été divulgués ?,crossLink_Opposes,La divulgation intégrale empêche la tricherie en restaurant l'obligation de ne pas cacher les informations nécessaires au jugement.
160,Exigence réaliste,887,Tricherie,974;1011,974 Exigence renforcée · 1011 Exigence relâchée,Argument from Rule,"Les exigences posées sont-elles réalistes, explicites et appliquées équitablement ?",crossLink_Opposes,L'exigence réaliste empêche la tricherie en fixant des règles d'évaluation transparentes plutôt que des critères artificiellement durcis ou assouplis.
161,Charge de la preuve,887,Tricherie,1297;698,1297 Preuve par assertion · 698 Pétition de principe,Argument from Commitment,Celui qui avance l'affirmation en fournit-il une preuve suffisante ?,crossLink_Opposes,La charge de la preuve empêche la tricherie en obligeant le locuteur engagé par une thèse à la justifier au lieu de la présupposer.
162,Niveau de preuve approprié,887,Tricherie,974;1011,974 Exigence renforcée · 1011 Exigence relâchée,Argument from Rule,"Le niveau de preuve requis est-il clair, proportionné et identique pour les parties ?",crossLink_Opposes,Le niveau de preuve approprié empêche la tricherie en restaurant des critères d'acceptation mesurables et non manipulés selon l'intérêt du moment.
163,Positionnement clair,887,Tricherie,876;855,876 Ambiguïté narrative · 855 Équivoque,Argument from Commitment,La position défendue est-elle formulée clairement et assumée de façon stable ?,crossLink_Opposes,Le positionnement clair empêche la tricherie en rendant explicite l'engagement argumentatif et en évitant les déplacements ambigus de thèse.
164,Objectif non complaisant,887,Tricherie,992;1011,992 Vouloir le beurre et l’argent du beurre · 1011 Exigence relâchée,Argument from Rule,Les mêmes critères d'évaluation sont-ils appliqués à soi-même et à l'adversaire ?,crossLink_Opposes,L'objectif non complaisant empêche la tricherie en rétablissant une règle symétrique d'évaluation au lieu d'un privilège accordé à sa propre position.
165,Identifier les points de vigilance,887,Tricherie,340;1345,340 Appel aux conséquences · 1345 Complication exagérée,Argument from Danger,"Les risques invoqués sont-ils réels, pertinents et accompagnés de mesures proportionnées ?",crossLink_Opposes,Identifier les points de vigilance empêche la tricherie en traitant les risques comme des dangers évaluables plutôt que comme des peurs manipulées ou amplifiées.
166,Conflits d'intérêts,887,Tricherie,420;953,420 Jeu de pouvoir · 953 Attention sélective,Argument from Bias,Les intérêts susceptibles d'influencer la position sont-ils reconnus et pris en compte ?,crossLink_Opposes,La reconnaissance des conflits d'intérêts empêche la tricherie en exposant les sources possibles de partialité qui pourraient orienter l'argumentation.
168,Universalisme,887,Tricherie,1174;1242,1174 Biais culturels · 1242 Biais théoriques,Argument from Values,Les valeurs invoquées peuvent-elles être défendues au-delà d'un point de vue particulier ou partisan ?,crossLink_Opposes,L'universalisme empêche la tricherie en exigeant que les arguments soient évalués selon une portée générale plutôt que selon un biais local ou doctrinal.
169,Reconnaître ses biais,887,Tricherie,1024;953,1024 Biais naturels · 953 Attention sélective,Argument from Bias,Mes propres biais susceptibles d'affecter le jugement ont-ils été identifiés ?,crossLink_Opposes,Reconnaître ses biais empêche la tricherie en restaurant la question de l'influence de ses dispositions cognitives sur la sélection et l'interprétation des raisons.
170,Comprendre les biais d'autrui,887,Tricherie,1024;1352,1024 Biais naturels · 1352 Empoisonnement du puits,Argument from Bias,Les biais possibles de l'interlocuteur sont-ils compris sans disqualifier abusivement sa position ?,crossLink_Opposes,Comprendre les biais d'autrui empêche la tricherie en contextualisant une position sans transformer cette contextualisation en attaque préalable.
171,Conscience interculturelle,887,Tricherie,1174;1282,1174 Biais culturels · 1282 Relativisme abusif,Argument from Bias,Les différences culturelles pertinentes sont-elles prises en compte sans relativiser indûment la vérité ?,crossLink_Opposes,La conscience interculturelle empêche la tricherie en évitant l'ethnocentrisme tout en maintenant l'exigence d'évaluation rationnelle des arguments.
172,Reconnaître ses biais culturels,887,Tricherie,1174;953,1174 Biais culturels · 953 Attention sélective,Argument from Bias,L'influence de ma culture sur mon jugement a-t-elle été reconnue et corrigée ?,crossLink_Opposes,Reconnaître ses biais culturels empêche la tricherie en rendant visibles les cadres culturels qui pourraient orienter l'analyse de manière sélective.
173,Comprendre les biais culturels d’autrui,887,Tricherie,1174;1371,1174 Biais culturels · 1371 Sophisme génétique,Argument from Bias,Les biais culturels d'autrui sont-ils pris en compte sans réduire son argument à son origine ?,crossLink_Opposes,Comprendre les biais culturels d'autrui empêche la tricherie en contextualisant le discours sans le disqualifier par sa seule provenance culturelle.
174,Mettre les idéologies à distance,887,Tricherie,1242;953,1242 Biais théoriques · 953 Attention sélective,Argument from Bias,L'argument est-il évalué indépendamment de l'adhésion préalable à une idéologie ?,crossLink_Opposes,Mettre les idéologies à distance empêche la tricherie en restaurant l'examen impartial des raisons au lieu d'une sélection guidée par une doctrine.
175,Reconnaître ses biais idéologiques,887,Tricherie,1242;844,1242 Biais théoriques · 844 Sophisme d'association,Argument from Bias,Mes convictions idéologiques susceptibles d'influencer mon jugement ont-elles été reconnues ?,crossLink_Opposes,Reconnaître ses biais idéologiques empêche la tricherie en identifiant les engagements doctrinaux qui pourraient fausser l'évaluation des arguments.
176,Tenir compte des biais idéologiques,887,Tricherie,1242;1352,1242 Biais théoriques · 1352 Empoisonnement du puits,Argument from Bias,Les biais idéologiques des parties sont-ils contextualisés sans servir à les discréditer d'avance ?,crossLink_Opposes,Tenir compte des biais idéologiques empêche la tricherie en situant les arguments dans leur cadre doctrinal sans les remplacer par une disqualification.
177,Acceptation de l'incertitude,887,Tricherie,644;658,644 Probabilités faussées · 658 Infini fallacieux,Argument from Sign,Le degré d'incertitude est-il reconnu et traité par des probabilités fiables plutôt que par une certitude feinte ?,crossLink_Opposes,L'acceptation de l'incertitude empêche la tricherie en rétablissant une évaluation probabiliste honnête lorsque les données ne permettent pas de certitude.
178,Démarche scientifique,887,Tricherie,596;633,596 Échantillon biaisé · 633 Relation infondée,Argument from Cause to Effect,L'hypothèse est-elle testée par une méthode empirique fiable établissant correctement les relations pertinentes ?,crossLink_Opposes,"La démarche scientifique empêche la tricherie en soumettant les explications aux données, aux contrôles et à la vérification empirique plutôt qu'à l'affirmation orientée."
