fallacy_pk,family,soussousfamille,fallacy_name,shape,AIF_skosDirectRef,AIF_skosExceptionRef,AIF_skosMappingType,AIF_skosOther,attack_in_prod,source_doc,confidence,justification
801,Abus de langage,Acception vague,Défaut d’élucidation,direct-conflict,VagueVerbalClassification_Inference,,skos:narrowMatch,,undercut,498-aif-vague-definition-cluster.md,HIGH,"P2 transcription — serialized verbatim from ratified cluster doc 498-aif-vague-definition-cluster.md (explicit per-leaf Proposal line). Shape direct-conflict. Attack layer already in prod (undercut/RA-node); this tranche adds the skos layer only. 0 re-modeling (census P2: 'sérialisation d'un contenu vetté'). Direct-conflict pattern (scheme as DirectRef, no ExceptionRef)."
802,Abus de langage,Acception vague,Indéfinissabilité,direct-conflict,VagueVerbalClassification_Inference,,skos:broadMatch,,undercut,498-aif-vague-definition-cluster.md,HIGH,"P2 transcription — serialized verbatim from ratified cluster doc 498-aif-vague-definition-cluster.md (explicit per-leaf Proposal line). Shape direct-conflict. Attack layer already in prod (undercut/RA-node); this tranche adds the skos layer only. 0 re-modeling (census P2: 'sérialisation d'un contenu vetté'). Direct-conflict pattern (scheme as DirectRef, no ExceptionRef)."
803,Abus de langage,Acception vague,Concept essentiellement contesté,direct-conflict,VagueVerbalClassification_Inference,,skos:closeMatch,,undercut,498-aif-vague-definition-cluster.md,HIGH,"P2 transcription — serialized verbatim from ratified cluster doc 498-aif-vague-definition-cluster.md (explicit per-leaf Proposal line). Shape direct-conflict. Attack layer already in prod (undercut/RA-node); this tranche adds the skos layer only. 0 re-modeling (census P2: 'sérialisation d'un contenu vetté'). Direct-conflict pattern (scheme as DirectRef, no ExceptionRef)."
805,Abus de langage,Acception arbitraire,Incongruité,full,ArbitraryVerbalClassification_Inference,PropertyNotExistant_Conflict,skos:closeMatch,,undercut,498-aif-arbitrary-definition-cluster.md,HIGH,P2 transcription — serialized verbatim from ratified cluster doc 498-aif-arbitrary-definition-cluster.md (explicit per-leaf Proposal line). Shape full. Attack layer already in prod (undercut/RA-node); this tranche adds the skos layer only. 0 re-modeling (census P2: 'sérialisation d'un contenu vetté').
806,Abus de langage,Acception arbitraire,Définition trop large,full,ArbitraryVerbalClassification_Inference,PropertyNotExistant_Conflict,skos:narrowMatch,,undercut,498-aif-arbitrary-definition-cluster.md,HIGH,P2 transcription — serialized verbatim from ratified cluster doc 498-aif-arbitrary-definition-cluster.md (explicit per-leaf Proposal line). Shape full. Attack layer already in prod (undercut/RA-node); this tranche adds the skos layer only. 0 re-modeling (census P2: 'sérialisation d'un contenu vetté').
807,Abus de langage,Acception arbitraire,Définition trop restrictive,full,ArbitraryVerbalClassification_Inference,PropertyNotExistant_Conflict,skos:narrowMatch,,undercut,498-aif-arbitrary-definition-cluster.md,HIGH,P2 transcription — serialized verbatim from ratified cluster doc 498-aif-arbitrary-definition-cluster.md (explicit per-leaf Proposal line). Shape full. Attack layer already in prod (undercut/RA-node); this tranche adds the skos layer only. 0 re-modeling (census P2: 'sérialisation d'un contenu vetté').
826,Abus de langage,Définition inconsistante,Définition incohérente,full,Logical_Conflict,VerbalClassification_Inference,skos:closeMatch,,undercut,498-aif-inconsistent-definition-cluster.md,HIGH,P2 transcription — serialized verbatim from ratified cluster doc 498-aif-inconsistent-definition-cluster.md (explicit per-leaf Proposal line). Shape full. Attack layer already in prod (undercut/RA-node); this tranche adds the skos layer only. 0 re-modeling (census P2: 'sérialisation d'un contenu vetté').
827,Abus de langage,Définition inconsistante,Conditions conflictuelles,direct-conflict,Logical_Conflict,,skos:broadMatch,,undercut,498-aif-inconsistent-definition-cluster.md,HIGH,"P2 transcription — serialized verbatim from ratified cluster doc 498-aif-inconsistent-definition-cluster.md (explicit per-leaf Proposal line). Shape direct-conflict. Attack layer already in prod (undercut/RA-node); this tranche adds the skos layer only. 0 re-modeling (census P2: 'sérialisation d'un contenu vetté'). Direct-conflict pattern (scheme as DirectRef, no ExceptionRef)."
828,Abus de langage,Définition inconsistante,Concept volé,direct-conflict,InconsistentCommitment_Inference,,skos:closeMatch,,undercut,498-aif-inconsistent-definition-cluster.md,HIGH,"P2 transcription — serialized verbatim from ratified cluster doc 498-aif-inconsistent-definition-cluster.md (explicit per-leaf Proposal line). Shape direct-conflict. Attack layer already in prod (undercut/RA-node); this tranche adds the skos layer only. 0 re-modeling (census P2: 'sérialisation d'un contenu vetté'). Direct-conflict pattern (scheme as DirectRef, no ExceptionRef)."
830,Abus de langage,Définition inconsistante,Argument du dictionnaire,full,ArbitraryVerbalClassification_Inference,VerbalClassification_Inference,skos:narrowMatch,,undercut,498-aif-inconsistent-definition-cluster.md,HIGH,P2 transcription — serialized verbatim from ratified cluster doc 498-aif-inconsistent-definition-cluster.md (explicit per-leaf Proposal line). Shape full. Attack layer already in prod (undercut/RA-node); this tranche adds the skos layer only. 0 re-modeling (census P2: 'sérialisation d'un contenu vetté').
831,Abus de langage,Définition inconsistante,Sophisme définiste,direct-conflict,VagueVerbalClassification_Inference,,skos:narrowMatch,,undercut,498-aif-inconsistent-definition-cluster.md,HIGH,"P2 transcription — serialized verbatim from ratified cluster doc 498-aif-inconsistent-definition-cluster.md (explicit per-leaf Proposal line). Shape direct-conflict. Attack layer already in prod (undercut/RA-node); this tranche adds the skos layer only. 0 re-modeling (census P2: 'sérialisation d'un contenu vetté'). Direct-conflict pattern (scheme as DirectRef, no ExceptionRef)."
834,Abus de langage,Comparaison abusive,Comparaison abusive,direct-conflict,ExceptionSimilarityCase_Conflict,,skos:broadMatch,,undercut,498-aif-faulty-comparison-cluster.md,MED,"P2 transcription — serialized verbatim from ratified cluster doc 498-aif-faulty-comparison-cluster.md (explicit per-leaf Proposal line). Shape direct-conflict. Attack layer already in prod (undercut/RA-node); this tranche adds the skos layer only. 0 re-modeling (census P2: 'sérialisation d'un contenu vetté'). Direct-conflict pattern (scheme as DirectRef, no ExceptionRef)."
836,Abus de langage,Comparaison abusive,Classification non exclusive,full,BiasedClassification_Conflict,VerbalClassification_Inference,skos:closeMatch,,undercut,498-aif-faulty-comparison-cluster.md,HIGH,P2 transcription — serialized verbatim from ratified cluster doc 498-aif-faulty-comparison-cluster.md (explicit per-leaf Proposal line). Shape full. Attack layer already in prod (undercut/RA-node); this tranche adds the skos layer only. 0 re-modeling (census P2: 'sérialisation d'un contenu vetté').
838,Abus de langage,Comparaison abusive,Distinction sans différence,full,PropertyNotExistant_Conflict,ArbitraryVerbalClassification_Inference,skos:broadMatch,,undermine,498-aif-faulty-comparison-cluster.md,HIGH,P2 transcription — serialized verbatim from ratified cluster doc 498-aif-faulty-comparison-cluster.md (explicit per-leaf Proposal line). Shape full. Attack layer already in prod (undermine/I-node); this tranche adds the skos layer only. 0 re-modeling (census P2: 'sérialisation d'un contenu vetté').
841,Abus de langage,Fausse analogie,Analogie étendue,full,DifferencesUndermineSimilarity_Conflict,Analogy_Inference,skos:narrowMatch,,undercut,498-aif-fallacious-comparison-cluster.md,HIGH,P2 transcription — serialized verbatim from ratified cluster doc 498-aif-fallacious-comparison-cluster.md (explicit per-leaf Proposal line). Shape full. Attack layer already in prod (undercut/RA-node); this tranche adds the skos layer only. 0 re-modeling (census P2: 'sérialisation d'un contenu vetté').
842,Abus de langage,Fausse analogie,Argument de la similarité fallacieuse,full,DifferencesUndermineSimilarity_Conflict,Analogy_Inference,skos:broadMatch,,undercut,498-aif-fallacious-comparison-cluster.md,HIGH,P2 transcription — serialized verbatim from ratified cluster doc 498-aif-fallacious-comparison-cluster.md (explicit per-leaf Proposal line). Shape full. Attack layer already in prod (undercut/RA-node); this tranche adds the skos layer only. 0 re-modeling (census P2: 'sérialisation d'un contenu vetté').
