virtue_pk,virtue_title,prevented_family_pk,prevented_family_name,crossLink_Opposes,opposed_fallacies_readable,AIF_skosDirectRef,AIF_skosMappingType,link_type,justification
136,Acceptions claires,798,Abus de langage,800;855,800=Acception vague; 855=Équivoque,Argument from Verbal Classification,"Le terme est-il employé dans une acception claire, stable et non équivoque ?",crossLink_Opposes,Des acceptions claires préviennent l’abus de langage en restaurant la question de savoir si la classification verbale repose sur un sens précis et partagé.
137,Langage précis,798,Abus de langage,855;804,855=Équivoque; 804=Acception arbitraire,Argument from Verbal Classification,La terminologie est-elle utilisée de manière cohérente et constante ?,crossLink_Opposes,Un langage précis empêche les glissements de sens en restaurant l’exigence d’un usage verbal stable dans l’argument.
138,Langage concis,798,Abus de langage,667;1345,667=Imprécision; 1345=Complication exagérée,Argument from Verbal Classification,La formulation est-elle assez complète sans devenir inutilement obscure ou surchargée ?,crossLink_Opposes,Un langage concis prévient l’imprécision et la complication abusive en restaurant la question de la clarté suffisante de la formulation.
139,Définition conforme,798,Abus de langage,804;800,804=Acception arbitraire; 800=Acception vague,Argument from Verbal Classification,La définition est-elle conforme à l’usage établi et pertinent du terme ?,crossLink_Opposes,Une définition conforme évite les acceptions arbitraires en restaurant la question de l’adéquation entre le terme et son usage reconnu.
140,Terminologie technique,798,Abus de langage,804;855,804=Acception arbitraire; 855=Équivoque,Argument from Expert Opinion,Le terme technique est-il employé conformément à l’usage reconnu par les spécialistes du domaine ?,crossLink_Opposes,La terminologie technique prévient l’abus de langage en restaurant la question de la conformité du terme à l’expertise du domaine.
141,Définition cohérente,798,Abus de langage,826;777,826=Définition incohérente; 777=Inconsistance,Argument from Verbal Classification,La définition fixe-t-elle un sens non contradictoire et clairement applicable ?,crossLink_Opposes,Une définition cohérente empêche l’incohérence définitionnelle en restaurant la question de la compatibilité interne du sens attribué.
143,Comparaison adéquate,798,Abus de langage,834;839,834=Comparaison abusive; 839=Fausse analogie,Argument from Analogy,Les éléments comparés présentent-ils des similitudes pertinentes pour la conclusion ?,crossLink_Opposes,Une comparaison adéquate prévient la comparaison abusive en restaurant la question de la pertinence réelle des ressemblances invoquées.
144,Analogie appropriée,798,Abus de langage,839;834,839=Fausse analogie; 834=Comparaison abusive,Argument from Analogy,La similitude invoquée justifie-t-elle réellement le transfert explicatif ou argumentatif ?,crossLink_Opposes,Une analogie appropriée évite la fausse analogie en restaurant la question de la force justificative de la ressemblance.
145,Association pertinente,798,Abus de langage,844;1371,844=Sophisme d'association; 1371=Sophisme génétique,Argument from Sign,L’association invoquée constitue-t-elle un indice pertinent d’un lien logique réel ?,crossLink_Opposes,Une association pertinente prévient les rapprochements fallacieux en restaurant la question du lien logique entre les éléments associés.
147,Syntaxe claire,798,Abus de langage,847;667,847=Amphibologie; 667=Imprécision,Argument from Verbal Classification,La structure de la phrase permet-elle une interprétation syntaxique claire et unique ?,crossLink_Opposes,Une syntaxe claire empêche l’amphibologie en restaurant la question de l’univocité produite par l’organisation de la phrase.
148,Grammaire correcte,798,Abus de langage,847;667,847=Amphibologie; 667=Imprécision,Argument from Verbal Classification,La construction grammaticale soutient-elle un sens correct et non ambigu ?,crossLink_Opposes,Une grammaire correcte prévient les ambiguïtés de construction en restaurant la question de la validité linguistique de l’énoncé.
149,Ponctuation correcte,798,Abus de langage,847;876,847=Amphibologie; 876=Ambiguïté narrative,Argument from Verbal Classification,La ponctuation clarifie-t-elle correctement les relations logiques entre les segments du texte ?,crossLink_Opposes,Une ponctuation correcte empêche les lectures ambiguës en restaurant la question de la délimitation logique du sens.
150,Expressions univoques,798,Abus de langage,855;800,855=Équivoque; 800=Acception vague,Argument from Verbal Classification,L’expression transmet-elle un sens unique et déterminé dans le contexte ?,crossLink_Opposes,Des expressions univoques préviennent l’équivoque en restaurant la question de l’unicité du sens communiqué.
151,Narration claire,798,Abus de langage,876;667,876=Ambiguïté narrative; 667=Imprécision,Argument from Witness Testimony,Le récit fournit-il un contexte suffisamment clair pour comprendre correctement les faits rapportés ?,crossLink_Opposes,Une narration claire prévient l’ambiguïté narrative en restaurant la question de la compréhensibilité contextuelle du témoignage ou du récit.
