virtue_pk,virtue_title,prevented_family_pk,prevented_family_name,crossLink_Opposes,opposed_fallacies_readable,AIF_skosDirectRef,AIF_skosMappingType,link_type,justification
36,Rhétorique éloquente,887,Tricherie,177;889,177 Langage persuasif . 889 Mensonge,Argument from Verbal Classification,La formulation renforce-t-elle la clarté sans orienter indûment l'adhésion ?,crossLink_Opposes,La rhétorique éloquente prévient la manipulation en restaurant l'exigence d'une formulation expressive mais fidèle au contenu argumentatif.
37,Adaptation discursive,887,Tricherie,300;953,300 Connivence . 953 Attention sélective,Argument from Position to Know,L'adaptation à l'auditoire respecte-t-elle l'information pertinente sans la sélectionner pour plaire ?,crossLink_Opposes,L'adaptation discursive prévient la connivence trompeuse en ajustant le discours sans cacher ni déformer ce qui importe au débat.
38,Vocabulaire approprié,887,Tricherie,855;800,855 Équivoque . 800 Acception vague,Argument from Verbal Classification,Les termes employés classent-ils correctement et précisément ce dont on parle ?,crossLink_Opposes,Le vocabulaire approprié prévient l'ambiguïté stratégique en restaurant l'exigence de termes précis et adaptés à la thèse.
39,Jargon mesuré,887,Tricherie,1345;667,1345 Complication exagérée . 667 Imprécision,Argument from Verbal Classification,"Le vocabulaire spécialisé est-il nécessaire, proportionné et compréhensible ?",crossLink_Opposes,Le jargon mesuré prévient l'obscurcissement du débat en restaurant la proportion entre technicité utile et intelligibilité.
40,Termes techniques justifiés,887,Tricherie,1345;826,1345 Complication exagérée . 826 Définition incohérente,Argument from Verbal Classification,Les termes techniques indispensables sont-ils définis de façon claire et cohérente ?,crossLink_Opposes,Les termes techniques justifiés préviennent la tricherie par opacité en restaurant l'obligation d'expliquer les catégories spécialisées utilisées.
41,Vocabulaire neutre,887,Tricherie,177;1352,177 Langage persuasif . 1352 Empoisonnement du puits,Argument from Bias,La formulation est-elle exempte de connotations biaisées qui orientent injustement le jugement ?,crossLink_Opposes,Le vocabulaire neutre prévient la présentation biaisée en restaurant la question de l'impartialité des termes employés.
42,Langage respectueux,887,Tricherie,1398;1352,1398 Attaque personnelle . 1352 Empoisonnement du puits,Argument from Commitment,Le langage respecte-t-il les interlocuteurs tout en restant pertinent pour la discussion ?,crossLink_Opposes,Le langage respectueux prévient la disqualification manipulatrice en restaurant l'engagement à discuter des raisons plutôt que des personnes.
43,Humour de bon goût,887,Tricherie,219;1398,219 Humour . 1398 Attaque personnelle,Argument from Values,L'humour sert-il une valeur de clarté ou de convivialité sans offenser ni détourner l'argument ?,crossLink_Opposes,L'humour de bon goût prévient la moquerie fallacieuse en restaurant la question de la convenance morale et argumentative du trait humoristique.
44,Humour adapté au contexte,887,Tricherie,219;1174,219 Humour . 1174 Biais culturels,Argument from Values,L'humour est-il adapté au contexte et aux sensibilités légitimes de l'auditoire ?,crossLink_Opposes,L'humour adapté au contexte prévient le détournement par plaisanterie déplacée en restaurant l'attention aux valeurs et au contexte de réception.
45,Humour respectueux,887,Tricherie,219;1398,219 Humour . 1398 Attaque personnelle,Argument from Values,L'humour respecte-t-il les personnes visées et laisse-t-il intacte la discussion des raisons ?,crossLink_Opposes,L'humour respectueux prévient la raillerie agressive en restaurant l'exigence de respect dans l'usage argumentatif de l'humour.
