virtue_pk,virtue_title,prevented_family_pk,prevented_family_name,crossLink_Opposes,opposed_fallacies_readable,AIF_skosDirectRef,AIF_skosMappingType,link_type,justification
81,Indépendance des prémisses,696,Erreur de raisonnement,698;1297,698 Pétition de principe . 1297 Preuve par assertion,Argument from Rule,Les prémisses soutiennent-elles la conclusion sans la présupposer ?,crossLink_Opposes,L'indépendance des prémisses empêche de tenir la conclusion pour acquise en restaurant l'exigence d'un appui logique autonome.
82,Causalité bien orientée,696,Erreur de raisonnement,707;719,707 Inversion de causalité . 719 Effet cigogne,Argument from Cause to Effect,La direction causale invoquée est-elle correctement établie ?,crossLink_Opposes,La causalité bien orientée prévient l'inversion ou la confusion causale en vérifiant que la cause précède et explique réellement l'effet.
83,Exclusion des causes alternatives,696,Erreur de raisonnement,633;719,633 Relation infondée . 719 Effet cigogne,Argument from Cause to Effect,Les causes alternatives plausibles ont-elles été examinées et écartées ?,crossLink_Opposes,L'exclusion des causes alternatives évite de conclure trop vite à une relation causale unique en restaurant l'examen des explications concurrentes.
85,Énoncés propositionnels,696,Erreur de raisonnement,727;847,727 Erreur de logique propositionnelle . 847 Amphibologie,Argument from Rule,Les énoncés propositionnels sont-ils formulés de façon claire et logique ?,crossLink_Opposes,Des énoncés propositionnels bien formés préviennent les erreurs de logique en rendant explicites les unités sur lesquelles les règles d'inférence s'appliquent.
86,Énoncés quantifiés,696,Erreur de raisonnement,735;759,735 Erreur de quantification . 759 Conclusion hâtive,Argument from Verbal Classification,La portée des quantificateurs est-elle correctement déterminée ?,crossLink_Opposes,L'usage rigoureux des quantificateurs empêche de généraliser ou de restreindre indûment une proposition en restaurant la question de sa portée exacte.
87,Modalités adéquates,696,Erreur de raisonnement,750;727,750 Erreur de modalité . 727 Erreur de logique propositionnelle,Argument from Rule,La modalité invoquée est-elle logiquement adéquate à l'énoncé ?,crossLink_Opposes,"Les modalités adéquates préviennent la confusion entre possible, nécessaire et suffisant en restaurant le contrôle logique du statut modal."
89,Raisonnement jalonné,696,Erreur de raisonnement,658;727,658 Infini fallacieux . 727 Erreur de logique propositionnelle,Argument from Rule,Chaque étape intermédiaire suit-elle validement de l'étape précédente ?,crossLink_Opposes,Le raisonnement jalonné empêche les sauts inférentiels en restaurant la vérification de chaque transition logique.
90,Démonstration cohérente,696,Erreur de raisonnement,777;727,777 Inconsistance . 727 Erreur de logique propositionnelle,Argument from Rule,L'enchaînement démonstratif reste-t-il cohérent à toutes ses étapes ?,crossLink_Opposes,La démonstration cohérente prévient les contradictions internes en restaurant l'exigence d'un enchaînement logique continu.
91,Cohérence des prémisses,696,Erreur de raisonnement,777;698,777 Inconsistance . 698 Pétition de principe,Argument from Commitment,Les prémisses sont-elles compatibles entre elles et vérifiables ?,crossLink_Opposes,La cohérence des prémisses empêche d'appuyer une conclusion sur des engagements incompatibles ou non contrôlés.
92,Cohérence interne,696,Erreur de raisonnement,777;992,777 Inconsistance . 992 Vouloir le beurre et l’argent du beurre,Argument from Commitment,Les prémisses et la conclusion sont-elles mutuellement compatibles ?,crossLink_Opposes,La cohérence interne prévient les positions contradictoires en restaurant l'exigence de compatibilité entre ce qui est admis et ce qui est conclu.
93,Raisonnement concluant,696,Erreur de raisonnement,784;759,784 Syllogisme invalide . 759 Conclusion hâtive,Argument from Rule,La conclusion découle-t-elle nécessairement des prémisses ?,crossLink_Opposes,Le raisonnement concluant empêche de tirer une conclusion non garantie en restaurant le critère de nécessité déductive.
94,Validité formelle,696,Erreur de raisonnement,784;727,784 Syllogisme invalide . 727 Erreur de logique propositionnelle,Argument from Rule,La forme logique de l'argument est-elle valide indépendamment de son contenu ?,crossLink_Opposes,La validité formelle prévient les erreurs de structure en restaurant l'évaluation de la forme inférentielle elle-même.
95,Inférence simple,696,Erreur de raisonnement,727;759,727 Erreur de logique propositionnelle . 759 Conclusion hâtive,Argument from Rule,La règle permet-elle bien de tirer cette conclusion à partir de cette seule prémisse ?,crossLink_Opposes,L'inférence simple prévient la conclusion abusive en restaurant la question de la règle logique autorisant le passage d'une prémisse à une conclusion.
96,Inférence : modus ponens,696,Erreur de raisonnement,727;784,727 Erreur de logique propositionnelle . 784 Syllogisme invalide,Argument from Rule,L'antécédent de l'implication est-il établi de sorte que le conséquent suive ?,crossLink_Opposes,Le modus ponens prévient les inférences conditionnelles fautives en restaurant l'application correcte de la règle d'implication.
97,Inférence : modus tollens,696,Erreur de raisonnement,727;784,727 Erreur de logique propositionnelle . 784 Syllogisme invalide,Argument from Rule,La négation du conséquent autorise-t-elle bien la négation de l'antécédent ?,crossLink_Opposes,Le modus tollens prévient les confusions conditionnelles en restaurant la règle valide reliant implication et négation du conséquent.
98,Inférence : conjonction,696,Erreur de raisonnement,727;777,727 Erreur de logique propositionnelle . 777 Inconsistance,Argument from Rule,Les deux propositions conjointes sont-elles chacune établies comme vraies ?,crossLink_Opposes,L'inférence par conjonction prévient la combinaison illégitime d'énoncés en restaurant l'exigence que chaque composante soit justifiée.
99,Inférence : élimination de la conjonction,696,Erreur de raisonnement,727;784,727 Erreur de logique propositionnelle . 784 Syllogisme invalide,Argument from Rule,La proposition conjointe autorise-t-elle bien l'affirmation de chaque composante ?,crossLink_Opposes,L'élimination de la conjonction prévient l'extraction fautive d'une composante en restaurant la règle logique qui la rend valide.
100,Inférence : double négation,696,Erreur de raisonnement,727;750,727 Erreur de logique propositionnelle . 750 Erreur de modalité,Argument from Rule,La double négation est-elle logiquement équivalente à l'affirmation correspondante ?,crossLink_Opposes,L'inférence par double négation prévient les erreurs de manipulation négative en restaurant l'équivalence logique pertinente.
101,Inférence : reductio ad absurdum,696,Erreur de raisonnement,777;727,777 Inconsistance . 727 Erreur de logique propositionnelle,Argument from Rule,La supposition contraire mène-t-elle réellement à une contradiction ?,crossLink_Opposes,La reductio ad absurdum prévient l'usage abusif de la contradiction en restaurant l'exigence que l'hypothèse opposée produise effectivement une impossibilité logique.
102,Inférence : résolution unitaire,696,Erreur de raisonnement,727;784,727 Erreur de logique propositionnelle . 784 Syllogisme invalide,Argument from Rule,Le littéral unitaire impose-t-il correctement la simplification de la clause ?,crossLink_Opposes,La résolution unitaire prévient les simplifications propositionnelles invalides en restaurant la règle qui fixe la valeur imposée par le littéral unitaire.
103,Inférence : résolution,696,Erreur de raisonnement,727;784,727 Erreur de logique propositionnelle . 784 Syllogisme invalide,Argument from Rule,Les deux clauses contiennent-elles bien des littéraux opposés permettant la résolution ?,crossLink_Opposes,La résolution prévient la déduction clausale invalide en restaurant la vérification des littéraux complémentaires qui autorisent l'inférence.
104,Syllogisme valide,696,Erreur de raisonnement,784;735,784 Syllogisme invalide . 735 Erreur de quantification,Argument from Rule,La conclusion syllogistique découle-t-elle validement des deux prémisses quantifiées ?,crossLink_Opposes,Le syllogisme valide prévient les formes syllogistiques fautives en restaurant le contrôle de la structure quantifiée qui relie prémisses et conclusion.
