path,coordonnées,catégorie,sous-catégorie,titre,baratineur,piocheur,contexte,enjeu,suggestion,CCby,category,subcategory,title,smoothTalker,drawer,context,issue,suggestion_en,category_ru,subcategory_ru,title_ru,smoothTalker_ru,drawer_ru,context_ru,issue_ru,suggestion_ru,category_pt,subcategory_pt,title_pt,smoothTalker_pt,drawer_pt,context_pt,issue_pt,suggestion_pt,édition février 2022,print_&_play_fevrier_2022,print_and_play,category_ar,subcategory_ar,title_ar,smoothTalker_ar,drawer_ar,context_ar,issue_ar,suggestion_ar,category_es,subcategory_es,title_es,smoothTalker_es,drawer_es,context_es,issue_es,suggestion_es,category_zh,subcategory_zh,title_zh,smoothTalker_zh,drawer_zh,context_zh,issue_zh,suggestion_zh,category_fa,subcategory_fa,title_fa,smoothTalker_fa,drawer_fa,context_fa,issue_fa,suggestion_fa
1.1.1,"1,0101",histoire,antiquité,La mère de César et Cléopâtre,"Aurelia Cotta, mère de César",Jules César,César est dictateur à vie de la Rome antique.,"Le baratineur doit dissuader César de se rapprocher de Cléopâtre, la reine d’Égypte.","Mère, j'ai pris la décision d'épouser Cléopâtre.",Argumentum,History,Antiquity,Caesar’s Mother and Cleopatra,Caesar's mother,Caesar,Caesar is dictator for life in ancient Rome.,"The smooth talker must dissuade Caesar from getting closer to Cleopatra, the queen of Egypt.","Mother, I made the decision to marry Cleopatra.",История,Античность,Цезарь и Клеопатра,Мать Цезаря,Цезарь,Цезарь является пожизненным диктатором Древнего Рима.,"Болтун должен отговорить его приближаться к Клеопатре, царице Египта.","Маменька, я принял решение жениться на Клеопатре.",História,Antiguidade,A mãe de César e Cleópatra,Mãe de César,César,César é ditador vitalício da Roma antiga.,"O embromador deve dissuadi-lo de se aproximar de Cleópatra, a rainha do Egito","Mãe, tomei a decisão de me casar com Cleópatra.",1,1,1,تاريخ,العصور القديمة,أم قيصر وكليوباترا,أوريليا كوتا، أم قيصر,يوليوس قيصر,قيصر ديكتاتور مدى الحياة في روما القديمة.,على البارعة في الكلام أن تثنيه عن التقرب من كليوباترا، ملكة مصر.,أمي، لقد قررت أن أتزوج كليوباترا.,historia,antigüedad,La madre de César y Cleopatra,"Aurelia Cota, madre de César",Julio César,César es dictador vitalicio de la antigua Roma.,"Disuadirlo de acercarse a Cleopatra, la reina de Egipto.","Madre, he tomado la decisión de casarme con Cleopatra.",历史,古代,凯撒的母亲与克娄巴特拉,凯撒的母亲奥蕾莉亚·科塔,尤利乌斯·凯撒,凯撒是古罗马的终身独裁官。,巴拉蒂尼尔必须劝他别再靠近埃及女王克娄巴特拉。,母亲，我决定迎娶克娄巴特拉。,تاریخ,باستان,مادر سزار و کلئوپاترا,Aurelia Cotta، مادر سزار,ژولیوس سزار,سزار دیکتاتور مادام‌العمر روم باستان است.,زبان‌باز باید او را منصرف کند که به کلئوپاترا، ملکه مصر، نزدیک شود.,مادر، تصمیم گرفته‌ام با کلئوپاترا ازدواج کنم.
1.1.2,"1,0102",histoire,antiquité,Détruire Carthage,Caton,Un opposant politique,"Dans la Rome antique, le baratineur est un sénateur.","Il doit convaincre le Sénat de partir en guerre pour détruire Carthage, cité rivale du bassin méditerranéen.",Carthage peut faire un puissant allié pour Rome.,Argumentum,History,Antiquity,Destroy Carthage,Cato,A political opponent,"In ancient Rome, the smooth talker is a senator.","He must convince the Senate to go to war to destroy Carthage, a rival city in the Mediterranean basin.",Carthage can make a powerful ally for Rome.,История,Античность,Карфаген должен быть разрушен,Катон,Политический противник,Болтун - сенатор в Древнем Риме.,"Он должен убедить Сенат начать войну и уничтожить Карфаген, конкурирующий город Средиземного моря.",Карфаген может стать мощным союзником Рима.,História,Antiguidade,Destruir Cartago,Cato,Um oponente político,"Na Roma antiga, o embromador é um senador.","Ele deve convencer o Senado a ir à guerra para destruir Cartago, uma cidade concorrente da bacia do Mediterrâneo.",Cartago pode tornar-se uma poderosa aliada de Roma.,,,,تاريخ,العصور القديمة,تدمير قرطاج,كاتون,معارض سياسي,في روما القديمة، البارع في الكلام سيناتور.,عليه أن يقنع مجلس الشيوخ بخوض الحرب لتدمير قرطاج، المدينة المنافسة في حوض البحر المتوسط.,يمكن لقرطاج أن تصبح حليفًا قويًا لروما.,historia,antigüedad,Destruir Cartago,Catón,Un opositor político,"En la antigua Roma, quien intenta convencer es un senador.","Convencer al Senado de ir a la guerra para destruir Cartago, una ciudad rival de la cuenca mediterránea.",Cartago puede ser una poderosa aliada para Roma.,历史,古代,摧毁迦太基,加图,一名政敌,在古罗马，巴拉蒂尼尔是一名元老。,他必须说服元老院发动战争，摧毁地中海地区的竞争城邦迦太基。,迦太基可以成为罗马强大的盟友。,تاریخ,باستان,نابود کردن کارتاژ,کاتون,یک مخالف سیاسی,در روم باستان، زبان‌باز یک سناتور است.,او باید سنا را قانع کند که برای نابودی کارتاژ، شهری رقیب در حوزه مدیترانه، به جنگ برود.,کارتاژ می‌تواند متحدی قدرتمند برای روم باشد.
1.1.3,"1,0103",histoire,antiquité,Veto,Un gladiateur,L'empereur Caligula,"Dans la Rome antique, le baratineur est un gladiateur engagé dans les jeux du cirque qui vient d’être désarmé.","Il doit convaincre l'empereur Caligula, réputé pour sa cruauté, de ne pas le sacrifier aux lions.",Voilà un mets de choix pour mes lions.,Argumentum,History,Antiquity,Veto,A gladiator,Emperor Caligula,"In ancient Rome, the smooth talker is a gladiator taking part in the circus games who has just been disarmed.","He must convince Emperor Caligula, renowned for his cruelty, not to sacrifice him to the lions.",Now that is a choice dish for my lions.,История,Античность,Вето,Гладиатор,Император Калигула,"Болтун - гладиатор в цирковых играх, и только что был разоружен.","Он должен убедить императора Калигулу, известного своей жестокостью, не бросать его львам на растерзание.","Ммм, вот мои котятки полакомятся!",História,Antiguidade,Veto,Um gladiador,Imperador Calígula,"Na Roma antiga, o embromador é um gladiador envolvido nos jogos circenses que acaba de ser desarmado.","Ele deve convencer o imperador Calígula, conhecido por sua crueldade, a não sacrificá-lo aos leões.",Eis um prato de primeira para os meus leões.,,,,تاريخ,العصور القديمة,فيتو,مصارع روماني,الإمبراطور كاليغولا,في روما القديمة، البارع في الكلام مصارع روماني يشارك في ألعاب الحلبة، وقد نُزع سلاحه للتو.,عليه أن يقنع الإمبراطور كاليغولا، المشهور بقسوته، بألا يقدمه طعامًا للأسود.,هممم، يا لها من وجبة فاخرة لقططي الصغيرة.,historia,antigüedad,Veto,Un gladiador,El emperador Calígula,"En la antigua Roma, quien intenta convencer es un gladiador de los juegos circenses que acaba de ser desarmado.","Convencer al emperador Calígula, famoso por su crueldad, de no echarlo a los leones.","Mmm, un bocado exquisito para mis gatitos.",历史,古代,否决,一名角斗士,皇帝卡利古拉,在古罗马，巴拉蒂尼尔是一名参加竞技场表演的角斗士，刚刚被打掉了武器。,他必须说服以残忍闻名的卡利古拉皇帝，不要把他献给狮子。,嗯，这可是喂我小猫咪的上等美味。,تاریخ,باستان,وتو,یک گلادیاتور,امپراتور کالیگولا,در روم باستان، زبان‌باز گلادیاتوری است که در بازی‌های سیرک شرکت کرده و همین حالا خلع سلاح شده است.,او باید امپراتور کالیگولا را، که به سنگدلی مشهور است، قانع کند که او را خوراک شیرها نکند.,هوم، چه لقمه دل‌چسبی برای بچه‌گربه‌های من.
1.1.4,"1,0104",histoire,antiquité,Les ombres réelles,Un sophiste rusé,Socrate,Socrate utilise l'allégorie de la caverne pour expliquer la nature de la réalité et de l'illusion.,Le sophiste doit convaincre Socrate que les ombres sont la véritable réalité.,Ne vois-tu pas que les formes de ces ombres nous trompent ?,,History,Antiquity,The Real Shadows,A cunning sophist,Socrates,Socrates uses the allegory of the cave to explain the nature of reality and illusion.,The sophist must convince Socrates that the shadows are the true reality.,Can you not see that the shapes of these shadows deceive us?,История,Античность,Настоящие тени,Хитрый софист,Сократ,"Сократ использует аллегорию пещеры, чтобы объяснить природу реальности и иллюзии.","Софист должен убедить Сократа, что тени и есть настоящая реальность.","Разве ты не видишь, что образы этих теней нас обманывают?",História,Antiguidade,As Sombras Reais,Um sofista astuto,Sócrates,Sócrates utiliza a alegoria da caverna para explicar a natureza da realidade e da ilusão.,O sofista deve convencer Sócrates de que as sombras são a verdadeira realidade.,Não vês que as formas destas sombras nos enganam?,,,,تاريخ,العصور القديمة,الظلال الحقيقية,سفسطائي ماكر,سقراط,يستخدم سقراط استعارة الكهف لشرح طبيعة الواقع والوهم.,على السفسطائي أن يقنع سقراط بأن الظلال هي الواقع الحقيقي.,ألا ترى أن أشكال هذه الظلال تخدعنا؟,historia,antigüedad,Las sombras reales,Un sofista astuto,Sócrates,Sócrates utiliza la alegoría de la caverna para explicar la naturaleza de la realidad y de la ilusión.,Convencer a Sócrates de que las sombras son la verdadera realidad.,¿No ves acaso que las formas de esas sombras nos engañan?,历史,古代,真实的影子,一位狡猾的智术师,苏格拉底,苏格拉底用洞穴寓言来解释现实与幻象的本质。,这位智术师必须说服苏格拉底：影子才是真正的现实。,你难道看不出，这些影子的形状正在欺骗我们吗？,تاریخ,باستان,سایه‌های واقعی,یک سوفسطایی حیله‌گر,سقراط,سقراط از تمثیل غار استفاده می‌کند تا ماهیت واقعیت و توهم را توضیح دهد.,سوفسطایی باید سقراط را قانع کند که سایه‌ها همان واقعیت حقیقی‌اند.,مگر نمی‌بینی که شکل‌های این سایه‌ها ما را فریب می‌دهند؟
1.1.5,"1,0105",histoire,antiquité,Le Cheval de Troie,Un espion grec,Sinon,"Devant les portes de Troie, les Grecs ont laissé un cadeau singulier : un gigantesque cheval de bois.","Le baratineur doit convaincre Priam, roi de Troie, de faire entrer le cheval de bois dans la ville.",Ce cheval est peut-être un piège des Grecs. Pourquoi le faire entrer dans Troie ?,,History,Antiquity,The Trojan Horse,A Greek spy,Sinon,"Before the gates of Troy, the Greeks have left a singular gift: a gigantic wooden horse.","The smooth talker must convince Priam, king of Troy, to bring the wooden horse into the city.",This horse may be a Greek trap. Why bring it into Troy?,История,Античность,Троянский конь,Греческий шпион,Синон,"Приам, царь Трои.",У ворот Трои греки оставляют необычный подарок: огромного деревянного коня.,Болтун должен убедить царя Трои втащить деревянного коня в город.,História,Antiguidade,O Cavalo de Troia,Um espião grego,Sínon,"Diante das portas de Troia, os gregos deixaram um presente singular: um gigantesco cavalo de madeira.","O embromador deve convencer Príamo, rei de Troia, a mandar entrar o cavalo de madeira na cidade.",Este cavalo talvez seja uma armadilha dos gregos. Por que fazê-lo entrar em Troia?,,,,تاريخ,العصور القديمة,حصان طروادة,جاسوس يوناني,سينون,بريام، ملك طروادة,أمام أبواب مدينة طروادة، يترك اليونانيون هدية غريبة: حصانًا خشبيًا هائلًا.,على الباراتينور أن يقنع ملك طروادة بإدخال الحصان الخشبي إلى المدينة.,historia,antigüedad,El caballo de Troya,Un espía griego,Sinón,"Príamo, rey de Troya","Ante las puertas de la ciudad de Troya, los griegos dejan un regalo peculiar: un gigantesco caballo de madera.",Convencer al rey de Troya de hacer entrar el caballo de madera en la ciudad.,历史,古代,特洛伊木马,一名希腊间谍,西农,特洛伊国王普里阿摩斯,在特洛伊城门前，希腊人留下了一份特别的礼物：一匹巨大的木马。,花言巧语者必须说服特洛伊国王把这匹木马拉进城里。,تاریخ,باستان,اسب تروا,یک جاسوس یونانی,سینون,پریام، شاه تروا,جلوی دروازه‌های شهر تروا، یونانی‌ها هدیه‌ای عجیب می‌گذارند: یک اسب چوبی غول‌پیکر.,براتینور باید شاه تروا را قانع کند که اسب چوبی را به داخل شهر بیاورد.
1.1.6,"1,0106",histoire,antiquité,L'expédition de l'Atlantide,Un mystique passionné,Un archéologue,"Le baratineur est persuadé qu’une cité mythique, disparue depuis des millénaires, a réellement existé.",Il doit convaincre un archéologue d'organiser une expédition coûteuse pour découvrir la cité perdue.,Les mythes ne sont que des légendes. Pourquoi gaspiller nos précieuses ressources là-dessus ?,,History,Antiquity,The Atlantis Expedition,A passionate mystic,An archaeologist,"The smooth talker is convinced that a mythical city, lost for millennia, really did exist.",He must convince an archaeologist to organize a costly expedition to discover the lost city.,Myths are just legends. Why waste our precious resources on this?,История,Античность,Экспедиция к Атлантиде,Увлечённый мистик,Археолог,"Болтун уверен, что мифический город, исчезнувший тысячи лет назад, действительно существовал.","Он должен убедить археолога организовать дорогую экспедицию, чтобы найти потерянный город.",Мифы — это всего лишь легенды. Зачем тратить на это наши драгоценные ресурсы?,História,Antiguidade,A expedição da Atlântida,Um místico apaixonado,Um arqueólogo,O Embromador está convencido da existência de uma cidade mítica desaparecida há milénios.,Tem de convencer um arqueólogo a organizar uma expedição dispendiosa para descobrir a cidade perdida.,Os mitos não passam de lendas. Porquê desperdiçar os nossos preciosos recursos nisso?,,,,تاريخ,العصور القديمة,بعثة أطلنطس,متصوف شغوف,عالم آثار,الباراتينور مقتنع بوجود مدينة أسطورية اختفت منذ آلاف السنين.,عليه أن يقنع عالم آثار بتنظيم بعثة مكلفة لاكتشاف المدينة المفقودة.,الأساطير ليست إلا حكايات. لماذا نهدر مواردنا الثمينة على هذا؟,historia,antigüedad,La expedición a la Atlántida,Un místico apasionado,Un arqueólogo,El baratinador está convencido de la existencia de una ciudad mítica desaparecida desde hace milenios.,Convencer a un arqueólogo de organizar una expedición costosa para descubrir la ciudad perdida.,Los mitos no son más que leyendas. ¿Por qué desperdiciar nuestros valiosos recursos en eso?,历史,古代,亚特兰蒂斯远征,一位狂热的神秘主义者,一位考古学家,花言巧语者坚信，有一座消失了数千年的神秘城市真实存在。,他必须说服一位考古学家组织一次耗资巨大的远征，去寻找这座失落之城。,神话不过是传说。为什么要把我们宝贵的资源浪费在这种事上？,تاریخ,باستان,لشکرکشی به آتلانتیس,یک عارف پرشور,یک باستان‌شناس,براتینور مطمئن است که شهری افسانه‌ای وجود داشته که هزاران سال پیش ناپدید شده است.,او باید یک باستان‌شناس را قانع کند که برای کشف شهر گمشده، یک لشکرکشی پرهزینه ترتیب دهد.,اسطوره‌ها فقط افسانه‌اند. چرا منابع گران‌بهایمان را برای این چیزها هدر بدهیم؟
1.2.1,"1,0201",histoire,moyen-âge et temps modernes,Jeanne d'Arc,Jeanne d'Arc,Charles VII,"Simple paysanne, la baratineuse rencontre Charles VII, futur roi d’une France en guerre contre les Anglais.","Elle doit le convaincre de lui confier une armée pour délivrer Orléans, assiégée par les Anglais.",Pourquoi ferais-je confiance à une paysanne pour mener mon armée ?,Argumentum,History,Middle Ages and modern era,Joan of Arc,Joan of Arc,Charles VII,"A simple peasant woman, the smooth talker meets Charles VII, the future king of a France at war with the English.","She must convince him to entrust her with an army to liberate Orléans, besieged by the English.",Why should I trust a peasant girl to lead my army?,История,Средневековье и Новое время,Жанна д'Арк,Жанна д'Арк,Карл VII,"На войне с англичанами болтун (простой крестьянин) встречает Карла VII, будущего короля Франции.","Он должна убедить его поручить ему командование армией, чтобы пойти и освободить осажденный Орлеан.",Как я могу доверить крестьянке руководство армией?,História,Idade Média e era moderna,Jeanne d'Arc,Jeanne d'Arc,Charles VII,"Simples camponesa, a embromadora encontra Charles VII, futuro rei de uma França em guerra contra os ingleses.","Ela deve convencê-lo a confiar-lhe o comando de um exército para ir e entregar a cidade de Orleans, que eles sitiam.",Por que eu confiaria em uma camponesa para liderar meu exército?,1,,1,تاريخ,العصور الوسطى والعصور الحديثة,جان دارك,جان دارك,شارل السابع,فلاحة بسيطة، تلتقي الباراتينور بشارل السابع، ملك فرنسا المستقبلي، في بلد يخوض حربًا ضد الإنجليز.,عليها أن تقنعه بأن يعهد إليها بقيادة جيش لتحرير مدينة أورليان التي يحاصرها الإنجليز.,ولماذا أثق بفلاحة لتقود جيشي؟,historia,Edad Media y era moderna,Juana de Arco,Juana de Arco,Carlos VII,"Simple campesina, la baratinadora conoce a Carlos VII, el futuro rey de una Francia en guerra contra los ingleses.","Convencerlo de confiarle el mando de un ejército para ir a liberar la ciudad de Orleans, que tienen sitiada.",¿Por qué confiar en una campesina para dirigir mi ejército?,历史,中世纪与近代,圣女贞德,圣女贞德,查理七世,花言巧语者原本只是个普通农家女孩，她见到了查理七世——未来的法国国王，而法国正与英格兰交战。,她必须说服他把一支军队的指挥权交给自己，前去解救被围困的奥尔良城。,我为什么要相信一个农家女孩能统领我的军队？,تاریخ,قرون وسطی و دوران مدرن,ژان دارک,ژان دارک,شارل هفتم,براتینور که دهقان‌زاده‌ای ساده است، با شارل هفتم، شاه آینده فرانسه‌ای در جنگ با انگلیسی‌ها، دیدار می‌کند.,او باید شارل را قانع کند که فرماندهی یک ارتش را به او بسپارد تا برای آزاد کردن شهر اورلئان، که انگلیسی‌ها محاصره‌اش کرده‌اند، برود.,چرا باید برای فرماندهی ارتشم به یک دختر دهقان اعتماد کنم؟
1.2.2,"1,0202",histoire,moyen-âge et temps modernes,La controverse de Valladolid,Un esclavagiste,Un empereur humaniste,"Dans un contexte esclavagiste, la controverse de Valladolid pose la question de l’existence d’une âme chez les Amérindiens.",Le baratineur doit convaincre l’empereur qu’il est légitime de les réduire en esclavage.,Les Amérindiens sont humains et méritent d'être traités comme tels.,Argumentum,History,Middle Ages and modern era,The Valladolid controversy,A slave driver,A humanist,"In a context of slavery, the Valladolid controversy raises the question of whether Amerindians have souls.",The smooth talker must convince the emperor that it is legitimate to enslave them.,The Amerindians are human and deserve to be treated as such.,История,Средневековье и Новое время,Вальядолидский спор,Рабовладелец,Император-гуманист,Вальядолидский спор поднимает вопрос существования души у американских индейцев.,"Болтун должен убедить императора в том, индейцев можно сделать рабами.",Мы обнаружили новых людей.,História,Idade Média e era moderna,A controvérsia de Valladolid,Uma escravidão,Um imperador humanista,"Em um contexto escravagista, a controvérsia de Valladolid levanta a questão da existência de uma alma entre os ameríndios.",O embromador deve convencer o imperador de que ele é legítimo para reduzi-los à escravidão.,Os ameríndios são humanos e merecem ser tratados como tal.,1,,,تاريخ,العصور الوسطى والعصور الحديثة,جدل بلد الوليد,تاجر عبيد,إمبراطور إنساني النزعة,في سياق تسوده العبودية، يطرح جدل بلد الوليد مسألة ما إذا كان للهنود الحمر روح.,على الباراتينور أن يقنع الإمبراطور بأن استعبادهم أمر مشروع.,الهنود الحمر بشر ويستحقون أن يُعاملوا على هذا الأساس.,historia,Edad Media y era moderna,La controversia de Valladolid,Un esclavista,Un emperador humanista,"En un contexto esclavista, la controversia de Valladolid plantea la cuestión de la existencia de alma en los amerindios.",Convencer al emperador de que es legítimo reducirlos a la esclavitud.,Los amerindios son humanos y merecen ser tratados como tales.,历史,中世纪与近代,巴利亚多利德辩论,一名奴隶主,一位人文主义皇帝,在奴隶制度盛行的背景下，巴利亚多利德辩论提出了一个问题：美洲原住民是否拥有灵魂。,花言巧语者必须说服皇帝：把他们贬为奴隶是正当的。,美洲原住民是人，理应被当作人来对待。,تاریخ,قرون وسطی و دوران مدرن,مناقشه وایادولید,یک برده‌دار,یک امپراتور انسان‌گرا,در فضایی برده‌دارانه، مناقشه وایادولید این پرسش را مطرح می‌کند که آیا سرخ‌پوستان آمریکا روح دارند یا نه.,براتینور باید امپراتور را قانع کند که به بردگی کشاندن آنان مشروع است.,سرخ‌پوستان آمریکا انسان‌اند و سزاوارند مثل انسان با آن‌ها رفتار شود.
1.2.3,"1,0203",histoire,moyen-âge et temps modernes,Napoléon et la campagne de Russie,Un conseiller militaire,Napoléon,Napoléon veut envahir la Russie.,Le baratineur doit tenter de l’en dissuader.,"Le tsar m’ennuie. Au printemps, nous marcherons sur Moscou.",Argumentum,History,Middle Ages and modern era,Napoleon and the Russian campaign,A military advisor,Napoleon,Napoleon wants to invade Russia.,The smooth talker must try to dissuade him.,The tsar bores me. In the spring we'll march to Moscow.,История,Средневековье и Новое время,Наполеон и российская кампания,Военный советник,Наполеон,Наполеон хочет вторгнуться в Россию.,Болтун должен попытаться отговорить его от этого.,Царь досаждает мне. Весной мы пойдем на Москву.,História,Idade Média e era moderna,Napoleão e a campanha russa,Um consultor militar,Napoleão,Napoleão quer invadir a Rússia.,O embromador deve tentar dissuadi-lo dele,"O czar me entedia. Na primavera, marcharemos sobre Moscou.",1,,,تاريخ,العصور الوسطى والعصور الحديثة,نابليون والحملة على روسيا,مستشار عسكري,نابليون,نابليون يريد غزو روسيا,على الباراتينور أن يحاول ثنيه عن ذلك,لقد ضاق صدري بالقيصر. في الربيع سنزحف نحو موسكو.,historia,Edad Media y era moderna,Napoleón y la campaña de Rusia,Un consejero militar,Napoleón,Napoleón quiere invadir Rusia,Intentar disuadirlo,El zar me aburre. En primavera marcharemos hacia Moscú.,历史,中世纪与近代,拿破仑与远征俄国,一位军事顾问,拿破仑,拿破仑想入侵俄国,说客必须想办法劝他打消这个念头,沙皇让我很不爽。等春天一到，我们就向莫斯科进军。,تاریخ,قرون وسطی و دوران مدرن,ناپلئون و لشکرکشی به روسیه,یک مشاور نظامی,ناپلئون,ناپلئون می‌خواهد به روسیه حمله کند,سخنور باید تلاش کند او را از این کار منصرف کند,تزار حوصله‌ام را سر برده. بهار به‌سوی مسکو راه می‌افتیم.
1.2.4,"1,0204",histoire,moyen-âge et temps modernes,Le droit de vote des femmes,Un révolutionnaire machiste,Une suffragette,"Pendant la Révolution française, des militantes réclament le droit de vote pour les femmes.",Le baratineur doit justifier pourquoi les femmes ne devraient pas obtenir ce droit.,La femme a le droit de monter à l’échafaud ; elle doit avoir également celui de monter à la tribune.,Argumentum,History,Middle Ages and modern era,Women’s Right to Vote,A misogynistic revolutionary,A suffragette,"During the French Revolution, activists demand voting rights for women.",The smooth talker must justify why women should not obtain that right.,Woman has the right to mount the scaffold; she must also have the right to mount the rostrum.,История,Средневековье и Новое время,Избирательное право для женщин,Революционер-женоненавистник,Суфражистка,Во время французской революции суфражистки борются за избирательное право для женщин.,"Болтун должен убедить ее, что женщины не должны получить право голоса.","Раз у женщины есть право подняться на эшафот, то должно быть и право взойти на трибуну.",História,Idade Média e era moderna,O direito de voto das mulheres,Um revolucionário misógino,Uma sufragista,"Durante a Revolução Francesa, militantes reivindicam o direito de voto para as mulheres.",O embromador deve justificar que as mulheres não devem obtê-lo.,A mulher tem o direito de subir ao cadafalso; deve ter igualmente o de subir à tribuna.,1,1,,تاريخ,العصور الوسطى والعصور الحديثة,حق النساء في التصويت,ثوري ذكوري,مناضلة من أجل حق التصويت,خلال الثورة الفرنسية، تعمل المناضلات من أجل حق التصويت على انتزاع هذا الحق للنساء.,على الباراتينور أن يبرر لماذا لا ينبغي للنساء الحصول عليه.,للمرأة حق الصعود إلى المقصلة؛ ويجب أن يكون لها كذلك حق الصعود إلى المنبر.,historia,Edad Media y era moderna,El derecho al voto de las mujeres,Un revolucionario machista,Una sufragista,"Durante la Revolución francesa, las sufragistas trabajan para conseguir el derecho al voto de las mujeres.",Justificar que las mujeres no deberían obtenerlo.,La mujer tiene derecho a subir al cadalso; debe tener igualmente el de subir a la tribuna.,历史,中世纪与近代,女性投票权,一位大男子主义的革命者,一位妇女参政论者,法国大革命期间，妇女参政论者们努力为女性争取投票权。,说客必须证明女人不该获得这项权利。,女人有权走上断头台；她也同样应当有权登上讲坛。,تاریخ,قرون وسطی و دوران مدرن,حق رأی زنان,یک انقلابی مردسالار,یک حق‌رأی‌خواه زن,در دوران انقلاب فرانسه، زنان حق‌رأی‌خواه برای به‌دست‌آوردن حق رأی زنان تلاش می‌کنند.,سخنور باید توجیه کند که زنان نباید این حق را به دست بیاورند.,زن حق دارد بالای دار برود؛ پس باید حق داشته باشد پشت تریبون هم برود.
