# 847 Layer-(c) label-distortion flag — per internal node. MEASURE not verdict. INPUT for ai-01 synthesis. GATED jsboige ratification. 0 prod CSV.
"# label_fit in {borrowed, unflagged}. borrowed=Latin/anglicism (taxonomy Latin col = ground truth + morphology, §2.1 b2). unflagged=NO mechanical flag (NOT verified scope match). stretched/narrowed (§2.1 b1) are SEMANTIC — two proxies tested & non-discriminatory: dispersion_fr SATURATED (median 0.94-1.00), n_en_groupings=1 everywhere (EN=FR translation, no axis-C structural signal in grouping layer)."
# combined_reading = label_fit x acompte decision_rule_tag. borrowed x A-candidate = PRIORITY (tradition-divergence -> bridge-node); borrowed x coherent = VINDICATED.
level,node,n_leaves_full,n_modelled,label_fit,borrowed_lang,dispersion_fr,n_en_groupings,acompte_tag,combined_reading
family(d1),Abus de langage,89,57,unflagged,-,1.0,1,B+A,"material-resistance + type-mix, no label signal"
family(d1),Erreur de raisonnement,102,14,unflagged,-,0.793,1,A-candidate,"tree-tension, NO mechanical label-distortion signal -> genuine axis-A mix OR human semantic read needed (stretched/narrowed not mechanically detectable)"
family(d1),Erreur mathématique,102,12,unflagged,-,0.968,1,B+A,"material-resistance + type-mix, no label signal"
family(d1),Influence,420,12,unflagged,-,0.885,1,coherent,"mechanism-coherent, no label signal"
family(d1),Insuffisance,174,16,unflagged,-,0.935,1,B+A,"material-resistance + type-mix, no label signal"
family(d1),Obstruction,126,12,unflagged,-,0.95,1,B+A,"material-resistance + type-mix, no label signal"
family(d1),Tricherie,394,22,unflagged,-,0.942,1,B+A,"material-resistance + type-mix, no label signal"
sub-family(d2),Ad hominem,46,4,borrowed,latin,0.875,1,A-candidate,"PRIORITY: borrowed x tree-tension -> tradition-divergence (bridge-node, do NOT bill as defect; corroborates #853 wiki-anchor)"
sub-family(d2),Ambiguïté,41,31,unflagged,-,1.0,1,B,"material-resistance, no label signal"
sub-family(d2),Appel à l'émotion,57,4,unflagged,-,1.0,1,coherent,"mechanism-coherent, no label signal"
sub-family(d2),Argument bâclé,68,7,unflagged,-,0.917,1,A-candidate,"tree-tension, NO mechanical label-distortion signal -> genuine axis-A mix OR human semantic read needed (stretched/narrowed not mechanically detectable)"
sub-family(d2),Arranger les faits,85,4,unflagged,-,0.939,1,B,"material-resistance, no label signal"
sub-family(d2),Causalité douteuse,29,5,unflagged,-,0.929,1,A-candidate,"tree-tension, NO mechanical label-distortion signal -> genuine axis-A mix OR human semantic read needed (stretched/narrowed not mechanically detectable)"
sub-family(d2),Changement de cap,51,5,unflagged,-,1.0,1,B+A,"material-resistance + type-mix, no label signal"
sub-family(d2),Comparaison fallacieuse,13,10,unflagged,-,1.0,1,B+A,"material-resistance + type-mix, no label signal"
sub-family(d2),Définition inexacte,34,16,unflagged,-,1.0,1,B+A,"material-resistance + type-mix, no label signal"
sub-family(d2),Généralisation abusive,37,4,unflagged,-,1.0,1,B+A,"material-resistance + type-mix, no label signal"
sub-family(d2),Manipulation mentale,239,5,unflagged,-,0.818,1,B+A,"material-resistance + type-mix, no label signal"
sub-family(d2),Mauvaise composition,32,4,unflagged,-,1.0,1,coherent,"mechanism-coherent, no label signal"
sub-family(d2),Mauvaise déduction,40,4,unflagged,-,0.875,1,B+A,"material-resistance + type-mix, no label signal"
sub-family(d2),Mauvaise interprétation,34,4,unflagged,-,0.923,1,A-candidate,"tree-tension, NO mechanical label-distortion signal -> genuine axis-A mix OR human semantic read needed (stretched/narrowed not mechanically detectable)"
sub-family(d2),Pensée biaisée,257,13,unflagged,-,0.946,1,A-candidate,"tree-tension, NO mechanical label-distortion signal -> genuine axis-A mix OR human semantic read needed (stretched/narrowed not mechanically detectable)"
sub-family(d2),Procédé rhétorique,123,3,unflagged,-,0.975,1,B,"material-resistance, no label signal"
sub-family(d2),Préjugé,63,4,unflagged,-,0.9,1,B+A,"material-resistance + type-mix, no label signal"
sub-family(d2),Refus du débat,31,4,unflagged,-,1.0,1,B+A,"material-resistance + type-mix, no label signal"
sub-family(d2),Résultat invalide,30,4,unflagged,-,1.0,1,B+A,"material-resistance + type-mix, no label signal"
sub-family(d2),Saboter le débat,48,3,unflagged,-,1.0,1,B+A,"material-resistance + type-mix, no label signal"
sub-family(d2),Surinterprétation,42,4,unflagged,-,1.0,1,B+A,"material-resistance + type-mix, no label signal"
sub-sub(d3),Acception arbitraire,22,6,unflagged,-,1.0,1,B+A,"material-resistance + type-mix, no label signal"
sub-sub(d3),Acception vague,4,4,unflagged,-,0.0,1,B+A,"material-resistance + type-mix, no label signal"
sub-sub(d3),Ambiguïté narrative,11,11,unflagged,-,1.0,1,B,"material-resistance, no label signal"
sub-sub(d3),Amphibologie,8,6,unflagged,-,1.0,1,B,"material-resistance, no label signal"
sub-sub(d3),Biais culturels,68,3,unflagged,-,1.0,1,B+A,"material-resistance + type-mix, no label signal"
sub-sub(d3),Biais naturels,150,8,unflagged,-,0.896,1,A-candidate,"tree-tension, NO mechanical label-distortion signal -> genuine axis-A mix OR human semantic read needed (stretched/narrowed not mechanically detectable)"
sub-sub(d3),Comparaison abusive,5,3,unflagged,-,0.0,1,B+A,"material-resistance + type-mix, no label signal"
sub-sub(d3),Définition inconsistante,7,5,unflagged,-,0.0,1,B,"material-resistance, no label signal"
sub-sub(d3),Equivoque,21,13,unflagged,-,1.0,1,B,"material-resistance, no label signal"
sub-sub(d3),Fausse analogie,5,4,unflagged,-,0.0,1,B+A,"material-resistance + type-mix, no label signal"
sub-sub(d3),Justification triviale,22,3,unflagged,-,1.0,1,coherent,"mechanism-coherent, no label signal"
