dataset,key,link_lang,resolved_url
fallacies,30,ru,https://ru.wikipedia.org/wiki/%D0%92%D0%B5%D1%80%D1%83%D1%8E%2C_%D0%B8%D0%B1%D0%BE_%D0%B0%D0%B1%D1%81%D1%83%D1%80%D0%B4%D0%BD%D0%BE
fallacies,31,ru,https://ru.wikipedia.org/wiki/%D0%9B%D1%8F%D0%BF%D0%B0%D0%BB%D0%B8%D1%81%D1%81%D0%B8%D0%B0%D0%B4%D0%B0
fallacies,41,ru,https://ru.wikipedia.org/wiki/%D0%A3%D0%B7%D0%BD%D0%B0%D1%8E%2C_%D0%BA%D0%BE%D0%B3%D0%B4%D0%B0_%D0%B2%D0%B8%D0%B6%D1%83
fallacies,65,ru,https://ru.wikipedia.org/wiki/%D0%9D%D0%B8_%D0%BE%D0%B4%D0%B8%D0%BD_%D0%B8%D1%81%D1%82%D0%B8%D0%BD%D0%BD%D1%8B%D0%B9_%D1%88%D0%BE%D1%82%D0%BB%D0%B0%D0%BD%D0%B4%D0%B5%D1%86
fallacies,66,ru,https://ru.wikipedia.org/wiki/%D0%A1%D0%BA%D0%BB%D0%BE%D0%BD%D0%BD%D0%BE%D1%81%D1%82%D1%8C_%D0%BA_%D0%BF%D0%BE%D0%B4%D1%82%D0%B2%D0%B5%D1%80%D0%B6%D0%B4%D0%B5%D0%BD%D0%B8%D1%8E_%D1%81%D0%B2%D0%BE%D0%B5%D0%B9_%D1%82%D0%BE%D1%87%D0%BA%D0%B8_%D0%B7%D1%80%D0%B5%D0%BD%D0%B8%D1%8F
fallacies,72,ru,https://ru.wikipedia.org/wiki/%D0%90%D0%BF%D0%B5%D0%BB%D0%BB%D1%8F%D1%86%D0%B8%D1%8F_%D0%BA_%D0%B0%D0%B2%D1%82%D0%BE%D1%80%D0%B8%D1%82%D0%B5%D1%82%D1%83
fallacies,78,ru,https://ru.wikipedia.org/wiki/%D0%90%D0%BF%D0%B5%D0%BB%D0%BB%D1%8F%D1%86%D0%B8%D1%8F_%D0%BA_%D0%B0%D0%B2%D1%82%D0%BE%D1%80%D0%B8%D1%82%D0%B5%D1%82%D1%83
fallacies,85,ru,https://ru.wikipedia.org/wiki/%D0%90%D0%BF%D0%B5%D0%BB%D0%BB%D1%8F%D1%86%D0%B8%D1%8F_%D0%BA_%D0%B0%D0%B2%D1%82%D0%BE%D1%80%D0%B8%D1%82%D0%B5%D1%82%D1%83
fallacies,103,ru,https://ru.wikipedia.org/wiki/%D0%A4%D0%B5%D0%BD%D0%BE%D0%BC%D0%B5%D0%BD_%D0%BC%D0%BD%D0%BE%D0%B6%D0%B5%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D0%BE%D0%B3%D0%BE_%D0%BD%D0%B5%D0%B2%D0%B5%D0%B6%D0%B5%D1%81%D1%82%D0%B2%D0%B0
fallacies,106,ru,https://ru.wikipedia.org/wiki/%D0%A1%D0%B8%D0%BD%D0%B4%D1%80%D0%BE%D0%BC_%D0%BD%D0%B5%D0%BF%D1%80%D0%B8%D1%8F%D1%82%D0%B8%D1%8F_%D1%87%D1%83%D0%B6%D0%BE%D0%B9_%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D0%BA%D0%B8
fallacies,111,ru,https://ru.wikipedia.org/wiki/%D0%91%D0%BB%D0%B0%D0%B3%D0%BE%D1%80%D0%BE%D0%B4%D0%BD%D1%8B%D0%B9_%D0%B4%D0%B8%D0%BA%D0%B0%D1%80%D1%8C
fallacies,118,ru,https://ru.wikipedia.org/wiki/%D0%A1%D0%BD%D0%BE%D0%B1
fallacies,119,ru,https://ru.wikipedia.org/wiki/%D0%AD%D0%BB%D0%B8%D1%82%D0%B0%D1%80%D0%B8%D0%B7%D0%BC
fallacies,134,ru,https://ru.wikipedia.org/wiki/%D0%98%D0%B3%D1%80%D0%BE%D0%B2%D0%BE%D0%B5_%D0%B7%D0%B0%D0%B1%D0%BB%D1%83%D0%B6%D0%B4%D0%B5%D0%BD%D0%B8%D0%B5
fallacies,138,ru,https://ru.wikipedia.org/wiki/%D0%AD%D1%84%D1%84%D0%B5%D0%BA%D1%82_%D1%83%D0%BB%D0%B8%D1%87%D0%BD%D0%BE%D0%B3%D0%BE_%D1%84%D0%BE%D0%BD%D0%B0%D1%80%D1%8F
