virtue_pk,virtue_title,prevented_family_pk,prevented_family_name,crossLink_Opposes,opposed_fallacies_readable,AIF_skosDirectRef,AIF_skosMappingType,link_type,justification
1,Argument pertinent,1,Insuffisance,153;3,153=Argument des mauvaises raisons; 3=Argument vide,Argument from Sign,L'élément invoqué constitue-t-il réellement un signe pertinent et fiable de la conclusion avancée ?,crossLink_Opposes,"Un argument pertinent exige que les raisons ou preuves fournies aient un lien probant avec la conclusion, ce qui écarte les arguments vides ou fondés sur de mauvaises raisons."
12,Premisses fiables,1,Insuffisance,3;33,3=Argument vide; 33=Justification triviale,Argument from Position to Know,La source ou la prémisse avancée est-elle suffisamment fiable et en position de soutenir correctement la conclusion ?,crossLink_Opposes,Des prémisses fiables empêchent qu’une conclusion repose sur un support vide ou trivial en rétablissant l’exigence waltonienne d’une base crédible et adéquate.
34,Presentation integre,887,Tricherie,889;942,889=Mensonge; 942=Fausse attribution,Argument from Witness Testimony,Le témoin ou l'orateur dit-il la vérité et attribue-t-il correctement les propos ou les preuves qu'il présente ?,crossLink_Opposes,"La présentation intègre impose une restitution honnête et traçable des faits et des sources, ce qui bloque le mensonge et la fausse attribution en rétablissant la question critique de véracité du témoignage."
59,Rigueur mathematique,594,Erreur mathematique,644;681,644=Probabilites faussees; 681=Erreur de calcul,Argument from Sign,Le signe quantitatif invoqué est-il calculé correctement et constitue-t-il un indicateur fiable de la conclusion ?,crossLink_Opposes,"La rigueur mathématique impose de vérifier les calculs, les probabilités et la validité des indicateurs avant d’en tirer une conclusion argumentative."
79,Raisonnement valide,696,Erreur de raisonnement,727;784,727=Erreur de logique propositionnelle; 784=Syllogisme invalide,Argument from Commitment,La conclusion découle-t-elle réellement des prémisses acceptées selon une règle d’inférence valide ?,crossLink_Opposes,"Le raisonnement valide exige que les engagements prémissiels soutiennent effectivement la conclusion, ce qui bloque les erreurs formelles comme l’erreur de logique propositionnelle et le syllogisme invalide."
88,Deductions correctes,696,Erreur de raisonnement,727;784,727=Erreur de logique propositionnelle; 784=Syllogisme invalide,Argument from Commitment,La conclusion découle-t-elle effectivement des prémisses selon une règle d’inférence valide ?,crossLink_Opposes,Des déductions correctes empêchent les erreurs de logique propositionnelle et les syllogismes invalides en vérifiant que le passage des prémisses à la conclusion satisfait une règle d’inférence valide.
134,Langage exact,798,Abus de langage,800;855,800=Acception vague; 855=Equivoque,Argument from Verbal Classification,Les termes clés sont-ils définis et employés dans le même sens précis et pertinent tout au long de l’argument ?,crossLink_Opposes,Le langage exact prévient l’acception vague et l’équivoque en rétablissant l’exigence critique de stabilité et de précision des termes dans la classification verbale.
152,Honnetete intellectuelle,887,Tricherie,942;953,942=Fausse attribution; 953=Attention selective,Argument from Witness Testimony,La source est-elle rapportée fidèlement et sans sélection biaisée des éléments pertinents ?,crossLink_Opposes,"L’honnêteté intellectuelle oblige à citer correctement les sources et à présenter aussi les éléments défavorables, ce qui rétablit la CQ de fiabilité du témoignage contre la fausse attribution et l’attention sélective."
153,Fidelite aux faits,887,Tricherie,889;953,889=Mensonge; 953=Attention selective,Argument from Witness Testimony,"Le témoignage ou l’énoncé factuel est-il exact, complet et corroboré par les faits disponibles ?",crossLink_Opposes,"La fidélité aux faits s’oppose au mensonge et à l’attention sélective en rétablissant l’exigence waltonienne de vérifier que les affirmations factuelles sont exactes, pertinentes et non tronquées."
179,Echange enrichissant,1280,Obstruction,1313,1313=Evasion,Argument from Commitment,"L’interlocuteur répond-il effectivement à l’engagement ou à la question en discussion, plutôt que de déplacer le sujet ?",crossLink_Opposes,"Un échange enrichissant, fondé sur l’écoute active et la considération mutuelle, oblige chaque participant à traiter les engagements pertinents de l’autre au lieu de recourir à l’évasion."
