parent_path,child_path,child_pk,depth,family,subfamily,subsubfamily
,0,0,1,Argument fallacieux,,
,1,1,1,Insuffisance,,
1,"1,1",2,2,Insuffisance,Argument bâclé,
1,"1,11",3,2,Insuffisance,Argument bâclé,Argument vide
1,"1,111",4,2,Insuffisance,Argument bâclé,Argument vide
1,"1,1111",5,2,Insuffisance,Argument bâclé,Argument vide
1,"1,11111",6,2,Insuffisance,Argument bâclé,Argument vide
1,"1,11112",7,2,Insuffisance,Argument bâclé,Argument vide
1,"1,11113",8,2,Insuffisance,Argument bâclé,Argument vide
1,"1,1112",9,2,Insuffisance,Argument bâclé,Argument vide
1,"1,11121",10,2,Insuffisance,Argument bâclé,Argument vide
1,"1,1113",11,2,Insuffisance,Argument bâclé,Argument vide
1,"1,11131",12,2,Insuffisance,Argument bâclé,Argument vide
1,"1,11132",13,2,Insuffisance,Argument bâclé,Argument vide
1,"1,1114",14,2,Insuffisance,Argument bâclé,Argument vide
1,"1,1115",15,2,Insuffisance,Argument bâclé,Argument vide
1,"1,1116",16,2,Insuffisance,Argument bâclé,Argument vide
1,"1,11161",17,2,Insuffisance,Argument bâclé,Argument vide
1,"1,11162",18,2,Insuffisance,Argument bâclé,Argument vide
1,"1,11163",19,2,Insuffisance,Argument bâclé,Argument vide
1,"1,112",20,2,Insuffisance,Argument bâclé,Argument vide
1,"1,1121",21,2,Insuffisance,Argument bâclé,Argument vide
1,"1,113",22,2,Insuffisance,Argument bâclé,Argument vide
1,"1,1131",23,2,Insuffisance,Argument bâclé,Argument vide
1,"1,1132",24,2,Insuffisance,Argument bâclé,Argument vide
1,"1,1133",25,2,Insuffisance,Argument bâclé,Argument vide
1,"1,114",26,2,Insuffisance,Argument bâclé,Argument vide
1,"1,1141",27,2,Insuffisance,Argument bâclé,Argument vide
1,"1,1142",28,2,Insuffisance,Argument bâclé,Argument vide
1,"1,1143",29,2,Insuffisance,Argument bâclé,Argument vide
1,"1,1144",30,2,Insuffisance,Argument bâclé,Argument vide
1,"1,1145",31,2,Insuffisance,Argument bâclé,Argument vide
1,"1,1146",32,2,Insuffisance,Argument bâclé,Argument vide
1,"1,12",33,2,Insuffisance,Argument bâclé,Justification triviale
