dataset,key,link_lang,resolved_url
virtues,26,ru,https://ru.wikipedia.org/wiki/%D0%91%D0%B5%D1%81%D0%BF%D1%80%D0%B8%D1%81%D1%82%D1%80%D0%B0%D1%81%D1%82%D0%BD%D0%BE%D1%81%D1%82%D1%8C
virtues,167,ru,https://ru.wikipedia.org/wiki/%D0%9E%D0%B1%D1%8A%D0%B5%D0%BA%D1%82%D0%B8%D0%B2%D0%BD%D0%BE%D1%81%D1%82%D1%8C
virtues,168,ru,https://ru.wikipedia.org/wiki/%D0%A3%D0%BD%D0%B8%D0%B2%D0%B5%D1%80%D1%81%D0%B0%D0%BB%D0%B8%D0%B7%D0%BC
virtues,193,ru,https://ru.wikipedia.org/wiki/%D0%9A%D0%BE%D0%B3%D0%BD%D0%B8%D1%82%D0%B8%D0%B2%D0%BD%D0%BE%D0%B5_%D0%B8%D1%81%D0%BA%D0%B0%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5
virtues,21,pt,https://pt.wikipedia.org/wiki/Jornalismo
virtues,159,pt,https://pt.wikipedia.org/wiki/Enquadramento_noticioso
virtues,205,pt,https://pt.wikipedia.org/wiki/Princ%C3%ADpio_de_caridade
virtues,206,pt,https://pt.wikipedia.org/wiki/Princ%C3%ADpio_de_caridade
virtues,10,es,https://es.wikipedia.org/wiki/Referencia_bibliogr%C3%A1fica
virtues,14,es,https://es.wikipedia.org/wiki/Fiabilidad
virtues,17,es,https://es.wikipedia.org/wiki/Credibilidad
virtues,19,es,https://es.wikipedia.org/wiki/Testimonio
virtues,21,es,https://es.wikipedia.org/wiki/Periodismo
virtues,22,es,https://es.wikipedia.org/wiki/Verificaci%C3%B3n_de_hechos
virtues,26,es,https://es.wikipedia.org/wiki/Imparcialidad
virtues,41,es,https://es.wikipedia.org/wiki/Imparcialidad
virtues,49,es,https://es.wikipedia.org/wiki/Ret%C3%B3rica
virtues,52,es,https://es.wikipedia.org/wiki/Colusi%C3%B3n
virtues,54,es,https://es.wikipedia.org/wiki/Chantaje_emocional
virtues,87,es,https://es.wikipedia.org/wiki/L%C3%B3gica_modal
virtues,124,es,https://es.wikipedia.org/wiki/Silogismo
virtues,141,es,https://es.wikipedia.org/wiki/Definici%C3%B3n
