virtue_pk,virtue_title,prevented_family_pk,prevented_family_name,crossLink_Opposes,opposed_fallacies_readable,AIF_skosDirectRef,AIF_skosMappingType,link_type,justification
105,Syllogisme de mode parfait,696,Erreur de raisonnement,784;735,784 Syllogisme invalide . 735 Erreur de quantification,Argument from Rule,La règle syllogistique est-elle correctement appliquée aux trois termes et aux quantificateurs ?,crossLink_Opposes,"La vertu prévient le syllogisme invalide en vérifiant que la forme A, E, I ou O respecte la règle d'inférence et la distribution des termes."
106,Syllogisme Barbara,696,Erreur de raisonnement,784;727,784 Syllogisme invalide . 727 Erreur de logique propositionnelle,Argument from Rule,Deux prémisses universelles affirmatives autorisent-elles bien la conclusion universelle affirmative ?,crossLink_Opposes,La vertu restaure la règle Barbara en s'assurant que l'inclusion universelle transitive fonde correctement la conclusion.
107,Syllogisme Celarent,696,Erreur de raisonnement,784;735,784 Syllogisme invalide . 735 Erreur de quantification,Argument from Rule,La prémisse négative universelle et la prémisse affirmative universelle justifient-elles bien l'exclusion universelle conclue ?,crossLink_Opposes,La vertu prévient l'erreur syllogistique en contrôlant que la négation universelle de Celarent se transmet selon la règle valide.
108,Syllogisme Darii,696,Erreur de raisonnement,784;759,784 Syllogisme invalide . 759 Conclusion hâtive,Argument from Rule,L'inclusion universelle et l'existence particulière permettent-elles bien de conclure une inclusion particulière ?,crossLink_Opposes,La vertu restaure la règle Darii en exigeant que la conclusion particulière découle d'un cas effectivement inclus dans la classe universelle.
109,Syllogisme Ferio,696,Erreur de raisonnement,784;735,784 Syllogisme invalide . 735 Erreur de quantification,Argument from Rule,L'universelle négative et la particulière affirmative autorisent-elles bien une conclusion particulière négative ?,crossLink_Opposes,La vertu prévient le syllogisme invalide en vérifiant que l'exclusion universelle s'applique au cas particulier invoqué.
110,Syllogisme de deuxième figure,696,Erreur de raisonnement,784;735,784 Syllogisme invalide . 735 Erreur de quantification,Argument from Rule,"Le terme moyen, prédicat dans les deux prémisses, est-il distribué de façon à permettre la conclusion par opposition ?",crossLink_Opposes,La vertu restaure la validité de la deuxième figure en contrôlant la distribution du moyen et l'opposition légitime entre catégories.
111,Syllogisme Cesare,696,Erreur de raisonnement,784;735,784 Syllogisme invalide . 735 Erreur de quantification,Argument from Rule,Les deux prémisses établissent-elles correctement qu'aucun sujet de la première catégorie n'appartient à l'autre ?,crossLink_Opposes,La vertu prévient l'inférence fautive en vérifiant que la forme Cesare fonde bien une exclusion universelle.
112,Syllogisme Camestres,696,Erreur de raisonnement,784;727,784 Syllogisme invalide . 727 Erreur de logique propositionnelle,Argument from Rule,L'affirmation universelle et la négation universelle mènent-elles validement à la conclusion universelle négative ?,crossLink_Opposes,La vertu restaure Camestres en s'assurant que l'opposition entre les prédicats est transférée sans inversion logique.
113,Syllogisme Festino,696,Erreur de raisonnement,784;759,784 Syllogisme invalide . 759 Conclusion hâtive,Argument from Rule,L'exclusion universelle et le cas particulier affirmé soutiennent-ils bien une conclusion particulière négative ?,crossLink_Opposes,La vertu prévient la conclusion hâtive en limitant Festino à l'exclusion particulière effectivement garantie par les prémisses.
114,Syllogisme Baroco,696,Erreur de raisonnement,784;735,784 Syllogisme invalide . 735 Erreur de quantification,Argument from Rule,La prémisse universelle affirmative et la prémisse particulière négative autorisent-elles bien la conclusion particulière négative ?,crossLink_Opposes,La vertu restaure Baroco en vérifiant que la restriction particulière négative est conservée par l'inférence.
115,Syllogisme de 3e figure,696,Erreur de raisonnement,784;735,784 Syllogisme invalide . 735 Erreur de quantification,Argument from Rule,Le terme moyen sujet dans les deux prémisses permet-il seulement la conclusion particulière requise ?,crossLink_Opposes,La vertu prévient l'erreur de quantification en contrôlant que la troisième figure ne produit pas indûment une conclusion universelle.
116,Syllogisme Darapti,696,Erreur de raisonnement,784;735,784 Syllogisme invalide . 735 Erreur de quantification,Argument from Rule,Deux prémisses universelles affirmatives justifient-elles une conclusion particulière affirmative sans excès de portée ?,crossLink_Opposes,La vertu restaure Darapti en vérifiant que la conclusion particulière suit de la structure commune des prémisses.
