source_dp,source_dotted,source_label,kind,verb_or_field,target,target_label,confidence,rationale,warns
0,0,Argument fallacieux,crossLink,Leverages,2,Influence,0.78,A deceptive fallacious argument often persuades by manipulating the audience rather than by rational conviction.,
0,0,Argument fallacieux,crossLink,Leverages,5,Abus de langage,0.7,"The given example exploits an ambiguity in language, a typical mechanism of linguistic abuse.",
0,0,Argument fallacieux,crossLink,IsRelatedTo,4,Erreur de raisonnement,0.68,"Fallacious argumentation commonly involves incoherent or invalid reasoning, though not every fallacy is purely logical.",
0,0,Argument fallacieux,crossLink,IsRelatedTo,6,Tricherie,0.62,Deliberately deceiving an audience violates the tacit norms of rational debate.,
"1,111",1.1.1.1,Appel à l'ignorance,crossLink,IsRelatedTo,1.1.1.1.4,Preuve par absence de réfutation,0.95,La preuve par absence de réfutation est la variante positive typique de l’appel à l’ignorance : tenir une thèse pour valide parce qu’elle n’est pas réfutée.,
"1,111",1.1.1.1,Appel à l'ignorance,crossLink,Mirrors,1.1.1.1.3,Argument d'incrédulité,0.72,"L’argument d’incrédulité raisonne aussi à partir d’un manque cognitif, mais il part de l’incompréhension personnelle plutôt que de l’absence de preuve.",
"1,111",1.1.1.1,Appel à l'ignorance,crossLink,IsRelatedTo,1,Insuffisance,0.78,L’appel à l’ignorance est un cas d’insuffisance probatoire : l’absence de preuve contraire ne suffit pas à établir la conclusion.,
"1,111",1.1.1.1,Appel à l'ignorance,AIF_skosDirectRef,,Ignorance_Inference,,,skos:broadMatch,
"1,111",1.1.1.1,Appel à l'ignorance,AIF_skosExceptionRef,,LackOfCompleteKnowledge_Conflict,,,skos:broadMatch,
"1,1111",1.1.1.1.1,Ignorance délibérée,crossLink,Allows,1.1.1.1,Appel à l'ignorance,0.72,Deliberately avoiding contrary information can manufacture or preserve the ignorance later used in an appeal to ignorance.,
"1,1111",1.1.1.1.1,Ignorance délibérée,crossLink,IsRelatedTo,1.1.1.1.1.1,A priorisme,0.9,"Both involve refusing contrary evidence, but a priorisme stresses prior belief overriding evidence while deliberate ignorance stresses active avoidance of the evidence.",
"1,1111",1.1.1.1.1,Ignorance délibérée,crossLink,Allows,1.1.1.1.1.2,Syndrome du vrai croyant,0.78,Avoiding undermining information helps sustain a false belief despite available contrary evidence.,
"1,1111",1.1.1.1.1,Ignorance délibérée,crossLink,Mirrors,1.1.1.1.1.3,Tabou,0.74,"Taboo blocks discussion of threatening facts, while deliberate ignorance blocks reception of threatening facts; both shield a position from challenge.",
"1,1111",1.1.1.1.1,Ignorance délibérée,AIF_skosDirectRef,,Ignorance_Inference,,,skos:broadMatch,
"1,1111",1.1.1.1.1,Ignorance délibérée,AIF_skosExceptionRef,,LackOfCompleteKnowledge_Conflict,,,skos:broadMatch,
"1,11111",1.1.1.1.1.1,A priorisme,crossLink,IsRelatedTo,1.1.1.1.1,Ignorance délibérée,0.95,A priorisme is a specific form of deliberate ignorance: evidence is rejected precisely because it threatens the held position.,
"1,11111",1.1.1.1.1.1,A priorisme,crossLink,IsRelatedTo,1.1.1.1.1.2,Syndrome du vrai croyant,0.86,"Both involve maintaining a belief despite strong contrary evidence, though true-believer syndrome emphasizes persistence after refutation.",
"1,11111",1.1.1.1.1.1,A priorisme,crossLink,Mirrors,1.1.1.1.1.3,Tabou,0.72,"Both block potentially falsifying information, but taboos forbid discussion whereas a priorisme refuses evidential consideration.",
"1,11111",1.1.1.1.1.1,A priorisme,AIF_skosDirectRef,,Bias_Inference,,,skos:broadMatch,
"1,11111",1.1.1.1.1.1,A priorisme,AIF_skosExceptionRef,,EvidenceToHypothesis_Inference,,,skos:broadMatch,
"1,11112",1.1.1.1.1.2,Syndrome du vrai croyant,crossLink,Leverages,1.1.1.1.1,Ignorance délibérée,0.9,Persisting in a refuted belief typically relies on deliberate rejection or avoidance of disconfirming information.,
"1,11112",1.1.1.1.1.2,Syndrome du vrai croyant,crossLink,Leverages,1.1.1.1.1.1,A priorisme,0.78,A prior refusal to examine contrary evidence is a common mechanism by which the true-believer syndrome is maintained.,
"1,11112",1.1.1.1.1.2,Syndrome du vrai croyant,crossLink,IsRelatedTo,1.1.1.1.1.3,Tabou,0.55,"Declaring threatening facts undiscussable can help preserve an erroneous belief, though taboo is a more dialogical obstruction.",
"1,11112",1.1.1.1.1.2,Syndrome du vrai croyant,AIF_skosDirectRef,,Commitment_Conflict,,,skos:broadMatch,
"1,11112",1.1.1.1.1.2,Syndrome du vrai croyant,AIF_skosExceptionRef,,EvidenceToHypothesis_Inference,,,skos:broadMatch,
"1,11113",1.1.1.1.1.3,Tabou,crossLink,Leverages,1.1.1.1.1,Ignorance délibérée,0.9,Refusing to discuss potentially defeating facts is a specific way of deliberately rejecting information that could contradict one's position.,
"1,11113",1.1.1.1.1.3,Tabou,crossLink,Mirrors,1.1.1.1.1.1,A priorisme,0.72,"Both involve shutting out contrary evidence, though taboo operates by excluding discussion while a priorisme rejects examination of proof more generally.",
"1,11113",1.1.1.1.1.3,Tabou,crossLink,IsRelatedTo,1.1.1.1.1.2,Syndrome du vrai croyant,0.58,"Refusal to engage with invalidating facts can help maintain a false belief despite contrary evidence, but persistence after evidence is not identical to making a topic undiscussable.",
"1,11113",1.1.1.1.1.3,Tabou,crossLink,Leverages,7,Obstruction,0.66,Declaring certain facts off-limits functions as an obstruction that prevents the debate from proceeding normally.,
"1,11113",1.1.1.1.1.3,Tabou,AIF_skosDirectRef,,Dialogue_Scheme,,,skos:broadMatch,
"1,11113",1.1.1.1.1.3,Tabou,AIF_skosExceptionRef,,LackOfCompleteKnowledge_Conflict,,,skos:broadMatch,
"1,1112",1.1.1.1.2,Appel au mystère,crossLink,Leverages,1.1.1.1,Appel à l'ignorance,0.78,It relies on ignorance or lack of explanation as a reason to stop inquiry or treat understanding as impossible.,
"1,1112",1.1.1.1.2,Appel au mystère,crossLink,Mirrors,1.1.1.1.3,Argument d'incrédulité,0.72,"Both move from incomprehensibility to an epistemic conclusion, though the target rejects a claim while the source declares the subject unknowable.",
"1,1112",1.1.1.1.2,Appel au mystère,crossLink,Leverages,1.1.1.1.5,Appel à la complexité,0.74,The appeal to mystery often uses perceived complexity as the basis for claiming that explanation is beyond reach.,
"1,1112",1.1.1.1.2,Appel au mystère,crossLink,Allows,1.1.1.1.2.1,Argument de la science lacunaire,0.64,Declaring a matter mysterious creates room for arguments that exploit gaps in current scientific knowledge.,
"1,1112",1.1.1.1.2,Appel au mystère,AIF_skosDirectRef,,Ignorance_Inference,,,skos:broadMatch,
"1,1112",1.1.1.1.2,Appel au mystère,AIF_skosExceptionRef,,LackOfCompleteKnowledge_Conflict,,,skos:broadMatch,
"1,11121",1.1.1.1.2.1,Argument de la science lacunaire,crossLink,Leverages,1.1.1.1.2,Appel au mystère,0.9,It is a specific appeal to mystery: a gap in scientific explanation is treated as support for a dubious claim.,
"1,11121",1.1.1.1.2.1,Argument de la science lacunaire,crossLink,IsRelatedTo,1,Insuffisance,0.72,The cited premise that science lacks an answer is insufficient to establish the proposed conclusion.,
"1,11121",1.1.1.1.2.1,Argument de la science lacunaire,crossLink,IsRelatedTo,4,Erreur de raisonnement,0.55,It commonly involves the invalid move from absence of explanation to truth of the asserted hypothesis.,
"1,11121",1.1.1.1.2.1,Argument de la science lacunaire,AIF_skosDirectRef,,Ignorance_Inference,,,skos:closeMatch,
