fallacy_pk,fallacy_name,walton_scheme,violated_critical_question,exception_mechanism,justification,proposed_AIF_skosDirectRef_hint,source_AIF_coverage
55,Sauvetage ad hoc,Argument from Rule,L’exception invoquée à la règle est-elle prévue ou justifiée par des raisons indépendantes plutôt qu’introduite uniquement pour sauver la conclusion ?,"Le sophisme conserve la règle ou la thèse initiale en ajoutant, après coup, une exception ou une condition auxiliaire sans fondement indépendant. Il esquive ainsi la critique au lieu de montrer que l’exception est légitime.",Le sauvetage ad hoc est une exception abusive à l’Argument from Rule parce qu’il invente une dérogation non justifiée pour empêcher l’application normale de la règle contre la conclusion défendue.,Rule_Conflict,NONE (generative)
96,Appel à la nature,Argument from Values,"La valeur invoquée comme « naturel » est-elle réellement pertinente et suffisante pour établir que la chose est meilleure, malgré les autres valeurs en jeu comme la sécurité, l’efficacité ou la justice ?",Le sophisme absolutise la valeur du naturel et la transforme en critère décisif sans examiner les valeurs concurrentes ni les effets réels. Il esquive ainsi la mise en balance critique exigée par le scheme.,L’appel à la nature est une exception défaisable à l’Argument from Values parce qu’il tire abusivement une conclusion évaluative de la seule valeur « naturel » en violant la CQ sur sa pertinence et sa suffisance.,Values_Conflict,NONE (generative)
112,Sophisme moraliste,Argument from Values,"La valeur morale invoquée est-elle pertinente pour établir la vérité factuelle de la proposition, plutôt que seulement pour l’évaluer ou la condamner ?","Le sophisme transforme une norme morale en critère de vérité : ce qui serait moralement souhaitable est tenu pour vrai, ou ce qui serait moralement choquant est tenu pour faux. Il esquive ainsi l’exigence de preuves indépendantes sur les faits.","C’est une exception à l’Argument from Values parce que ce scheme peut légitimement fonder une évaluation normative, mais pas trancher une affirmation factuelle sans répondre à la CQ de pertinence entre valeur et vérité.",Values_Conflict,NONE (generative)
340,Appel aux conséquences,Argument from Consequences,Les conséquences invoquées sont-elles réellement pertinentes pour établir la vérité ou la fausseté de la proposition discutée ?,Le sophisme détourne un schème légitime d'évaluation pratique des conséquences pour en faire une preuve de vérité. Il esquive ainsi la distinction entre ce qu'il serait souhaitable de croire et ce qui est effectivement justifié.,L'appel aux conséquences est une exception fallacieuse à ce schème lorsque des effets désirables ou indésirables remplacent indûment des raisons portant sur la justesse de l'idée.,Consequences_Conflict,NONE (generative)
322,Repoussoir,Argument from Values,La valeur négative invoquée pour rendre l’idée repoussante est-elle réellement pertinente pour évaluer rationnellement cette idée ?,"Le sophisme substitue une réaction de dégoût ou de répulsion à l’examen des raisons, en présentant l’idée comme moralement ou affectivement répugnante sans établir que cette valeur négative s’applique vraiment. Il esquive ainsi la question de la pertinence de l’évaluation axiologique.",C’est une exception à l’Argument from Values parce qu’il exploite abusivement une valeur négative pour discréditer une idée sans montrer que cette valeur constitue un critère pertinent contre elle.,Values_Conflict,NONE (generative)
596,Échantillon biaisé,Argument from Example,L’exemple ou l’échantillon invoqué est-il représentatif de la population cible sur laquelle porte la conclusion ?,"Le sophisme présente un échantillon partiel, sélectionné ou atypique comme s’il suffisait à établir une généralisation. Il esquive ainsi la vérification de la représentativité nécessaire pour que l’argument par l’exemple reste défaisablement acceptable.",L’échantillon biaisé est une exception à l’Argument from Example parce qu’il utilise des cas particuliers pour généraliser tout en violant la CQ de représentativité.,Example_Conflict,NONE (generative)
644,Probabilités faussées,Argument from Sign,"La probabilité ou l’indice invoqué est-il suffisamment fiable, correctement calculé et pertinent pour soutenir la conclusion ?","Le sophisme présente une probabilité biaisée, mal interprétée ou sortie de son contexte comme si elle constituait un signe fiable de la conclusion. Il esquive ainsi l’examen de la base de calcul, des taux de base, de l’échantillon ou de la pertinence statistique réelle.",Les probabilités faussées détournent l’Argument from Sign en traitant un indice probabiliste défectueux comme une preuve suffisante.,Sign_Conflict,NONE (generative)
698,Pétition de principe,Argument from Commitment,La prémisse invoquée comme engagement est-elle réellement acceptée par l’interlocuteur indépendamment de la conclusion à prouver ?,"Le sophisme fait passer la conclusion contestée pour une prémisse déjà admise, ou reformule cette conclusion sous une forme équivalente. Il esquive ainsi la vérification de l’indépendance dialectique de l’engagement utilisé.",La pétition de principe est une exception à l’Argument from Commitment parce qu’elle exploite illégitimement un engagement supposé en y réintroduisant précisément la thèse qui devrait être démontrée.,Commitment_Conflict,NONE (generative)
707,Inversion de causalité,Argument from Cause to Effect,"La direction causale alléguée est-elle correctement établie, plutôt que l’effet supposé soit en réalité la cause ?",Le sophisme applique le schème causal en inversant les rôles de la cause et de l’effet. Il esquive ainsi la vérification de l’orientation réelle du lien causal.,L’inversion de causalité est une exception défaisable à ce schème parce qu’elle conserve l’apparence d’un raisonnement cause-effet tout en violant la CQ qui exige d’établir correctement la direction causale.,CausetoEffect_Conflict,NONE (generative)
784,Syllogisme invalide,Argument from Rule,"La règle invoquée, combinée au cas particulier établi, autorise-t-elle réellement la conclusion tirée ?","Le sophisme présente une structure en majeure, mineure et conclusion comme si elle appliquait correctement une règle générale, mais la liaison logique entre les prémisses et la conclusion est invalide. Il esquive ainsi la vérification de la validité de l’application de la règle au cas.",Le syllogisme invalide est une exception défaisable à l’Argument from Rule parce qu’il imite l’application légitime d’une règle tout en violant la CQ qui exige que la conclusion découle effectivement de cette règle et du cas.,Rule_Conflict,NONE (generative)
834,Comparaison abusive,Argument from Analogy,Existe-t-il des différences pertinentes entre les deux cas comparés qui rendent l’analogie inapplicable ou trompeuse ?,Le sophisme force une ressemblance superficielle ou excessive entre deux situations tout en occultant les différences pertinentes. Il esquive ainsi l’examen des disanalogies qui pourraient invalider le transfert de conclusion.,La comparaison abusive est une exception défaisable à l’Argument from Analogy parce qu’elle exploite la forme légitime de l’analogie tout en violant la CQ sur les différences pertinentes entre les cas.,Analogy_Conflict,NONE (generative)
855,Équivoque,Argument from Verbal Classification,Le terme ou la catégorie utilisée pour classer le cas a-t-il le même sens dans les prémisses et dans la conclusion ?,Le sophisme exploite un glissement de sens d’un même mot pour faire accepter une classification qui paraît valide. Il esquive la vérification de l’univocité du terme classificatoire.,L’équivoque est une exception à l’Argument from Verbal Classification parce que la classification ne tient que si le terme central conserve un sens stable.,VerbalClassification_Conflict,NONE (generative)
847,Amphibologie,Argument from Verbal Classification,La formulation verbale utilisée attribue-t-elle clairement et sans ambiguïté le prédicat ou la catégorie invoquée au cas concerné ?,"Le sophisme exploite une ambiguïté syntaxique : la même phrase peut recevoir plusieurs structures et donc plusieurs contenus. Il fait passer une interprétation utile à la conclusion comme si elle était la seule lecture légitime, sans lever l’ambiguïté.",L’amphibologie est une exception à l’Argument from Verbal Classification parce qu’elle fonde la classification argumentative sur une formulation dont le sens grammatical n’est pas déterminé.,VerbalClassification_Conflict,NONE (generative)
889,Mensonge,Argument from Witness Testimony,Le témoin est-il sincère et dit-il la vérité telle qu’il la connaît ?,"Le locuteur exploite la présomption normale de fiabilité accordée au témoignage, mais affirme délibérément une proposition qu’il sait fausse. Il esquive ainsi la vérification de sincérité qui conditionne la force défaisable du témoignage.","Le mensonge est une exception à l’Argument from Witness Testimony parce que ce scheme ne fonctionne que si le témoin est présumé sincère, condition précisément violée ici.",WitnessTestimony_Conflict,NONE (generative)
942,Fausse attribution,Argument from Expert Opinion,La source citée a-t-elle réellement affirmé cette proposition et possède-t-elle une expertise pertinente dans le domaine concerné ?,"Le sophisme emprunte l’autorité apparente du schème en attribuant l’énoncé à une source fausse, mal identifiée, inventée ou non compétente. Il esquive ainsi la vérification de l’existence, de l’attribution correcte et de la compétence de l’expert.","La fausse attribution est une exception à l’Argument from Expert Opinion parce que la force du schème disparaît si l’expert invoqué n’a pas réellement, correctement ou compétentement soutenu la thèse.",ExpertOpinion_Conflict,NONE (generative)
974,Exigence renforcée,Argument from Commitment,"L’engagement invoqué est-il stable, explicite et maintenu de façon cohérente tout au long de l’échange ?","Le sophisme modifie les critères d’acceptation dès qu’ils sont satisfaits, tout en faisant comme si l’interlocuteur n’avait pas encore rempli son engagement probatoire. Il esquive ainsi l’examen de la stabilité réelle des engagements initiaux.","L’exigence renforcée est une exception à l’Argument from Commitment parce qu’elle exploite un engagement prétendu sur des critères, puis les déplace pour éviter d’avoir à reconnaître que ces critères ont été respectés.",Commitment_Conflict,NONE (generative)
1352,Empoisonnement du puits,Argument from Bias,Le biais ou le trait préjudiciable allégué est-il réellement pertinent pour évaluer la fiabilité de cette partie sur l’argument ou l’affirmation précise en discussion ?,Le sophisme présente une information défavorable sur l’interlocuteur comme si elle suffisait à disqualifier d’avance tout ce qu’il dira. Il évite ainsi d’établir un lien pertinent entre ce discrédit personnel et la valeur probante de l’argument contesté.,L’empoisonnement du puits est une exception abusive à l’Argument from Bias parce qu’il transforme une vérification légitime de partialité en disqualification préventive sans pertinence démontrée.,Bias_Conflict,NONE (generative)
1361,Procès en incohérence,Argument from Commitment,Les engagements attribués à l’interlocuteur impliquent-ils réellement la contradiction ou la conclusion qu’on prétend en tirer ?,"Le sophisme exploite des propos antérieurs ou des apparences d’incohérence pour enfermer l’interlocuteur dans une contradiction supposée, sans établir correctement que ses engagements entraînent cette conclusion. Il peut aussi lui opposer des inférences erronées mais plausibles pour lui faire accepter une inconséquence factice.",Ce sophisme est une exception à l’Argument from Commitment parce qu’il détourne l’usage légitime des engagements d’un locuteur en esquivant la CQ décisive sur la validité du lien entre ces engagements et l’incohérence alléguée.,Commitment_Conflict,NONE (generative)
