anchor_pk,family,fallacy_name,skos_signature,AIF_attackType,AIF_attackedNode,walton_component,node_map_ok,verdict,note
153,Insuffisance,Argument des mauvaises raisons,E:Commitment_Inference | M:skos:broadMatch,undercut,RA-node,inference/RA,OK,CLEAN,Rejette le raisonnement (« le raisonnement ou les intentions... douteux ») plutot que l'argument -> attaque l'inference (RA). Textbook undercut.
658,Erreur mathématique,Infini fallacieux,E:Gradualism_Inference | M:skos:broadMatch,undercut,RA-node,inference/RA,OK,CLEAN,Argument repose sur une mauvaise comprehension de l'infini -> le pas inferentiel (Gradualism) est fautif -> RA. Coherent.
707,Erreur de raisonnement,Inversion de causalité,E:CauseToEffect_Inference | M:skos:broadMatch,undercut,RA-node,inference/RA,OK,CLEAN,Inversion cause/consequence -> l'inference causale (CauseToEffect) est renversee -> RA. Textbook undercut.
727,Erreur de raisonnement,Erreur de logique propositionnelle,E:ModusPonens_Inference | M:skos:narrowMatch,undercut,RA-node,inference/RA,OK,CLEAN,Mauvaise application de la logique propositionnelle (ModusPonens) -> inference invalide -> RA. Coherent.
750,Erreur de raisonnement,Erreur de modalité,E:Ignorance_Inference | M:skos:broadMatch,undercut,RA-node,inference/RA,OK,CLEAN,Confusion des modalites -> fausse le raisonnement (Ignorance_Inference) -> RA. Anchor de pk4.
804,Abus de langage,Acception arbitraire,D:PropertyNotExistant_Conflict | M:skos:broadMatch,undercut,RA-node,inference/RA,OK,CLEAN,Definition arbitraire corrompt le warrant/regle -> RA. CLE : token _Conflict (PropertyNotExistant_Conflict) -> undercut => le suffixe n'est PAS decisif (contre le prior undermine). Anchor de pk621.
858,Abus de langage,Pente glissante sémantique,E:VerbalSlipperySlope_Inference | M:skos:closeMatch,undercut,RA-node,inference/RA,OK,CLEAN,Pente glissante semantique : « un concept mene necessairement a un autre » = chaine inferentielle contestee (VerbalSlipperySlope_Inference) -> RA. CLE : ancre in-set que slippery-slope penche undercut (valide le contre-ex 677/705).
177,Influence,Langage persuasif,"D:GeneralAcceptanceDoubt_Conflict, ArbitraryVerbalClassification_Inference | E:PopularOpinion_Inference, EstablishedRule_Inference | M:skos:broadMatch",undermine,I-node,premise/I,OK,CLEAN,"Impose implicitement le cadre/les termes = charge les premisses (GeneralAcceptanceDoubt/PopularOpinion/ArbitraryVerbalClassification) -> I. Anchor le plus utilise (3,70,799,846...)."
300,Influence,Connivence,E:PositiveConsequences_Inference | M:skos:broadMatch,undermine,I-node,premise/I,OK,CLEAN,Alliance emotionnelle (PositiveConsequences) = premisse emotionnelle injectee -> I. Anchor de pk1104.
322,Influence,Repoussoir,E:NegativeConsequences_Inference | M:skos:broadMatch,undermine,I-node,premise/I,OK,CLEAN,Rend l'idee repoussante (NegativeConsequences) = premisse emotionnelle -> I. Anchor de pk1092.
340,Influence,Appel aux conséquences,E:EstablishedRule_Inference | M:skos:broadMatch,undermine,I-node,premise/I,OK,CLEAN,"Fonde l'argument sur les consequences plutot que la justesse (EstablishedRule) = substitue une premisse -> I. Defendable (modelise comme premise-substitution, non warrant)."
357,Influence,Conditionnement,D:SignFromOtherEvents_Conflict | E:Sign_Inference | M:skos:broadMatch,undermine,I-node,premise/I,OK,CLEAN,"Associe idees et emotions (Sign/SignFromOtherEvents) = manipulation de premisse -> I. Anchor de pk1083, pk133."
953,Tricherie,Attention sélective,D:GeneralAcceptanceDoubt_Conflict | E:Preference_Scheme | M:skos:broadMatch,undermine,I-node,premise/I,OK,CLEAN,"Cherry-picking des faits (GeneralAcceptanceDoubt/Preference) = jeu de premisses biaise -> I. Anchor de pk1198, pk1, pk1090."
1297,Obstruction,Preuve par assertion,D:OpposedCommitment_Conflict | M:skos:broadMatch,undermine,I-node,premise/I,OK,CLEAN,Repete au lieu de prouver (OpposedCommitment) = premisse assertee sans support -> I. Anchor-A du tie pk777 (OpposedCommitment->undermine).
1371,Obstruction,Sophisme génétique,D:SignFromOtherEvents_Conflict | E:CircumstantialAdHominem_Inference | M:skos:broadMatch,undermine,I-node,premise/I,OK,CLEAN,Rejette l'idee en critiquant son origine (SignFromOtherEvents) = attaque de premisse -> I. Note : co-token CircumstantialAdHominem non decisif (aussi dans 1361=rebut).
1398,Obstruction,Attaque personnelle,D:DirectAdHominem_Inference | M:skos:broadMatch,undermine,I-node,premise/I,OK,CLEAN,Attaque directe de la personne (DirectAdHominem) = premisse de credibilite -> I. Textbook undermine.
1313,Obstruction,Évasion,E:Dialogue_Scheme | M:skos:broadMatch,rebut,CA-node,conclusion/CA,OK,SOFT,"Evasion n'attaque ni premisse ni inference precise -> modelisee comme conflit global au niveau dialogue (Dialogue_Scheme) -> CA. Choix de modelisation residuel (uniforme pour « saboter le debat »), defendable mais pas rebut-contre-conclusion canonique. Anchor de pk1281."
1361,Obstruction,Procès en incohérence,"E:InconsistentCommitment_Inference, CircumstantialAdHominem_Inference | M:skos:broadMatch",rebut,CA-node,conclusion/CA,OK,SOFT,Releve les incoherences (InconsistentCommitment) -> contre-conclusion « ta position est intenable » -> CA. Vrai jugement rebut vs undercut/undermine. C'est l'anchor sur lequel s'appuie 777->rebut : sa softness impacte ce tie -> lire desc_fr + co-token pour trancher 777.
