virtue_pk,virtue_title,prevented_family_pk,prevented_family_name,crossLink_Opposes,opposed_fallacies_readable,AIF_skosDirectRef,AIF_skosMappingType,link_type,justification
181,Réalité objective,1280,Obstruction,1287;1297,1287 Pseudo-explication . 1297 Preuve par assertion,Argument from Sign,"Les faits invoqués sont-ils objectifs, vérifiables et pertinents pour la conclusion ?",crossLink_Opposes,L'appui sur des faits objectifs empêche l'obstruction par pseudo-explication ou simple assertion en rétablissant l'exigence de signes vérifiables.
182,Explications suffisantes,1280,Obstruction,1287;1345,1287 Pseudo-explication . 1345 Complication exagérée,Argument from Cause to Effect,L'explication fournie établit-elle clairement le lien pertinent sans obscurcir inutilement la discussion ?,crossLink_Opposes,Des explications suffisantes empêchent l'obstruction en remplaçant les explications creuses ou inutilement compliquées par un lien explicatif clair.
183,Justifications explicites,1280,Obstruction,1297;1313,1297 Preuve par assertion . 1313 Évasion,Argument from Commitment,Les raisons qui engagent l'énonciateur en faveur de sa proposition sont-elles explicites et discutables ?,crossLink_Opposes,Des justifications explicites empêchent l'obstruction en obligeant à donner des raisons examinables plutôt qu'à affirmer ou esquiver.
184,Preuves suffisantes,1280,Obstruction,1297;974,1297 Preuve par assertion . 974 Exigence renforcée,Argument from Witness Testimony,Les preuves avancées sont-elles suffisantes et proportionnées pour rendre la proposition acceptable ?,crossLink_Opposes,Des preuves suffisantes empêchent l'obstruction en évitant à la fois l'assertion nue et l'exigence indûment renforcée de preuve.
185,Prémisses réfutables,1280,Obstruction,1282;1313,1282 Relativisme abusif . 1313 Évasion,Argument from Commitment,Les prémisses peuvent-elles être contestées et soumises à l'examen critique commun ?,crossLink_Opposes,Des prémisses réfutables empêchent l'obstruction en maintenant les engagements ouverts à la critique plutôt qu'intouchables ou fuyants.
186,Ouverture au dialogue,1280,Obstruction,1313;1352,1313 Évasion . 1352 Empoisonnement du puits,Argument from Commitment,L'interlocuteur prend-il réellement en compte les objections et perspectives adverses ?,crossLink_Opposes,L'ouverture au dialogue empêche l'obstruction en répondant aux objections au lieu de les éviter ou de discréditer d'avance leur source.
187,Recherche de la vérité,1280,Obstruction,953;1242,953 Attention sélective . 1242 Biais théoriques,Argument from Bias,L'évaluation des arguments est-elle menée sans sélection partiale ni biais dominant ?,crossLink_Opposes,La recherche de la vérité empêche l'obstruction en soumettant les arguments à une évaluation équitable plutôt qu'à une sélection biaisée.
188,Quête de consensus,1280,Obstruction,420;1313,420 Jeu de pouvoir . 1313 Évasion,Argument from Commitment,Les participants cherchent-ils une issue acceptable pour tous plutôt qu'une imposition ou une fuite ?,crossLink_Opposes,La quête de consensus empêche l'obstruction en orientant les engagements vers une solution commune plutôt que vers le pouvoir ou l'évitement.
189,Suspension du jugement,1280,Obstruction,759;953,759 Conclusion hâtive . 953 Attention sélective,Argument from Sign,"Les données disponibles justifient-elles déjà la conclusion, ou faut-il suspendre le jugement ?",crossLink_Opposes,La suspension du jugement empêche l'obstruction en évitant de clore prématurément le débat sur des indices insuffisants ou sélectionnés.
190,Écoute active,1280,Obstruction,1313;1398,1313 Évasion . 1398 Attaque personnelle,Argument from Commitment,La réponse montre-t-elle que la position de l'autre a été comprise avant d'être discutée ?,crossLink_Opposes,L'écoute active empêche l'obstruction en obligeant à traiter le propos réel de l'interlocuteur plutôt qu'à l'éviter ou l'attaquer personnellement.
191,Empathie,1280,Obstruction,1398;1352,1398 Attaque personnelle . 1352 Empoisonnement du puits,Argument from Bias,L'attitude envers l'interlocuteur permet-elle d'évaluer ses raisons sans hostilité ni disqualification préalable ?,crossLink_Opposes,L'empathie empêche l'obstruction en neutralisant les biais hostiles qui transforment le désaccord en disqualification de la personne.
192,Principe de faillibilité,1280,Obstruction,1282;1297,1282 Relativisme abusif . 1297 Preuve par assertion,Argument from Commitment,L'engagement défendu reste-t-il révisable à la lumière de raisons meilleures ?,crossLink_Opposes,"Le principe de faillibilité empêche l'obstruction en refusant les positions présentées comme absolues, irrévisables ou seulement assertées."
193,Identifier ses biais,1280,Obstruction,1024;953,1024 Biais naturels . 953 Attention sélective,Argument from Bias,Les biais susceptibles d'affecter le jugement ont-ils été reconnus et corrigés ?,crossLink_Opposes,Identifier ses biais empêche l'obstruction en rendant visibles les filtres cognitifs qui bloquent l'examen loyal des arguments.
