fallacy_pk,family,fallacy_name,RA_scheme,attack_type,attacked_component,CA_node,AIF_RA_node,AIF_CA_node,violated_cq,why_not_others,justification
55,Insuffisance,Sauvetage ad hoc,Argument from Cause to Effect,undermine,premise,AdHocPremise,CauseToEffect_Inference,AdHocPremise_Conflict,La cause ajoutée pour sauver l'hypothèse dispose-t-elle d'un fondement indépendant plutôt que d'être improvisée uniquement pour échapper à l'objection ?,"Ce n'est pas un undercut car une relation cause-effet de ce type serait inférentiellement possible si la cause était établie, ni un rebut car aucune thèse incompatible n'est directement conclue.",Le sauvetage ad hoc est une exception à l'argument causal parce qu'il ajoute une prémisse causale sans support indépendant.
96,Insuffisance,Appel à la nature,Argument from Values,undercut,inference_rule,NaturalisticValueTransfer,Values_Inference,NaturalisticValueTransfer_Conflict,"Le fait qu'une pratique soit naturelle ou ancienne suffit-il réellement à établir sa valeur, sa supériorité ou son caractère obligatoire ?","Ce n'est pas un undermine car la naturalité alléguée peut être factuellement vraie, ni un rebut car aucune valeur opposée n'est directement démontrée.",L'appel à la nature contrefait l'argument par valeurs en rendant automatiquement normatif un simple attribut naturel.
112,Insuffisance,Sophisme moraliste,Argument from Values,undercut,inference_rule,MoralFactInference,Values_Inference,MoralFactInference_Conflict,Un jugement moral sur ce qui devrait être permet-il réellement d'établir ce qui est factuellement vrai ou faux ?,"Ce n'est pas un undermine car la valeur morale invoquée peut être sincèrement acceptée, ni un rebut car aucune preuve factuelle contraire n'est directement apportée.",Le sophisme moraliste abuse de l'argument par valeurs en transformant indûment une préférence normative en prémisse factuelle probante.
134,Insuffisance,Sophisme du jeu,Argument from Analogy,undercut,inference_rule,OversimplifiedAnalogy,Analogy_Inference,OversimplifiedAnalogy_Conflict,L'analogie avec un jeu conserve-t-elle les différences pertinentes et la complexité réelle du domaine comparé ?,"Ce n'est pas un undermine car certaines ressemblances superficielles peuvent être vraies, ni un rebut car aucune conclusion contraire n'est directement établie.",Le sophisme du jeu contrefait l'argument par analogie en transférant une solution simpliste malgré des différences pertinentes négligées.
153,Insuffisance,Argument des mauvaises raisons,Argument from Bias,undercut,inference_rule,BiasDoesNotRefuteClaim,Bias_Inference,BiasDoesNotRefuteClaim_Conflict,Le biais ou l'intérêt supposé de l'auteur suffit-il réellement à rejeter la position sans examiner ses raisons et ses preuves ?,"Ce n'est pas un undermine car l'intérêt personnel peut être réel, ni un rebut car le contenu de la position n'est pas directement réfuté.",L'argument des mauvaises raisons abuse de l'argument par biais en faisant du soupçon sur la source une règle suffisante de rejet de la thèse.
165,Insuffisance,Manque de parcimonie,Argument from Sign,undermine,premise,UnparsimoniousPremise,Sign_Inference,UnparsimoniousPremise_Conflict,L'explication proposée à partir des signes disponibles est-elle suffisamment simple et fondée par rapport aux explications concurrentes moins coûteuses ?,"Ce n'est pas un undercut car raisonner à partir de signes reste légitime, ni un rebut car on ne démontre pas directement une explication opposée.",Le manque de parcimonie détourne l'argument par signe en ajoutant des prémisses explicatives excessives et insuffisamment justifiées.
596,Erreur mathématique,Échantillon biaisé,Argument from Example,undermine,premise,UnrepresentativeSample,Example_Inference,UnrepresentativeSample_Conflict,L'échantillon invoqué est-il représentatif de la population cible sur laquelle porte la conclusion générale ?,"Ce n'est ni un undercut, car l'inférence par exemple reste légitime si l'échantillon est représentatif, ni un rebut, car aucune contre-conclusion directe n'est produite.",Le sophisme constitue une exception à l'argument par l'exemple parce que la prémisse empirique utilisée comme base d'induction est biaisée.
644,Erreur mathématique,Probabilités faussées,Argument from Sign,undermine,premise,BaseRateNeglect,Sign_Inference,BaseRateNeglect_Conflict,La probabilité invoquée tient-elle compte des taux de base et de toutes les hypothèses pertinentes avant de traiter le signe comme probant ?,"Ce n'est pas un undercut car un indice probabiliste peut légitimement fonctionner comme signe, ni un rebut car on n'établit pas directement que l'accusé est innocent.",Le sophisme détourne l'argument par signe en fondant l'indice sur une prémisse probabiliste mal interprétée et donc insuffisamment acceptable.
658,Erreur mathématique,Infini fallacieux,Argument from Slippery Slope,undercut,inference_rule,UnwarrantedContinuum,SlipperySlope_Inference,UnwarrantedContinuum_Conflict,Le passage supposé d'une première remise en question à une série infinie de remises en question est-il réellement nécessaire et sans seuil d'arrêt pertinent ?,"Ce n'est pas un undermine car la première remise en question peut être réelle, ni un rebut car aucune conclusion opposée n'est directement démontrée.",Le sophisme abuse de la pente glissante en traitant indûment une progression potentiellement infinie comme une conséquence inévitable.
667,Erreur mathématique,Imprécision,Argument from Sign,undermine,premise,ImpreciseData,Sign_Inference,ImpreciseData_Conflict,Les données invoquées sont-elles assez précises et mesurables pour servir de signe fiable en faveur de la conclusion ?,"Ce n'est pas un undercut car l'inférence par signe reste possible avec des données précises, ni un rebut car aucune conclusion contraire n'est établie.",Le sophisme fait exception à l'argument par signe parce que le signe allégué repose sur une prémisse vague ou imprécise.
