fallacy_pk,family,fallacy_name,skos_signature,RA_scheme,attack_type,attacked_component,AIF_attackType,AIF_attackedNode,precedent_pk,confidence,justification
1198,Cheating,Essentialisme,Direct=- | Exception=Preference_Scheme | skos:broadMatch,Preference_Scheme (exception scheme),undermine,premise (I),undermine,I-node,953,HIGH,L'essentialisme pose une essence fixe comme premisse non justifiee — undermine. Precedent Preference_Scheme→undermine (pk953).
1083,Cheating,Apophénie,Direct=- | Exception=Sign_Inference | skos:broadMatch,Sign_Inference (exception scheme),undermine,premise (I),undermine,I-node,357,HIGH,L'apophenie voit un signe la ou il n'y en a pas : la premisse-signe est spurious — undermine. Precedent Sign_Inference→undermine (pk357).
1090,Cheating,Biais émotionnels,Direct=OppositeConsequences_Conflict | Exception=Preference_Scheme | skos:broadMatch,Preference_Scheme (exception) + OppositeConsequences_Conflict (CQ),undermine,premise (I),undermine,I-node,953,MED,"Les biais emotionnels substituent une preference affective a la justification (premisse) — undermine. Vote precedent depuis Preference_Scheme (pk953). Flag: CQ primaire OppositeConsequences_Conflict sans precedent direct ; undermine retenu par semantique (premisse affective), coherent avec la famille des biais."
1092,Cheating,Biais de négativité,Direct=- | Exception=NegativeConsequences_Inference | skos:broadMatch,NegativeConsequences_Inference (exception scheme),undermine,premise (I),undermine,I-node,322,HIGH,"Le biais de negativite sur-pese les consequences negatives : premisse deformee — undermine. Precedent NegativeConsequences_Inference→undermine (pk322 Repoussoir), meme token."
1104,Cheating,Biais d'autocomplaisance,Direct=- | Exception=PositiveConsequences_Inference | skos:broadMatch,PositiveConsequences_Inference (exception scheme),undermine,premise (I),undermine,I-node,300,HIGH,"Le biais d'autocomplaisance sur-pese les consequences positives pour soi : premisse deformee — undermine. Precedent PositiveConsequences_Inference→undermine (pk300 Connivence), meme token."
1,Insufficiency,Insuffisance,Direct=GeneralAcceptanceDoubt_Conflict | Exception=- | skos:broadMatch,GeneralAcceptanceDoubt_Conflict (CQ questioning that the premise is genuinely accepted),undermine,premise (I),undermine,I-node,953+177,HIGH,"Le doute sur l'acceptation generale attaque l'acceptabilite de la premisse (l'argument repose sur une adhesion non etablie) — undermine. Precedents pk953 Attention selective + pk177 Langage persuasif, memes tokens, undermine."
70,Insufficiency,Préjugé,"Direct=Bias_Inference | Exception=PopularOpinion_Inference, EstablishedRule_Inference, PracticalReasoning_Inference, PositionToKnow_Inference, Preference_Scheme, PresumptiveInference_Scheme | skos:broadMatch",Bias_Inference + 6 schemes (PopularOpinion/EstablishedRule/PracticalReasoning/PositionToKnow/Preference/PresumptiveInference),undermine,premise (I),undermine,I-node,177+340+953,HIGH,"Le prejuge attaque l'acceptabilite des premisses (schemes presomptifs appliques sans verification) — undermine. Six tokens de scheme, tous avec precedent undermine (pk177/340/953). Convergence forte."
133,Insufficiency,Surinterprétation,Direct=LackOfCompleteKnowledge_Conflict | Exception=Sign_Inference | skos:broadMatch,Sign_Inference (exception scheme) + LackOfCompleteKnowledge_Conflict (CQ),undermine,premise (I),undermine,I-node,357,HIGH,La surinterpretation traite un signe faible comme suffisant ; le CQ (connaissance incomplete) attaque la suffisance de la premisse-signe — undermine. Precedent Sign_Inference→undermine (pk357 Conditionnement).
3,Insufficiency,Argument vide,Direct=OppositeConsequences_Conflict | Exception=PopularOpinion_Inference | skos:broadMatch,PopularOpinion_Inference (exception scheme) + OppositeConsequences_Conflict (CQ),undermine,premise (I),undermine,I-node,177,MED,"L'argument vide s'appuie sur une premisse d'adhesion populaire sans contenu propre — undermine (premisse). Vote precedent depuis PopularOpinion_Inference (pk177). Flag: le CQ primaire OppositeConsequences_Conflict n'a pas de precedent direct ; retenu undermine par la semantique du sophisme (vacuite de la premisse), pas rebut."
4,Insufficiency,Appel à l'ignorance,Direct=Ignorance_Inference | Exception=- | skos:broadMatch,Ignorance_Inference (the argument-from-ignorance inference rule),undercut,inference (RA),undercut,RA-node,750,HIGH,"L'appel a l'ignorance : de « non prouve faux » on infere « vrai » — la regle d'inference elle-meme est invalide, pas une premisse — undercut. Precedent Ignorance_Inference→undercut (pk750 Erreur de modalite), meme token + semantique concordante."
799,Misleading language,Définition biaisée,"Direct=BiasedClassification_Conflict, ArbitraryVerbalClassification_Inference | Exception=VerbalClassification_Inference | skos:broadMatch",VerbalClassification_Inference (exception) + BiasedClassification/ArbitraryVerbalClassification CQ,undermine,premise (I),undermine,I-node,177,HIGH,La definition biaisee attaque la premisse de classification (la categorie est construite pour biaiser) — undermine. Precedent ArbitraryVerbalClassification_Inference→undermine (pk177).
