path,coordonnées,catégorie,sous-catégorie,titre,baratineur,piocheur,contexte,enjeu,suggestion,CCby,category,subcategory,title,smoothTalker,drawer,context,issue,suggestion_en,category_ru,subcategory_ru,title_ru,smoothTalker_ru,drawer_ru,context_ru,issue_ru,suggestion_ru,category_pt,subcategory_pt,title_pt,smoothTalker_pt,drawer_pt,context_pt,issue_pt,suggestion_pt,édition février 2022,print_&_play_fevrier_2022
1.1.1,"1,11",histoire,antiquité,la mère de césar et Cléopâtre,la mère de César,César,César est dictateur à vie de la Rome antique.,"Le baratineur doit le dissuader de se rapprocher de Cléopâtre, la reine d’Égypte","Mère, j'ai pris la décision d'épouser Cléopâtre.",Argumentum,history,antiquity,César and Cleopatra's mother,Caesar's mother,Caesar,César is a dictator for life of ancient Rome.,"The baratineur must dissuade him from getting closer to Cleopatra, the Queen of Egypt","Mother, I made the decision to marry Cleopatra.",история,древность,Мать Сезар и Клеопатру,Мать Цезаря,Цезарь,Сезар является диктатором жизни древнего Рима.,"Баратинер должен отговорить его от приближения к Клеопатре, королеве Египта","Мать, я приняла решение жениться на Клеопатре.",história,antiguidade,César e a mãe de Cleópatra,Mãe de César,César,César é um ditador da vida da Roma antiga.,"O baratineur deve dissuadi -lo de se aproximar de Cleópatra, a rainha do Egito","Mãe, tomei a decisão de me casar com Cleópatra.",1,1
1.3.2,"1,32",histoire,temps modernes,le droit de vote des femmes,Un révolutionnaire misogyne,Une suffragette,"Pendant la révolution française, les suffragettes travaillent à faire reconnaître le droit de vote des femmes. ",Le baratineur doit justifier que les femmes ne devraient pas l’obtenir.,La femme a le droit de monter à l’échafaud ; elle doit avoir également celui de monter à la tribune.,Argumentum,history,modern world,Olympe de Gouge and women's right to vote,A misogynistic revolutionary,Olympus of Gouge,"During the French Revolution, suffragettes worked to have women's right to vote recognized.",Try to justify that women should not get it.,The woman has the right to go up to the scaffold; she must also have the right to go up to the platform.,история,современное время,право женщин голосовать,Жизнерный революционер,Избирательное право,"Во время французской революции избирательные участки работают, чтобы женщины признали право голоса.","Баратинеер должен оправдать, что женщины не должны его получить.","Женщина имеет право подняться на каркас; У нее также должен быть один, чтобы подняться в галерею.",história,tempos modernos,o direito das mulheres de votar,Um revolucionário misógino,Um sufrágio,"Durante a Revolução Francesa, os sufrágios trabalham para que as mulheres reconhecessem o direito de votar.",O baratinener deve justificar que as mulheres não devem obtê -lo.,A mulher tem o direito de subir ao andaime; Ela também deve ter o único para ir até a galeria.,1,1
1.4.4,"1,44",histoire,20e et 21e siècle,les droits de l'homme,Le délégué d'un tout petit pays,Le président des Nations Unies,"Suite aux horreurs de la seconde guerre mondiale, les nations décident de ratifier la déclaration des droits de l’homme. ",Le baratineur doit essayer d’en empêcher la signature.,Tous les hommes naissent libres et égaux en droit et en dignité.,Argumentum,history,20th and 21st century,Human rights,The delegate of a very small country,,"Following the horrors of the Second World War, nations decided to ratify the declaration of human rights.",Try to stop it from being signed.,All men are born free and equal in rights and dignity.,история,20 -й и 21 век,права человека,Делегат очень маленькой страны,Президент Организации Объединенных Наций,После ужасов Второй мировой войны народы решают ратифицировать декларацию прав человека.,Баратинеер должен попытаться предотвратить подпись.,Все мужчины рождаются свободными и равными по закону и достоинству.,história,Século XX e 21,direitos humanos,O delegado de um país muito pequeno,O presidente das Nações Unidas,"Após os horrores da Segunda Guerra Mundial, as nações decidem ratificar a declaração dos direitos humanos.",O baratinener deve tentar impedir a assinatura.,Todos os homens nascem livres e iguais em direito e dignidade.,1,1
2.1.1,"2,11",mythologie,contes et littérature,La femme de Barbe Bleue,La femme de Barbe Bleue,Barbe bleue, Barbe Bleue a compris que le baratineur à découvert son cabinet secret où sont suspendus les corps égorgées de ses six précédentes femmes.  Il s'apprête à l'égorger à son tour. ,Le baratineur doit l’en dissuader.,"Je t'avais dit de ne pas ouvrir mon cabinet, maintenant tu dois mourir.",Argumentum,mythology,stories and literature,Bluebeard's wife,Bluebeard's wife,Bluebeard,You're Bluebeard's seventh wife. You've discovered his secret cabinet where the throat-cutting bodies of his six previous wives hang. He discovered you and will slit your throat in your turn.,Try to talk him out of it.,"I told you not to open my practice, now you have to die.",мифология,Рассказы и литература,Женщина из голубой бороды,Женщина из голубой бороды,Голубая борода," BlueBeard понял, что баратинер обнаружил свой секретный кабинет, где тела, убитые его предыдущими женщинами, приостановлены. Он готовится убить его по очереди.",Баратинер должен отговорить его от этого.,"Я сказал тебе не открывать свой офис, теперь ты должен умереть.",mitologia,Contos e literatura,A mulher da barba azul,A mulher da barba azul,Barba azul,"Bluebeard entendeu que o baratineur descobriu seu gabinete secreto, onde os corpos abatidos de suas mulheres anteriores são suspensos. Ele está se preparando para matá-lo por sua vez.",O baratiner deve dissuadi-lo dele.,"Eu disse para você não abrir meu escritório, agora você tem que morrer.",1,1
2.2.2,"2,22",mythologie,du livre,les portes du Paradis,Juda,Le gardien de l'entrée,Le baratineur a vendu son ami et seigneur Jésus Christ aux romains pour qu’il soit exécuté. Il arrive devant les portes du paradis. ,Il doit convaincre le garde de le laisser entrer.,"Toi, il eût mieux valu que tu ne fusses point né.",Argumentum,mythology,book,The Gates of Paradise,Judah,the gatekeeper,You are Judas Iscarioth. You sold your friend and lord Jesus Christ to the Romans to be executed. Now you stand before the gates of heaven.,Try to convince the guard to let you in.,"You, it would have been better if you hadn't been born.",мифология,книга,Двери рая,Иуда,Въезд вратаря,"Баратинер продал своего друга и Господа Иисуса Христа римлянам, чтобы быть казненными. Он прибывает перед дверями рая.",Он должен убедить охранника позволить ему войти.,"Вы были бы лучше, чем вы родились.",mitologia,livro,As portas do paraíso,Judá,O goleiro de entrada,O baratineur vendeu seu amigo e Senhor Jesus Cristo para os romanos para serem executados. Ele chega em frente às portas do paraíso.,Ele deve convencer o guarda para deixá -lo entrar.,Você teria sido melhor do que nasceu.,1,1
2.3.1,"2,31",mythologie,gréco-latine,le prétendant de Pénélope,Le prétendant,Pénélope,"Le roi de l'île d'Ithaque, Ulysse, est parti depuis dix ans à la guerre et n’a plus donné de nouvelle. ","Le baratineur doit convaincre sa femme, Pénélope, de le prendre pour époux et de le faire roi.","Ulysse reviendra, j'en suis persuadée.",Argumentum,mythology,Greco-Latin,Penelope's suitor,The suitor,Penelope,"You are an inhabitant of the island of Ithaca whose king, Odysseus, has been at war for ten years and has not given any more news.","Try to convince his wife, Penelope, to take you as her husband and make you king.","Odysseus will return, I am sure.",мифология,Греко-латин,Предупреждение пенелопа,Претендент,Пенелопа,"Король острова Итака, Улисс, оставил войну в течение десяти лет и не дал никаких новостей.","Баратинер должен убедить свою жену, Пенелопу, взять его за мужа и сделать его королем.","Ulysses вернется, я убежден.",mitologia,Greco-latina,O pretendente de Pénélope,O pretendente,Penélope,"O rei da ilha de Ithaca, Ulisses, deixou a guerra há dez anos e não deu nenhuma notícia.","O baratineur deve convencer sua esposa, Penelope, a levá -lo para o marido e fazê -lo rei.","Ulisses voltará, estou convencido.",1,1
3.1.5,"3,15",relation intime,drague et séduction,le pizzaïolo,Un pizzaïolo,Sa conquête de la veille,"Pour séduire, le baratineur a menti en s'attribuant un emploi prestigieux. Le lendemain, sa conquête entre dans la pizzeria dans laquelle il travaille en réalité. ",Le baratineur doit obtenir un second rendez-vous.,Mais... tu m'as menti en fait!,Argumentum,intimate relation,flirting and seduction,Pizzaïolo,A pizza boy,His conquest of the day before,"In order to seduce, you lied and gave yourself a prestigious job. The next day, your conquest enters the pizzeria where you actually work.",Get a second date.,But... you actually lied to me!,интимные отношения,Драг и соблазн,Пиццаиоло,Пиццаиоло,Его завоевание за день до,"Чтобы соблазнить, баратинеер солгал, взяв на себя престижную работу. На следующий день его завоевание вошло в пиццерию, в которой он на самом деле работает.",Баратинер должен получить второе назначение.,Но ... ты мне лгал!,relacionamento íntimo,Arrasto e sedução,A pizzaïolo,Um pizzaiolo,Sua conquista do dia antes,"Para seduzir, o baratinener mentiu, aceitando um emprego de prestígio. No dia seguinte, sua conquista entrou na pizzaria na qual ele realmente trabalha.",O baratineur deve obter um segundo compromisso.,Mas ... você mentiu para mim de fato!,1,1
3.2.1,"3,21",relation intime,couple,emménager ensemble,Celle ou celui qui veut emménager,Celle ou celui qui ne veut pas emménager,Cela fait deux semaines que le baratineur qui n'a pas de logement à lui a entamé une nouvelle relation. Son partenaire et lui se sont vu trois fois.,Le baratineur doit convaincre de le laisser emménager chez lui.,"Attends, tu ne trouves pas que ça irait un peu vite?",Argumentum,intimate relation,couple,move in together,the one who doesn't want to get married,whoever wants to get married,,,,интимные отношения,пара,двигаться вместе,"Тот, кто хочет двигаться","Тот, кто не хочет двигаться","Прошло две недели с тех пор, как у баратера, у которого нет жилья, начал новые отношения. Его партнер и он видел друг друга три раза.",Баратинер должен убедить позволить ему переехать в свой дом.,"Подожди, ты не думаешь, что это пойдет немного быстро?",relacionamento íntimo,casal,mova -se juntos,Aquele que quer se mudar,Aquele que não quer se mover,Faz duas semanas desde que o Barater que não tem acomodações iniciou um novo relacionamento. Seu parceiro e ele se viram três vezes.,O baratineur deve convencer para deixá -lo se mudar para sua casa.,"Espere, você não acha que iria um pouco rapidamente?",1,1
3.2.3,"3,23",relation intime,couple,mariage ou pas,Celle ou celui qui ne veut pas se marier,Celle ou celui qui veut se marier,Cela fait cinq ans que le baratineur a une relation harmonieuse avec son conjoint. Il ou elle le demande en mariage.,Le baratineur doir refuser sans rompre.,Est-ce que tu veux m'épouser?,Argumentum,intimate relation,couple,marriage,the one who doesn't want to get married,whoever wants to get married,,,,интимные отношения,пара,свадьба или нет,"Тот, кто не хочет вступать в брак","Тот, кто хочет жениться","Прошло пять лет с тех пор, как баратинеер имеет гармоничные отношения со своим супругом. Он или она просит это в браке.","Баратинер должен отказаться, не сломавшись.",Вы хотите на мне жениться?,relacionamento íntimo,casal,casamento ou não,Aquele que não quer se casar,Aquele que quer se casar,Faz cinco anos desde que o Baratinener tem um relacionamento harmonioso com seu cônjuge. Ele ou ela pede isso em casamento.,O baratineur deve recusar sem quebrar.,Você quer casar comigo?,1,1
3.4.1,"3,41",relation intime,jalousie,2+1,Une femme,Son partenaire,Le baratineur est la femme d'un couple. Son époux suggère de corser sa vie sexuelle avec un plan à trois avec une autre femme. ,Le baratineur doit le convaincre que ce soit plutôt avec un autre homme et lui.,Je suis sûr que ça va te plaire.,Argumentum,intimate relation,jealousy,2+1,A woman,His partner,You're the woman in a couple. Your husband suggests a threesome with you and another woman to spice up your sex life.,Convince him to do it with you and another man instead.,I'm sure you'll like it.,интимные отношения,Ревность,2+1,Девушка,Его партнер,Баратинер - жена пары. Ее муж предлагает лифу на ее сексуальной жизни с тремя планами с другой женщиной.,"Баратинер должен убедить его, что это скорее с другим человеком и ним.","Я уверен, что вам это понравится.",relacionamento íntimo,ciúmes,2+1,Uma mulher,Seu parceiro,O baratineur é a esposa de um casal. Seu marido sugere corpete em sua vida sexual com um plano de três caminhos com outra mulher.,O baratineur deve convencê -lo de que é mais com outro homem e ele.,Tenho certeza que você vai gostar.,1,1
