virtue_pk,virtue_title,prevented_family_pk,prevented_family_name,crossLink_Opposes,opposed_fallacies_readable,AIF_skosDirectRef,AIF_skosMappingType,link_type,justification
200,Respect du sujet,1280,Obstruction,1313;1297,1313 Évasion . 1297 Preuve par assertion,Argument from Commitment,L'interlocuteur traite-t-il effectivement le sujet auquel il s'est engagé ?,crossLink_Opposes,Le respect du sujet empêche l'obstruction en restaurant l'exigence de répondre au point discuté plutôt que de l'éluder.
201,Principe de clarté,1280,Obstruction,1345;1287,1345 Complication exagérée . 1287 Pseudo-explication,Argument from Verbal Classification,Les termes et distinctions employés rendent-ils la thèse clairement compréhensible ?,crossLink_Opposes,Le principe de clarté prévient l'obstruction en exigeant que les formulations éclairent le débat au lieu de l'embrouiller.
202,Éviter les digressions,1280,Obstruction,1313;1345,1313 Évasion . 1345 Complication exagérée,Argument from Commitment,La contribution reste-t-elle liée à la question principale en discussion ?,crossLink_Opposes,Éviter les digressions empêche l'obstruction en maintenant l'engagement dialectique sur la question à résoudre.
203,Concentration sur l'essentiel,1280,Obstruction,1345;1313,1345 Complication exagérée . 1313 Évasion,Argument from Sign,Les éléments retenus sont-ils les signes pertinents pour trancher la question centrale ?,crossLink_Opposes,La concentration sur l'essentiel prévient l'obstruction en sélectionnant les points réellement décisifs au lieu de disperser le débat.
204,Gérer le temps imparti,1280,Obstruction,1345;1313,1345 Complication exagérée . 1313 Évasion,Argument from Consequences,La priorité donnée aux points essentiels permet-elle d'atteindre utilement l'objectif du débat dans le temps disponible ?,crossLink_Opposes,Gérer le temps imparti empêche l'obstruction en évitant que des détours ou détails excessifs empêchent le traitement des enjeux principaux.
205,Principe de charité,1280,Obstruction,322;1361,322 Repoussoir . 1361 Procès en incohérence,Argument from Commitment,L'argument adverse est-il interprété selon l'engagement le plus cohérent que son auteur peut raisonnablement soutenir ?,crossLink_Opposes,Le principe de charité prévient l'obstruction en répondant à la meilleure version de la position adverse plutôt qu'à une caricature.
206,Présomption de bonne foi,1280,Obstruction,1352;1398,1352 Empoisonnement du puits . 1398 Attaque personnelle,Argument from Bias,Existe-t-il des raisons suffisantes de conclure que l'interlocuteur est de mauvaise foi ?,crossLink_Opposes,La présomption de bonne foi empêche l'obstruction en refusant de disqualifier l'échange sans preuve d'un biais ou d'une intention déloyale.
208,Évaluation loyale de la position adverse,1280,Obstruction,322;1398,322 Repoussoir . 1398 Attaque personnelle,Argument from Commitment,La critique vise-t-elle la position réellement défendue par l'interlocuteur ?,crossLink_Opposes,"L'évaluation loyale de la position adverse prévient l'obstruction en jugeant les arguments tels qu'ils sont, sans déformation ni attaque personnelle."
209,Critique axée sur les arguments,1280,Obstruction,1398;1352,1398 Attaque personnelle . 1352 Empoisonnement du puits,Argument from Commitment,La critique porte-t-elle sur les raisons avancées plutôt que sur la personne qui les avance ?,crossLink_Opposes,La critique axée sur les arguments empêche l'obstruction en maintenant l'examen sur les engagements argumentatifs pertinents.
210,Reconnaissance de la position adverse,1280,Obstruction,322;1313,322 Repoussoir . 1313 Évasion,Argument from Commitment,La position attribuée à l'interlocuteur correspond-elle fidèlement à ses engagements explicites ?,crossLink_Opposes,La reconnaissance de la position adverse prévient l'obstruction en obligeant à répondre à la thèse effectivement soutenue.
211,Réfutation respectueuse,1280,Obstruction,322;1361,322 Repoussoir . 1361 Procès en incohérence,Argument from Commitment,La réfutation répond-elle précisément aux engagements réels de l'argument adverse ?,crossLink_Opposes,La réfutation respectueuse empêche l'obstruction en contestant la position adverse sans la dénaturer ni lui imputer une incohérence artificielle.
212,Respect de l’origine des idées,1280,Obstruction,1371;942,1371 Sophisme génétique . 942 Fausse attribution,Argument from Commitment,L'origine d'une idée est-elle reconnue sans remplacer l'évaluation de son contenu ?,crossLink_Opposes,Le respect de l'origine des idées prévient l'obstruction en distinguant l'attribution correcte d'une idée de sa valeur argumentative.
