PK,path,decimal_path,depth,Famille,Sous-Famille,Sous-sous-famille,état,carte,niveau,nom_vulgarisé,text_fr,LTfr,Simple_name_en,text_en,LTen,link_fr,link_en,desc_fr,Lfr115,example_fr,Lxfr145,desc_en,Len115,example_en,Lxen145,Simple_name_Farsi,Text_Farsi,LTFarsi,link_Farsi,Description_Farsi,Len115,Example_Farsi,Lxen145,Remarques,latin,exemple politique,political_example_en,proverbe,+liens transverses,type lien transverse,shape,image,svg_color,svg_illustration
0,0,0,0,Argument fallacieux,,,,,,,Argument fallacieux,19,,Fallacies,9,https://fr.wikipedia.org/wiki/Sophisme,https://en.wikipedia.org/wiki/Fallacy,Votre discours vise à tromper votre auditoire.,46,Tout ce qui rare est cher. Un cheval bon marché est rare. Donc un cheval bon marché est cher. ,94,Your argumentation aims at convincing your audience by deceptive means.,71," ""All that's rare is expensive. A cheap horse is rare. A cheap horse is therefore expensive""",92,,,0,,,0,,0,,,,,,,,diamond,,,
1,1,1,1,Insuffisance,,,"Jesse OK, manquent liens",1,,,Insuffisance,12,,Insufficiency,13,,,Les arguments que vous utilisez ne suffisent pas à démontrer votre propos.,74,,0,Using unconvincing arguments which are not sufficient to prove the point.,73,"It's very warm over there, that's why they are lazy.",52,,,0,,,0,,0,light green 3: validé par ben le 3 octobre,,,,"Le bon blé porte l'ivraie.""",,,square,fusil cassé,#a901ef,
2,1.1,"1,1",2,Insuffisance,"Argument
bâclé",,"Jesse OK, manquent liens",1,,,"Argument
bâclé",14,,Slovenly argument,17,,,"Votre raisonnement manque de rigueur, il s'appuie sur des impressions ou des faits anecdotiques.",96,"Hier, j'ai marché dans une crotte de chien en saluant un passant dans la rue. En ville, mieux vaut éviter de s'adresser à des inconnus.",135,Providing weak arguments based on shaky grounds such as hearsay or anecdotal evidence.,86,"Yesterday, I smiled to a stranger in the street, and then stepped in dog poo. In cities, one should remain aloof to be secure.",126,,,0,,,0,,0,,,,,"""Pardonne à tous mais non à toi.""",,,circle,démon qui lit (bof),,
3,1.1.1,"1,11",3,Insuffisance,"Argument
bâclé",Justification triviale,"Jesse OK, manquent liens",2,,,Justification triviale,22,,Trivial Justification,21,,,"Vous attribuez à une habitude, une impression ou un exemple la valeur d'une preuve.",83,J'ai entendu dire que cette personne était sexiste ; il m'est donc impossible d'être en accord avec elle sur quoi que ce soit.,126,"Using anecdotes, habits or intuition as evidence.",49,We can't agree with him. I heard he is a sexist.,48,,,0,,,0,,0,,,,,"""Nulle rose sans épine.""",,,circle,,,
4,1.1.1.1,"1,111",4,Insuffisance,"Argument
bâclé",Justification triviale,"Jesse OK
",2,1,,Preuve anecdotique,18,,Anecdotal evidence,18,,http://rationalwiki.org/wiki/Anecdotal_evidence,Vous attribuez à un événement fortuit ou à un exemple la valeur d'un argument.,78,J'ai eu de bonnes notes en mathématiques après avoir bu du jus de cassis ; le jus de cassis rend donc fort en mathématiques.,124,Using anecdotes or examples to either support or refute a claim.,64,"I drank grapefruit juice and I got good grades at school. Thus, grapefruit juice is good for school.",100,,,0,,,0,,0,,,,,"Juillet sans orage,
Famine au village.""",,,circle,microscope,,
5,1.1.1.1.1,"1,1111",5,Insuffisance,"Argument
bâclé",Justification triviale,,,,,Argument par ouï-dire,21,,Argument from hearsay,21,,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/52/Argument-from-Hearsay,Votre discours repose sur des propos rapportés et donc invérifiables.,69,Jean a entendu Pierre qui a entendu Jacques dire que les autruches volent en Nouvelle Calédonie,95,Presenting the testimonies told by a source so remote that it can't be verified.,80,John heard Peter say that Jack claims that ostriches of New Caledonia can actually fly.,87,,,0,,,0,,0,,Chinese whisper,,,"""Téléphone arabe""",,,circle,,,
6,1.1.1.1.2,"1,1112",5,Insuffisance,"Argument
bâclé",Justification triviale,,,,,Hypothèse contraire aux faits,29,,Counterfactual assumption,25,,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/106/Hypothesis-Contrary-to-Fact,Vous attribuez à une simple conjecture la valeur d'un événement incontestable.,78,"Si Obama avait été plus sérieux, il aurait été réélu.XXXSi la gauche parvient à s'unir, elle gagné les élection. Ensuite on peut faire une Europe sociale.",154,Arguing on the basis of an assumption which is not actually true.,65,A more conscientious Obama would have been re-elected.XXXA united left would win French election. That would enable Europe to make more social policies.,152,,,0,,,0,,0,En quoi est-ce anecdotique?,"If wishes where horses, beggars would ride.",,,"""Avec des si et des mais, on met Paris en bouteille""",,,circle,,,
7,1.1.1.1.3,"1,1113",5,Insuffisance,"Argument
bâclé",Justification triviale,,,,,Sophisme pragmatique,20,,Pragmatic fallacy,17,,http://rationalwiki.org/wiki/Pragmatic_fallacy,Vous considérez qu'une solution est adaptée à une personne car elle a déjà fonctionné pour une autre.,101,L'uniforme m'a permi de recadrer ma vie. Tout le monde devrait passer par l'armée.,82,Assuming that something which helped one (usually the speaker) will help anyone.,80,Gardening cured me from anxiety. We should make the unruly urban youth work in the fields. XXXXj'aime beaucoup mais ptet un peu trop provov. à valider,150,,,0,,,0,,0,,,,,,,,circle,,,
8,1.1.1.1.3.1,"1,11131",6,Insuffisance,"Argument
bâclé",Justification triviale,,,,,La pendule cassée,17,,The broken clock,16,,http://rationalwiki.org/wiki/Stopped_clock,Vous généralisez une conclusion sous prétexte qu'elle se vérifie dans un cas particulier pourtant dû au hasard.,111,"Lorsque l'horloge est arrêtée, il est possible, 2 minutes par jour, de défendre l'idée selon laquelle elle fonctionne : quand l'heure réelle correspond à la position sur laquelle elle est arrêtée, ses prédictions sont ""justes"".",227,"Asserting the accuracy of a theory on the basis of its correct prediction on one or several specific, lucky cases.",114,"When a clock is broken, its arms tell the correct time twice a day. At these precise moments, one can argue that the clock tells the correct time.",146,,,0,,,0,,0,,A broken clock tells the correct time twice a day.,,,"""Même une horloge en panne donne la bonne heure deux fois par jour"". ",,,circle,,,
9,1.1.1.1.3.2,"1,11132",6,Insuffisance,"Argument
bâclé",Justification triviale,,,,,La roue grinçante,17,True untill proven false. XXXptet inverser simple et text_en,The squeaky wheel,17,,https://en.wikipedia.org/wiki/The_squeaky_wheel_gets_the_grease*,Vous fondez la validité de votre position sur le fait qu'elle n'a été ni contestée ni réfutée.,94, ,1,Grounding the validity of an argument on the absence of contrary evidence rather than on supporting evidence.,109,,,,,0,,,0,,,"lien transverse avec renversement de la charge de la preuve
",The squeaky wheel gets the grease.,,,The squeaky wheel gets the grease.,,,circle,,,
