virtue_pk,virtue_title,prevented_family_pk,prevented_family_name,crossLink_Opposes,opposed_fallacies_readable,AIF_skosDirectRef,AIF_skosMappingType,link_type,justification
61,Échantillonnage représentatif,594,Erreur mathématique,596;759,596=Échantillon biaisé; 759=Conclusion hâtive,Argument from Example,L'échantillon est-il suffisamment représentatif de la population étudiée ?,crossLink_Opposes,La vertu prévient l'échantillon biaisé en rétablissant la question de la représentativité des cas utilisés pour généraliser.
62,Prise en compte des exceptions,594,Erreur mathématique,614;759,614=Sophisme de l'accident; 759=Conclusion hâtive,Argument from Rule,La règle générale tient-elle compte des exceptions pertinentes ?,crossLink_Opposes,La vertu prévient l'application abusive d'une règle en exigeant que les exceptions pertinentes soient intégrées avant de conclure.
63,Transfert licite,594,Erreur mathématique,621;839,621=Transfert illicite; 839=Fausse analogie,Argument from Analogy,Les similitudes entre les domaines justifient-elles réellement le transfert de la généralisation ?,crossLink_Opposes,La vertu prévient le transfert illicite en vérifiant que les ressemblances pertinentes l'emportent sur les différences significatives.
65,Corrélations avérées,594,Erreur mathématique,633;719,633=Relation infondée; 719=Effet cigogne,Argument from Sign,La corrélation observée est-elle statistiquement fiable et interprétée sans causalité abusive ?,crossLink_Opposes,La vertu prévient les relations infondées en exigeant des preuves statistiques fiables avant d'interpréter une corrélation.
66,Estimation méthodique,594,Erreur mathématique,633;644,633=Relation infondée; 644=Probabilités faussées,Argument from Sign,La méthode d'estimation utilisée est-elle appropriée aux données et à l'incertitude mesurée ?,crossLink_Opposes,La vertu prévient les estimations trompeuses en restaurant la question de l'adéquation méthodologique du calcul statistique.
67,Probabilités maîtrisées,594,Erreur mathématique,644;681,644=Probabilités faussées; 681=Erreur de calcul,Argument from Sign,Les probabilités sont-elles calculées et interprétées conformément aux principes probabilistes ?,crossLink_Opposes,La vertu prévient les probabilités faussées en exigeant un calcul et une interprétation probabilistes corrects.
68,Indépendance des événements,594,Erreur mathématique,644;633,644=Probabilités faussées; 633=Relation infondée,Argument from Cause to Effect,"Les événements sont-ils réellement indépendants, sans influence probabiliste de l'un sur l'autre ?",crossLink_Opposes,La vertu prévient les probabilités faussées en vérifiant si une dépendance causale ou statistique modifie le calcul attendu.
69,Raisonnement bayésien,594,Erreur mathématique,644;707,644=Probabilités faussées; 707=Inversion de causalité,Argument from Sign,La probabilité de l'hypothèse est-elle correctement mise à jour à partir des nouvelles données ?,crossLink_Opposes,La vertu prévient les erreurs bayésiennes en restaurant la question du bon usage des informations nouvelles dans l'actualisation probabiliste.
70,Support fini,594,Erreur mathématique,658;644,658=Infini fallacieux; 644=Probabilités faussées,Argument from Rule,L'espace des résultats possibles est-il bien fini et correctement délimité ?,crossLink_Opposes,La vertu prévient l'infini fallacieux en imposant une délimitation exacte du support avant tout raisonnement probabiliste.
72,Mesures précises,594,Erreur mathématique,667;681,667=Imprécision; 681=Erreur de calcul,Argument from Sign,La précision des mesures est-elle adaptée à l'objectif de l'étude ?,crossLink_Opposes,La vertu prévient les erreurs significatives en restaurant la question de l'adéquation entre précision mesurée et conclusion visée.
73,Données claires,594,Erreur mathématique,667;804,667=Imprécision; 804=Acception arbitraire,Argument from Sign,"Les données sont-elles assez claires, structurées et vérifiables pour soutenir l'interprétation ?",crossLink_Opposes,La vertu prévient l'imprécision en exigeant que les données soient présentées selon des protocoles permettant leur contrôle.
74,Calculs exacts,594,Erreur mathématique,681;690,681=Erreur de calcul; 690=Opération inappropriée,Argument from Sign,"Les calculs, arrondis et mesures utilisés sont-ils exacts et pertinents pour le résultat ?",crossLink_Opposes,La vertu prévient les erreurs de calcul en vérifiant l'exactitude des opérations numériques et la pertinence des valeurs employées.
75,Exactitude numérique,594,Erreur mathématique,681;667,681=Erreur de calcul; 667=Imprécision,Argument from Sign,"Les nombres utilisés sont-ils choisis, traités et arrondis avec la rigueur requise ?",crossLink_Opposes,La vertu prévient l'inexactitude numérique en restaurant la question de la fiabilité des chiffres mobilisés dans le raisonnement.
76,Justesse géométrique,594,Erreur mathématique,681;690,681=Erreur de calcul; 690=Opération inappropriée,Argument from Sign,La figure géométrique respecte-t-elle les règles et précisions nécessaires à la conclusion ?,crossLink_Opposes,La vertu prévient les résultats géométriques erronés en exigeant que la construction figure correctement les relations mathématiques pertinentes.
77,Exactitude topologique,594,Erreur mathématique,690;667,690=Opération inappropriée; 667=Imprécision,Argument from Verbal Classification,Les structures et relations topologiques sont-elles correctement caractérisées pour l'espace étudié ?,crossLink_Opposes,La vertu prévient les erreurs topologiques en restaurant la question de la classification exacte des formes et relations spatiales.
78,Opérations valides,594,Erreur mathématique,690;681,690=Opération inappropriée; 681=Erreur de calcul,Argument from Rule,L'opération appliquée est-elle valide pour les objets mathématiques et le contexte considérés ?,crossLink_Opposes,La vertu prévient les opérations inappropriées en exigeant que chaque règle de calcul soit applicable au cas traité.
