PK,path,decimal_path,depth,Famille,Famille_camelCase,Sous-Famille,Soussousfamille,état,carte,niveau,nom_vulgarisé,Latin,text_fr,LTfr,desc_fr,Lfr115,example_fr,Lxfr145,link_fr,Family,Subfamily,Subsubfamily,text_en,LTen,Simple_name_en,desc_en,Len115,example_en,example_en_bis,Lxen145,link_en,Remarques,latin1,exemple politique,political_example_en,proverbe,Family_ru,Subfamily_ru,Subsubfamily_ru,text_ru,desc_ru,example_ru,link_ru,Family_pt,Subfamily_pt,Subsubfamily_pt,text_pt,desc_pt,example_pt,link_pt,Family_ar,Subfamily_ar,Subsubfamily_ar,text_ar,desc_ar,example_ar,link_ar,Family_es,Subfamily_es,Subsubfamily_es,text_es,desc_es,example_es,link_es,Family_zh,Subfamily_zh,Subsubfamily_zh,text_zh,desc_zh,example_zh,link_zh,Family_fa,Subfamily_fa,Subsubfamily_fa,text_fa,desc_fa,example_fa,link_fa,edition_fevrier_2022,print_&_play_fevrier_2022,+liens transverses,crossLink_PredatesOn,crossLink_Denounces,crossLink_Leverages,crossLink_Allows,crossLink_Opposes,crossLink_Inverts,crossLink_Mirrors,crossLink_IsRelatedTo,type lien transverse,AIF_skosDirectRef,AIF_skosExceptionRef,AIF_skosOther,AIF_skosMappingType,shape,image,svg_color,svg_illustration,print_and_play,decimal_path_padded,depth_max4
0,0,0,0,Argument fallacieux,argumentFallacieux,,,,,,,,Argument fallacieux,19,Votre discours vise à tromper votre auditoire.,46,Tout ce qui rare est cher. Un cheval bon marché est rare. Donc un cheval bon marché est cher.,94,https://fr.wikipedia.org/wiki/Sophisme,Fallacy,,,Fallacy,7,,Using an argument aimed at deceiving one's audience.,99,Everything rare is expensive. A cheap horse is rare. So a cheap horse is expensive.,,83,https://en.wikipedia.org/wiki/Fallacy,,,,,,Софизмы (ложные аргументы),,,Софизмы (ложные аргументы),Своим высказыванием вы стремитесь ввести аудиторию в заблуждение.,"Все редкое дорого. Дешевый конь - редкость. Значит, дешевый конь дорог.",https://ru.wikipedia.org/wiki/Софизм,Falácia,,,Falácia,"Seu argumento, embora possa parecer plausível, depende de reivindicações injustificadas e/ou irrazoáveis.","Tudo o que é raro é caro. Um cavalo barato é raro. Então, um cavalo barato é caro.",https://pt.wikipedia.org/wiki/Fal%C3%A1cia,السفسطة,,,السفسطة,خطابك يهدف إلى خداع جمهورك.,كل ما هو نادر ثمين. الحصان الرخيص نادر. إذن الحصان الرخيص ثمين.,https://ar.wikipedia.org/wiki/%D9%85%D8%BA%D8%A7%D9%84%D8%B7%D8%A9,Falacia,,,Falacia,Su discurso pretende engañar a su audiencia.,Todo lo que es raro es caro. Un caballo barato es raro. Así que un caballo barato es caro.,https://es.wikipedia.org/wiki/Falacia,谬论,,,谬论,你的论点虽然看起来似乎有道理，但依赖于不合理的或无根据的主张，目的是误导听众。,一切稀有的东西都很贵。一匹便宜的马很稀有。所以一匹便宜的马很贵。,https://zh.wikipedia.org/wiki/%E8%AC%AC%E8%AA%A4,بحث و جدل سفسطه‌آمیز,,,بحث و جدل سفسطه‌آمیز,گفتار شما به منظور فریب دادن مخاطبان شما است.,هر چیز کمیاب گرانبهاست. یک اسب ارزان قیمت کمیاب است. بنابراین، یک اسب ارزان قیمت گرانبها است.,https://fa.wikipedia.org/wiki/%D9%85%D8%BA%D8%A7%D9%84%D8%B7%D9%87,,,,,,,,,,,,,,,,,diamond,,,,,0.0000000,
1,1,1,1,Insuffisance,insuffisance,,,2,1,2,,,Insuffisance,12,Les arguments que vous utilisez ne suffisent pas à démontrer votre propos.,74,,0,,Insufficiency,,,Insufficiency,13,,The arguments used fail to provide adequate support for the conclusion.,71,,,75,,light green 3: validé par ben le 3 octobre,,,,"Le bon blé porte l'ivraie.""",недостаток,,,недостаток,"Аргументы, которые вы используете, недостаточны, чтобы подтвердить ваше высказывание.",,,Insuficiência,,,Insuficiência,Os argumentos usados não fornecem suporte adequado para a conclusão.,,,الادعاء غير الكافي,,,الادعاء غير الكافي,لن تدعم الحجج التي استخدمتها نتيجتك بشكل كافٍ.,,,Insuficiencia,,,Insuficiencia,Los argumentos que utiliza no son suficientes para demostrar su punto.,,,不足,,,不足,你使用的论点不足以支持你的结论。,,,ناکافی بودن,,,ناکافی بودن,استدلال‌هایی که استفاده می‌کنید برای استنتاج به اندازه کافی پشتیبانی نمی‌شوند.,,,,,,,,,,,,,,,GeneralAcceptanceDoubt_Conflict,,,skos:broadMatch,square,fusil cassé,#a901ef,,,1.0000000,1
2,1.1,"1,1",2,Insuffisance,insuffisance,Argument bâclé,,1,1,7,,,Généralisation hâtive,14,"Vous construisez un argument à partir d'impressions ou d'anecdotes, sans preuve solide.",87,"Hier, j'ai marché dans une crotte de chien après avoir salué un passant dans la rue. En ville, il vaut donc mieux éviter de parler à des inconnus.",135,,Insufficiency,Sloppy argument,,Hasty generalization,15,,"Basing an argument on impressions or anecdotes, without solid evidence.",72,"Yesterday, I stepped in dog poo after greeting a passer-by in the street. In the city, it is therefore better to avoid talking to strangers.",,131,,,,,,"""Pardonne à tous mais non à toi.""",недостаток,Топорный аргумент,,Поспешное обобщение,"Вы строите аргумент на впечатлениях или анекдотах, без надёжных доказательств.","Вчера я наступил на собачью какашку после того, как поздоровался с прохожим на улице. Значит, в городе лучше избегать разговоров с незнакомцами.",,Insuficiência,Argumento descuidado,,Generalização apressada,"Você baseia seu argumento em anedotas ou instinto, sem evidências sólidas.","Ontem, pisei em cocô de cachorro depois de cumprimentar um transeunte na rua. Na cidade, portanto, é melhor evitar falar com desconhecidos.",,الادعاء غير الكافي,الحجة الضعيفة,,تعميم متسرّع,تبني حجتك على انطباعات أو قصص دون دليل صلب.,بالأمس، وطئتُ براز كلب بعد أن حيّيتُ أحد المارّة في الشارع. لذلك، من الأفضل في المدينة تجنّب التحدث إلى الغرباء.,,Insuficiencia,Argumento descuidado,,Generalización apresurada,"Formula un argumento basado en impresiones o anécdotas, sin evidencia sólida.","Ayer pisé una caca de perro mientras saludaba a un transeúnte en la calle. En la ciudad, es mejor evitar dirigirse a desconocidos.",,不足,草率论点,,草率论点,你根据轶事或直觉而不是坚实的证据来提出论点。,昨天，我在街上向一名路人打招呼后踩到了狗屎。因此，在城市里最好避免和陌生人说话。,,ناکافی بودن,استدلال شلخته,,استدلال شلخته,شما استدلال‌های خود را بر اساس حکایات یا احساسات، بدون شواهد محکم، بیان می‌کنید.,دیروز، بعد از آن‌که در خیابان به رهگذری سلام کردم، پایم را در مدفوع سگ گذاشتم. پس در شهر بهتر است از صحبت کردن با غریبه‌ها پرهیز کرد.,,,,,,,,,,,,,,LackOfPTKReliability_Scheme,,,skos:broadMatch,circle,démon qui lit (bof),,,,1.1000000,2
3,1.1.1,"1,11",3,Insuffisance,insuffisance,Argument bâclé,Argument vide,2,1,8,,,Argument vide,13,Vous utilisez des affirmations qui n'apportent rien à la construction d'un argument convaincant.,88,"Il est inutile que je poursuive mes études, car l'avenir est incertain.",70,https://fr.wikipedia.org/wiki/Appel_%C3%A0_l%27ignorance,Insufficiency,Sloppy argument,Hollow argument,Hollow argument,15,,Using assertions that contribute nothing to building a convincing argument.,59,"There is no point in my continuing my studies, because the future is uncertain.",,77,https://en.wikipedia.org/wiki/Argument_from_ignorance," (portée limitée, argument vide ou appel à l'ignorance comme le suggère le lien???). J'aime l'exemple fr",,,,,недостаток,Топорный аргумент,Пустой аргумент,Пустой аргумент,"Вы используете утверждения, которые ничего не добавляют к построению убедительного аргумента.","Продолжение учебы бессмысленно, поскольку будущее неизвестно.",https://ru.wikipedia.org/wiki/Argumentum_ad_ignorantiam,Insuficiência,Argumento descuidado,Argumento vazio,Argumento vazio,Usando afirmações que não têm peso argumentativo.,"É inútil que eu continue meus estudos, pois o futuro é incerto.",,الادعاء غير الكافي,الحجة الضعيفة,الحجة الفارغة,الحجة الفارغة,تستخدم تصريحات لا تسهم في تكوين حجة مقنعة.,لا فائدة من أن أواصل دراستي، لأن المستقبل غير مؤكد.,,Insuficiencia,Argumento descuidado,Argumento vacío,Argumento vacío,Utiliza afirmaciones que no contribuyen a establecer un argumento convincente.,Es inútil que continúe mis estudios porque el futuro es incierto.,,不足,草率论点,空洞论点,空洞论点,使用没有任何论据分量的断言。,没有必要继续深造，因为我们的未来是不确定的。,,ناکافی بودن,استدلال شلخته,استدلال توخالی,استدلال توخالی,استفاده از ادعاهایی که هیچ وزن استدلالی ندارند.,نیازی به ادامه تحصیلات بیشتر نیست چون آینده ما بسیار نامشخص است.,,,,,,,,,,,,7.1.2.3,,OppositeConsequences_Conflict,PopularOpinion_Inference,,skos:broadMatch,circle,,,,,1.1100000,3
4,1.1.1.1,"1,111",4,Insuffisance,insuffisance,Argument bâclé,Argument vide,,,,,,Appel à l'ignorance,19,"Vous jugez une proposition vraie uniquement parce qu'elle n'a pas été prouvée fausse, ou fausse parce qu'elle n'a pas été prouvée vraie.",99,"Dieu n'existe pas, car personne n'a démontré son existence.",59,https://fr.wikipedia.org/wiki/Appel_%C3%A0_l%27ignorance,Insufficiency,Sloppy argument,Hollow argument,Appeal to ignorance,19,,"Judging a proposition to be true solely because it has not been proven false, or false because it has not been proven true.",90,God doesn't exist since his existence has not been proven.,,58,http://philosophy.lander.edu/logic/ignorance.html,"lien T creaky wheel, renverser la charge de la preuve. Mais selon ses filles, élargir un peu à empĉher de démontrer fausse",Argumentum ad ignorantiam,,,,недостаток,Топорный аргумент,Пустой аргумент,Апелляция к незнанию,"Вы считаете предложение истинным исключительно потому, что его ложность не доказана, и наоборот.","Бога не существует, потому что нет никаких доказательств его существования.",,Insuficiência,Argumento descuidado,Argumento vazio,Apelo à ignorância,"Alegar que uma proposição é verdadeira apenas porque não foi provado ser falsa, ou vice-versa.",Deus não existe porque não há prova de sua existência.,,الادعاء غير الكافي,الحجة الضعيفة,الحجة الفارغة,الاحتكام إلى الجهل,تفترض صحة اقتراح فقط لأنه لم يثبت خطؤه، أو العكس.,الله غير موجود لأن أحداً لم يثبت وجوده.,,Insuficiencia,Argumento descuidado,Argumento vacío,Apelación a la ignorancia,"Juzga una proposición como verdadera solo porque no se ha probado que es falsa, o viceversa.",Dios no existe porque nadie ha demostrado su existencia.,,不足,草率论点,空洞论点,诉诸无知,仅仅因为某一命题没有被证明是错误的就假定其为真，反之亦然。,上帝不存在，因为他的存在没有被证明。,,ناکافی بودن,استدلال شلخته,استدلال توخالی,استناد به جهل,فرض یک گزاره به عنوان صحیح فقط به این دلیل که نادرستی آن اثبات نشده است، یا برعکس.,خدا وجود ندارد چون وجود او اثبات نشده است.,,,,,,,,,,,,,,Ignorance_Inference,,,skos:broadMatch,circle,,,,,1.1110000,4+
5,1.1.1.1.1,"1,1111",5,Insuffisance,insuffisance,Argument bâclé,Argument vide,,,,La tête dans le sable,,Ignorance délibérée,17,Vous rejetez volontairement toute information qui pourrait contredire votre position.,85,Je préfère que vous ne me disiez pas ce qu'ils ont fait ensuite : cela risquerait de contredire ce que je pense.,59,,Insufficiency,Sloppy argument,Hollow argument,Willed ignorance,16,,Voluntarily avoiding knowledge of what could undermine one's argumentative position.,84,I'd rather you didn't tell me what they did next: it might contradict what I think.,,44,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/182/Willed-Ignorance,différence entre ignorance volontaire et invincible? Comment formuler appel à l'ignorance de sorte à englober ces deux enfants?,,,,,недостаток,Топорный аргумент,Пустой аргумент,Сознательное невежество,"Вы намеренно избегаете знания о том, что может подорвать вашу аргументацию.","Лучше не говорите мне, что они сделали потом: это может противоречить тому, что я думаю.",,Insuficiência,Argumento descuidado,Argumento vazio,Ignorância voluntária,Evitar voluntariamente o conhecimento do que poderia minar sua posição argumentativa.,Prefiro que você não me diga o que eles fizeram.,,الادعاء غير الكافي,الحجة الضعيفة,الحجة الفارغة,الجهل الموجه,تتجنب عن عمد معرفة ما قد يقوض موقفك الجدلي.,أفضل ألا تخبرني بما فعلوه.,,Insuficiencia,Argumento descuidado,Argumento vacío,Ignorancia deliberada,Rechaza voluntariamente cualquier información que podría contradecir su posición.,Prefiero que no me digas lo que hicieron después.,,不足,草率论点,空洞论点,故意的无知,故意回避可能会削弱自己论点的信息。,我宁愿你不要告诉我他们做了什么。,,ناکافی بودن,استدلال شلخته,استدلال توخالی,نادانی پذیرفته شده,شما به طور ارادی از دانستن آنچه که می‌تواند موضع استدلالی شما را تضعیف کند، پرهیز می‌کنید.,ترجیح می‌دهم که به من نگی چی کار کردن بعدش,,,,,,,,,,,,,,,,,,circle,,,,,1.1111000,4+
6,1.1.1.1.1.1,"1,11111",6,Insuffisance,insuffisance,Argument bâclé,Argument vide,,,,,,A priorisme,11,"Vous refusez d'examiner toute preuve qui contredit vos croyances, quelle que soit sa force.",99,"Peu importe les nombreuses études montrant l'efficacité de ce traitement médical : je suis convaincu que seule cette pierre précieuse peut guérir ma maladie, car j'ai décidé qu'il en était ainsi.",186,,Insufficiency,Sloppy argument,Hollow argument,Invincible ignorance,20,,"Refusing to consider any evidence that contradicts one's beliefs, no matter how strong it is.",76,"No matter how many studies show the medical treatment's effectiveness, I still believe only this precious stone can heal my illness because I've decided it's so.",,161,http://www.ditext.com/fearnside/28.html,,,,,apriorisme,недостаток,Топорный аргумент,Пустой аргумент,Непобедимое невежество,"Вы отказываетесь рассматривать любые доказательства, противоречащие вашим убеждениям, какой бы силы они ни были.","Неважно, сколько исследований показывают эффективность медицинского лечения, я всё равно верю, что только этот драгоценный камень может излечить мою болезнь, потому что я так решил.",,Insuficiência,Argumento descuidado,Argumento vazio,Ignorância invencível,Fazer vista grossa para qualquer coisa que possa minar sua teoria ou crença.,"Não importa quantos estudos demonstrem a eficácia do tratamento médico, eu ainda acredito que apenas esta pedra preciosa pode curar minha doença porque é o que decidi.",,الادعاء غير الكافي,الحجة الضعيفة,الحجة الفارغة,الاستنكاف المتجذر,تغض الطرف عن أي شيء قد يقوض نظريتك أو معتقدك.,بغض النظر عن عدد الدراسات التي تظهر فعالية العلاج الطبي، لا أزال أعتقد أن هذه الحجر الكريم وحده يمكن أن يعالج مرضي لأنني قررت أنه كذلك.,,Insuficiencia,Argumento descuidado,Argumento vacío,Ignorancia invencible,"Se niega a considerar cualquier prueba que contradiga sus creencias, sin importar su fuerza.","No importa cuántos estudios demuestren la eficacia del tratamiento médico, sigo creyendo que solo esta piedra preciosa puede curar mi enfermedad, porque he decidido que es así.",,不足,草率论点,空洞论点,不可战胜的无知,对任何可能削弱你的理论或信仰的东西视而不见。,无论有多少研究证明这种治疗方法的有效性，我仍然相信只有这块宝石能治愈我的疾病，因为我已经决定了是这样。,,ناکافی بودن,استدلال شلخته,استدلال توخالی,نادانی شکست‌ناپذیر,چشم‌پوشی از هر چیزی که می‌تواند نظریه یا باور شما را تضعیف کند.,مهم نیست چقدر مطالعات نشان می‌دهند که درمان پزشکی مؤثر است، من همچنان معتقدم که تنها این سنگ گرانبها می‌تواند بیماری من را درمان کند زیرا من تصمیم گرفته‌ام که این‌گونه باشد.,,,,,,,,,,,,,,,,,,circle,,,,,1.1111100,4+
7,1.1.1.1.1.2,"1,11112",6,Insuffisance,insuffisance,Argument bâclé,Argument vide,,,,,,Syndrome du vrai croyant,24,Vous persistez dans une croyance erronée malgré des preuves solides du contraire.,90,Seuls des extraterrestres ont pu construire ces soucoupes volantes.,69,https://fr.wikipedia.org/wiki/Syndrome_du_vrai_croyant,Insufficiency,Sloppy argument,Hollow argument,True-believer syndrome,22,,Persisting in an erroneous belief despite solid evidence to the contrary.,91,Only aliens could have built these flying saucers.,,44,http://skepdic.com/truebeliever.html,,,,,"En parlant du soleil on en voit les rayons.""",недостаток,Топорный аргумент,Пустой аргумент,Синдром истинно верующего,"Вы сохраняете свою веру в теорию, несмотря на убедительные рациональные доказательства против неё.",Только пришельцы могли построить такие летающие тарелки.,,Insuficiência,Argumento descuidado,Argumento vazio,Síndrome do verdadeiro crente,Manter sua crença em uma teoria apesar de demonstrações racionais convincentes contra ela.,Apenas alienígenas poderiam construir tais discos voadores.,,الادعاء غير الكافي,الحجة الضعيفة,الحجة الفارغة,متلازمة الإيمان الأعمى,التمسك باعتقاد رغم الأدلة العقلانية المقنعة التي تثبت عكسه.,فقط الكائنات الفضائية تستطيع بناء تلك الصحون الطائرة.,,Insuficiencia,Argumento descuidado,Argumento vacío,Síndrome del verdadero creyente,Persiste en una creencia errónea a pesar de las pruebas sólidas que demuestran lo contrario.,Solo los extraterrestres pudieron construir estos platillos voladores.,,不足,草率论点,空洞论点,真正的信徒综合症,尽管有令人信服的理性反驳，仍然坚持自己对某一理论的信仰。,只有外星人可以建造这样的飞碟。,,ناکافی بودن,استدلال شلخته,استدلال توخالی,سندرم باورمند واقعی,پافشاری بر یک باور غلط حتی با وجود شواهد قوی که خلاف آن را ثابت می‌کنند.,فقط موجودات فضایی می‌توانند چنین سفینه‌های پرنده‌ای بسازند.,,,,,,,,,,,,,,,,,,circle,,,,,1.1111200,4+
8,1.1.1.1.1.3,"1,11113",6,Insuffisance,insuffisance,Argument bâclé,Argument vide,,,,,,Tabou,5,Vous refusez de discuter de faits qui pourraient invalider votre argument.,83,Nous n'avons pas besoin de discuter de ce problème de société : cela a toujours été comme ça et cela le restera.,107,https://fr.wikipedia.org/wiki/Tabou,Insufficiency,Sloppy argument,Hollow argument,Taboo,5,,Refusing to discuss facts that could invalidate one's argument.,65,We don't need to discuss this societal issue; it has always been this way and will stay the same.,,97,https://en.wikipedia.org/wiki/Taboo,lien t avec politiquement correct,,,,,недостаток,Топорный аргумент,Пустой аргумент,Табу,"Вы отказываетесь обсуждать определенные факты, которые могут опровергнуть ваш аргумент.","Нам не нужно обсуждать эту социальную проблему, так было всегда и так будет.",https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%B1%D1%83,Insuficiência,Argumento descuidado,Argumento vazio,Tabu,Vocês recusam a discutir certos fatos que poderiam invalidar o argumento de vocês.,"Não precisamos discutir esse problema social, sempre foi assim e assim permanecerá.",https://pt.wikipedia.org/wiki/Tabu,الادعاء غير الكافي,الحجة الضعيفة,الحجة الفارغة,المحرمات,أنت ترفض مناقشة بعض الحقائق التي يمكن أن تبطل حجتك.,لا نحتاج إلى مناقشة هذه المسألة الاجتماعية، لقد كانت دائمًا على هذا النحو وستظل كذلك.,https://ar.wikipedia.org/wiki/%D8%AA%D8%A7%D8%A8%D9%88,Insuficiencia,Argumento descuidado,Argumento vacío,Tabú,Usted se niega a discutir ciertos hechos que podrían invalidar su argumento.,No necesitamos discutir este problema de sociedad; siempre ha sido así y así seguirá siendo.,https://es.wikipedia.org/wiki/Tab%C3%BA,不足,草率论点,空洞论点,禁忌,您拒绝讨论可能使您的论点无效的某些事实。,我们不需要讨论这个社会问题，它一直都是这样，并且将永远这样下去。,https://zh.wikipedia.org/wiki/%E7%A6%81%E5%BF%8C,ناکافی بودن,استدلال شلخته,استدلال توخالی,تابو,شما از بحث در مورد برخی حقایق که می تواند استدلال شما را رد کند، خودداری می کنید.,ما نباید در مورد این مسئله اجتماعی بحث کنیم؛ همیشه اینطور بوده و همینطور خواهد ماند.,https://fa.wikipedia.org/wiki/%D8%AA%D8%A7%D8%A8%D9%88,,,,,,,,,,,,,,,,,circle,,,,,1.1111300,4+
9,1.1.1.1.2,"1,1112",5,Insuffisance,insuffisance,Argument bâclé,Argument vide,,,,,,Appel au mystère,16,Vous prétendez qu'un sujet est trop mystérieux pour être compris ou expliqué.,77,"Face à la complexité de l'univers, je dis toujours qu'il ne sert à rien de chercher des explications : cela dépasse sûrement notre entendement.",163,,Insufficiency,Sloppy argument,Hollow argument,Appeal to mystery,17,,Claiming a subject is too mysterious to be understood or explained.,67,"Faced with the complexities of the universe, I've always said it's pointless to seek explanations; it must be something beyond our understanding.",,145,http://rationalwiki.org/wiki/Appeal_to_mystery,lien t avec contradiction logique,,,,,недостаток,Топорный аргумент,Пустой аргумент,Обращение к тайне,"Вы утверждаете, что тема слишком таинственна, чтобы быть понятой или объясненной.","Перед лицом сложностей вселенной, я всегда говорил, что нет смысла искать объяснения, это, вероятно, что-то, что превосходит наше понимание.",,Insuficiência,Argumento descuidado,Argumento vazio,Apelo ao mistério,Vocês afirmam que um assunto é muito misterioso para ser entendido ou explicado.,"Diante das complexidades do universo, sempre disse que é inútil buscar explicações; é certamente algo que ultrapassa nosso entendimento.",,الادعاء غير الكافي,الحجة الضعيفة,الحجة الفارغة,نداء إلى الغموض,تدعي أن الموضوع غامض جدًا لفهمه أو تفسيره.,أمام تعقيدات الكون، كنت دائمًا أقول إنه لا جدوى من البحث عن تفسيرات، لا بد أنه شيء يتجاوز فهمنا.,,Insuficiencia,Argumento descuidado,Argumento vacío,Apelación al misterio,Usted afirma que un tema es demasiado misterioso para ser comprendido o explicado.,"Frente a las complejidades del universo, siempre he dicho que no sirve de nada buscar explicaciones; seguramente es algo que está más allá de nuestro entendimiento.",,不足,草率论点,空洞论点,神秘求援,您声称一个话题太神秘无法理解或解释。,面对宇宙的复杂性，我总是说，寻求解释是毫无意义的，这肯定是超越我们理解的东西。,,ناکافی بودن,استدلال شلخته,استدلال توخالی,توسل به راز,شما ادعا می کنید که یک موضوع بیش از حد رازآلود است که نمی توان آن را درک یا توضیح داد.,در مواجهه با پیچیدگی‌های جهان، همیشه گفته‌ام که جستجوی توضیحات بیهوده است؛ حتماً چیزی فراتر از درک ماست.,,,,,,,,,,,,,,,,,,circle,,,,,1.1112000,4+
