source_pk,source_name,source_family,source_path,target_pk,target_name,target_family,target_path,jaccard,shared_distinctive_terms,proposed_relation,semantic_verdict
120,Appel à la minorité,Insuffisance,1.23312,316,Appel à la minorité,Influence,2.21321,1.0,juste;minoritaire;opinion;prétendez;prétexte;répandue,Mirrors,"near-duplicate (Jaccard 1.00, 6 shared distinctive terms)"
174,Illusion de regroupement,Insuffisance,1.3342,643,Illusion de regroupement,Erreur mathématique,3.2151,1.0,aléatoires;corrélation;crée;données;fausse;impression;lien;motifs;percevez;tendances,Mirrors,"near-duplicate (Jaccard 1.00, 10 shared distinctive terms)"
62,Rationalisation,Insuffisance,1.133,762,Rationalisation,Erreur de raisonnement,4.3112,1.0,acceptable;affirmation;discuter;fond;justifications;présentez;rendre;sincères,Mirrors,"near-duplicate (Jaccard 1.00, 8 shared distinctive terms)"
63,Hypothèse farfelue,Insuffisance,1.1331,763,Hypothèse farfelue,Erreur de raisonnement,4.31121,1.0,explications;hypothèses;invraisemblables;privilégiez;probables;écarté,Mirrors,"near-duplicate (Jaccard 1.00, 6 shared distinctive terms)"
155,Analyse défaillante,Insuffisance,1.3211,767,Analyse défaillante,Erreur de raisonnement,4.31141,1.0,considérez;existe;explication;incorrecte;insuffisante;phénomène;proposée;simplement;théorique,Mirrors,"near-duplicate (Jaccard 1.00, 9 shared distinctive terms)"
34,Preuve anecdotique,Insuffisance,1.121,1087,Preuve anecdotique,Tricherie,6.311234,1.0,argumentation;basez;démontrer;générale;isolé;règle;suffit;événement,Mirrors,"near-duplicate (Jaccard 1.00, 8 shared distinctive terms)"
51,Sophisme du psychologue,Insuffisance,1.123,1055,Sophisme du psychologue,Tricherie,6.31112251,1.0,confondez;individuelle;objectivité;perspective;universelle,Mirrors,"near-duplicate (Jaccard 1.00, 5 shared distinctive terms)"
52,Projection mentale,Insuffisance,1.1231,1164,Projection mentale,Tricherie,6.31232,1.0,considérez;envisager;exactement;manière;monde;reflète;réalité,Mirrors,"near-duplicate (Jaccard 1.00, 7 shared distinctive terms)"
53,Raisonnement émotionnel,Insuffisance,1.1232,1119,Raisonnement émotionnel,Tricherie,6.3122,1.0,absence;chose;considérez;fortement;preuve;quelque;ressentez;vrai,Mirrors,"near-duplicate (Jaccard 1.00, 8 shared distinctive terms)"
138,Effet du lampadaire,Insuffisance,1.3113,1074,Effet du lampadaire,Tricherie,6.311217,1.0,accessibles;cherchez;facile;ignorant;importantes;moins;pistes;regarder;réponses,Mirrors,"near-duplicate (Jaccard 1.00, 9 shared distinctive terms)"
161,Piège kafkaïen,Insuffisance,1.32321,986,Piège kafkaïen,Tricherie,6.2122,1.0,confirmation;culpabilité;défense;interprétez;tentative;toute,Mirrors,"near-duplicate (Jaccard 1.00, 6 shared distinctive terms)"
168,Homme de paille,Insuffisance,1.3321,894,Homme de paille,Tricherie,6.111121,1.0,argument;caricaturez;facilement;réfuter,Mirrors,"near-duplicate (Jaccard 1.00, 4 shared distinctive terms)"
17,Réfutation lapidaire,Insuffisance,1.11161,1292,Réfutation lapidaire,Obstruction,7.1221,1.0,arbitrairement;explication;fournir;preuve;proposition;rejetez,Mirrors,"near-duplicate (Jaccard 1.00, 6 shared distinctive terms)"
98,Appel à la majorité,Insuffisance,1.222,1326,Raison de la majorité,Obstruction,7.21123,1.0,grand;justifiez;nombre;partagée;position,Mirrors,"near-duplicate (Jaccard 1.00, 5 shared distinctive terms)"
121,Politiquement correct,Insuffisance,1.2332,1341,Politiquement correct,Obstruction,7.21322,1.0,argument;auditoire;détournez;heurter;motif;partie;rejetez;risque;sensibilité,Mirrors,"near-duplicate (Jaccard 1.00, 9 shared distinctive terms)"
168,Homme de paille,Insuffisance,1.3321,1365,Homme de paille,Obstruction,7.312,1.0,argument;caricaturez;facilement;réfuter,Mirrors,"near-duplicate (Jaccard 1.00, 4 shared distinctive terms)"
179,Question piège,Influence,2.1111,701,Question piège,Erreur de raisonnement,4.112,1.0,controversée;fausse;posez;prémisse;question;subtilement;suppose,Mirrors,"near-duplicate (Jaccard 1.00, 7 shared distinctive terms)"
218,Conjugaison Émotive,Influence,2.1164,812,Conjugaison émotive,Abus de langage,5.12222,1.0,approuvez;comportement;concernée;différents;décrire;personne;verbes,Mirrors,"near-duplicate (Jaccard 1.00, 7 shared distinctive terms)"
295,Métonymie,Influence,2.1365,866,Métonymie,Abus de langage,5.3231,1.0,clairement;conceptuellement;idée;justifié;liée;remplacez;soit,Mirrors,"near-duplicate (Jaccard 1.00, 7 shared distinctive terms)"
233,Exagération,Influence,2.1222,893,Exagération,Tricherie,6.11112,1.0,accentuez;argumentation;aspects;certains;démesurée;manière;renforcer,Mirrors,"near-duplicate (Jaccard 1.00, 7 shared distinctive terms)"
338,Appel au doute et à la crainte,Influence,2.2241,920,Appel au doute et à la crainte,Tricherie,6.112221,1.0,cause;diffusez;informations;méfiance;négatives;peur;public;rallier;semer;souvent;vagues,Mirrors,"near-duplicate (Jaccard 1.00, 11 shared distinctive terms)"
339,Appel à la panique morale,Influence,2.2242,922,Appel à la panique morale,Tricherie,6.112222,1.0,actions;certaines;forte;immorales;indignation;provoquer;présentant;réaction;suscitez;émotionnelle,Mirrors,"near-duplicate (Jaccard 1.00, 10 shared distinctive terms)"
451,Piège de gratitude,Influence,2.322127,1103,Piège de gratitude,Tricherie,6.3121123,1.0,actuelle;asseoir;autrui;contrôle;coupable;devriez;frustré;pensez;reconnaissant;sentez;sentiment;situation,Mirrors,"near-duplicate (Jaccard 1.00, 12 shared distinctive terms)"
460,Lance à incendie du mensonge,Influence,2.323112,915,Lance à incendie de mensonges,Tricherie,6.11216,1.0,canaux;cohérence;diffusez;masse;messages;multiples;médias;répétés;réseaux;sociaux;souci;vérité,Mirrors,"near-duplicate (Jaccard 1.00, 12 shared distinctive terms)"
491,Potin,Influence,2.32334,923,Potin,Tricherie,6.11223,1.0,autres;histoires;informelles;partagez;personnelle;personnes;privées;rumeurs;souvent;vérifiées,Mirrors,"near-duplicate (Jaccard 1.00, 10 shared distinctive terms)"
635,Confusion entre antériorité et causalité,Erreur mathématique,3.212,725,Appel à la temporalité comme cause,Erreur de raisonnement,4.134,1.0,cause;précédé;supposez;temps;uniquement;événement,Mirrors,"near-duplicate (Jaccard 1.00, 6 shared distinctive terms)"
642,Corrélation illusoire,Erreur mathématique,3.215,1085,Corrélation illusoire,Tricherie,6.311232,1.0,deux;liées;percevez;relation;variables,Mirrors,"near-duplicate (Jaccard 1.00, 5 shared distinctive terms)"
703,Pétition de principe analogique,Erreur de raisonnement,4.114,840,Pétition de principe analogique,Abus de langage,5.221,1.0,analogie;assimilant;cherchez;conclusion;deux;discutable;déjà;démontrer;manière;situations;suppose,Mirrors,"near-duplicate (Jaccard 1.00, 11 shared distinctive terms)"
779,Concept volé,Erreur de raisonnement,4.3211,828,Concept volé,Abus de langage,5.1311,1.0,concept;continuant;niez;raisonnement,Mirrors,"near-duplicate (Jaccard 1.00, 4 shared distinctive terms)"
706,Avoir toujours raison,Erreur de raisonnement,4.117,1171,Avoir toujours raison,Tricherie,6.3123222,1.0,actions;besoin;constamment;correctes;opinions;prouver;ressentez,Mirrors,"near-duplicate (Jaccard 1.00, 7 shared distinctive terms)"
713,Deux torts font un droit,Erreur de raisonnement,4.125,1325,Sophisme de la double faute,Obstruction,7.21122,1.0,combinées;croyez;deux;erreurs;juste;peuvent;produire;résultat;tort,Mirrors,"near-duplicate (Jaccard 1.00, 9 shared distinctive terms)"
761,Sophisme génétique,Erreur de raisonnement,4.3111,1371,Sophisme génétique,Obstruction,7.32,1.0,contenu;critiquant;idée;origine;plutôt;rejetez,Mirrors,"near-duplicate (Jaccard 1.00, 6 shared distinctive terms)"
769,Équivalence morale,Erreur de raisonnement,4.3121,1321,Équivalence morale,Obstruction,7.2112,1.0,actions;deux;différentes;morale;supposez;tort;valeur,Mirrors,"near-duplicate (Jaccard 1.00, 7 shared distinctive terms)"
772,Gish gallop,Erreur de raisonnement,4.3141,1331,Gish gallop,Obstruction,7.2123,1.0,affirmations;arguments;complète;continu;difficile;flot;interlocuteur;rapide;rend;réfléchie;réfutation;submergez,Mirrors,"near-duplicate (Jaccard 1.00, 12 shared distinctive terms)"
818,Sophisme de la solution parfaite,Abus de langage,5.1225,977,Solution parfaite,Tricherie,6.21111,1.0,demandant;idéal;inatteignable;rejetez;réalistes;solutions,Mirrors,"near-duplicate (Jaccard 1.00, 6 shared distinctive terms)"
