"# AIF structural-homogeneity acompte (#847) — 145 fully-modeled (prod CSV, code=truth). MEASURE not verdict. INPUT for ai-01 synthesis. GATED jsboige ratification. 0 prod CSV."
"# (a)=attack-type Shannon-entropy normalised [0..1], a_high>= 0.5. (b)=fail-loud rate (no native _Inference scheme in DirectRef/Exc or annotation scheme cols), b_high>=0.5. (c)=DEFER."
level,node,n_leaves,undercut,undermine,rebut,entropy_norm_a,homogeneity_ratio,native_scheme_n,fail_loud_rate_b,a_high,b_high,decision_rule_tag
family(d1),Abus de langage,57,47,10,0,0.67,0.825,7,0.877,True,True,B+A: material-resistance + type-mix (annotate seam; c DEFER)
family(d1),Erreur de raisonnement,14,12,2,0,0.592,0.857,9,0.357,True,False,A-candidate: tree-tension (c DEFER — may be bridge node; do not bill as defect)
family(d1),Erreur mathématique,12,8,4,0,0.918,0.667,6,0.5,True,True,B+A: material-resistance + type-mix (annotate seam; c DEFER)
family(d1),Influence,12,1,11,0,0.414,0.917,7,0.417,False,False,coherent: mechanism-coherent (no action)
family(d1),Insuffisance,16,10,6,0,0.954,0.625,8,0.5,True,True,B+A: material-resistance + type-mix (annotate seam; c DEFER)
family(d1),Obstruction,12,1,6,5,0.836,0.5,4,0.667,True,True,B+A: material-resistance + type-mix (annotate seam; c DEFER)
family(d1),Tricherie,22,8,14,0,0.946,0.636,9,0.591,True,True,B+A: material-resistance + type-mix (annotate seam; c DEFER)
sub-family(d2),Ad hominem,4,0,3,1,0.811,0.75,4,0.0,True,False,A-candidate: tree-tension (c DEFER — may be bridge node; do not bill as defect)
sub-family(d2),Ambiguïté,31,28,3,0,0.459,0.903,3,0.903,False,True,B: material-resistance (homogeneous type; leave pedagogy)
sub-family(d2),Appel à l'émotion,4,0,4,0,-0.0,1.0,4,0.0,False,False,coherent: mechanism-coherent (no action)
sub-family(d2),Argument bâclé,7,5,2,0,0.863,0.714,4,0.429,True,False,A-candidate: tree-tension (c DEFER — may be bridge node; do not bill as defect)
sub-family(d2),Arranger les faits,4,0,4,0,-0.0,1.0,1,0.75,False,True,B: material-resistance (homogeneous type; leave pedagogy)
sub-family(d2),Causalité douteuse,5,4,1,0,0.722,0.8,4,0.2,True,False,A-candidate: tree-tension (c DEFER — may be bridge node; do not bill as defect)
sub-family(d2),Changement de cap,5,4,1,0,0.722,0.8,1,0.8,True,True,B+A: material-resistance + type-mix (annotate seam; c DEFER)
sub-family(d2),Comparaison fallacieuse,10,7,3,0,0.881,0.7,1,0.9,True,True,B+A: material-resistance + type-mix (annotate seam; c DEFER)
sub-family(d2),Définition inexacte,16,12,4,0,0.811,0.75,3,0.812,True,True,B+A: material-resistance + type-mix (annotate seam; c DEFER)
sub-family(d2),Généralisation abusive,4,3,1,0,0.811,0.75,2,0.5,True,True,B+A: material-resistance + type-mix (annotate seam; c DEFER)
sub-family(d2),Manipulation mentale,5,1,4,0,0.722,0.8,2,0.6,True,True,B+A: material-resistance + type-mix (annotate seam; c DEFER)
sub-family(d2),Mauvaise composition,4,4,0,0,-0.0,1.0,3,0.25,False,False,coherent: mechanism-coherent (no action)
sub-family(d2),Mauvaise déduction,4,3,1,0,0.811,0.75,2,0.5,True,True,B+A: material-resistance + type-mix (annotate seam; c DEFER)
sub-family(d2),Mauvaise interprétation,4,3,1,0,0.811,0.75,3,0.25,True,False,A-candidate: tree-tension (c DEFER — may be bridge node; do not bill as defect)
sub-family(d2),Pensée biaisée,13,4,9,0,0.89,0.692,7,0.462,True,False,A-candidate: tree-tension (c DEFER — may be bridge node; do not bill as defect)
sub-family(d2),Procédé rhétorique,3,0,3,0,-0.0,1.0,1,0.667,False,True,B: material-resistance (homogeneous type; leave pedagogy)
sub-family(d2),Préjugé,4,3,1,0,0.811,0.75,2,0.5,True,True,B+A: material-resistance + type-mix (annotate seam; c DEFER)
sub-family(d2),Refus du débat,4,0,2,2,1.0,0.5,0,1.0,True,True,B+A: material-resistance + type-mix (annotate seam; c DEFER)
sub-family(d2),Résultat invalide,4,2,2,0,1.0,0.5,1,0.75,True,True,B+A: material-resistance + type-mix (annotate seam; c DEFER)
sub-family(d2),Saboter le débat,3,1,1,1,1.0,0.333,0,1.0,True,True,B+A: material-resistance + type-mix (annotate seam; c DEFER)
sub-family(d2),Surinterprétation,4,2,2,0,1.0,0.5,2,0.5,True,True,B+A: material-resistance + type-mix (annotate seam; c DEFER)
sub-sub(d3),Acception arbitraire,6,4,2,0,0.918,0.667,1,0.833,True,True,B+A: material-resistance + type-mix (annotate seam; c DEFER)
sub-sub(d3),Acception vague,4,3,1,0,0.811,0.75,1,0.75,True,True,B+A: material-resistance + type-mix (annotate seam; c DEFER)
sub-sub(d3),Ambiguïté narrative,11,10,1,0,0.439,0.909,0,1.0,False,True,B: material-resistance (homogeneous type; leave pedagogy)
sub-sub(d3),Amphibologie,6,6,0,0,-0.0,1.0,0,1.0,False,True,B: material-resistance (homogeneous type; leave pedagogy)
sub-sub(d3),Biais culturels,3,1,2,0,0.918,0.667,1,0.667,True,True,B+A: material-resistance + type-mix (annotate seam; c DEFER)
sub-sub(d3),Biais naturels,8,3,5,0,0.954,0.625,5,0.375,True,False,A-candidate: tree-tension (c DEFER — may be bridge node; do not bill as defect)
sub-sub(d3),Comparaison abusive,3,2,1,0,0.918,0.667,0,1.0,True,True,B+A: material-resistance + type-mix (annotate seam; c DEFER)
sub-sub(d3),Définition inconsistante,5,5,0,0,-0.0,1.0,0,1.0,False,True,B: material-resistance (homogeneous type; leave pedagogy)
sub-sub(d3),Equivoque,13,12,1,0,0.391,0.923,2,0.846,False,True,B: material-resistance (homogeneous type; leave pedagogy)
sub-sub(d3),Fausse analogie,4,3,1,0,0.811,0.75,1,0.75,True,True,B+A: material-resistance + type-mix (annotate seam; c DEFER)
sub-sub(d3),Justification triviale,3,3,0,0,-0.0,1.0,2,0.333,False,False,coherent: mechanism-coherent (no action)
