source_pk,source_name,source_path,link_type,target_path,target_pk,target_name,symmetric,justification
708,Affirmation du conséquent,4.1.2.1,crossLink_Mirrors,4.1.3.1.1.1,722,Négation de l'antécédent,True,"Ces deux sophismes sont les formes invalides jumelles du raisonnement conditionnel : l’affirmation du conséquent prend l’effet comme preuve de la cause, tandis que la négation de l’antécédent rejette l’effet faute de cette cause. Ils reflètent la même confusion entre condition suffisante et condition nécessaire."
722,Négation de l'antécédent,4.1.3.1.1.1,crossLink_Mirrors,4.1.2.1,708,Affirmation du conséquent,True,"Ces deux sophismes sont les formes invalides jumelles du raisonnement conditionnel : l’affirmation du conséquent prend l’effet comme preuve de la cause, tandis que la négation de l’antécédent rejette l’effet faute de cette cause. Ils reflètent la même confusion entre condition suffisante et condition nécessaire."
708,Affirmation du conséquent,4.1.2.1,crossLink_IsRelatedTo,4.2.1.2.1,731,Affirmation du conséquent,True,"Les deux entrées désignent le même sophisme, l'affirmation du conséquent, avec une description pratiquement identique : inférer une cause à partir d'un effet en négligeant d'autres causes possibles. La relation est donc une parenté conceptuelle directe et réciproque, plutôt qu'une opposition ou une inversion."
731,Affirmation du conséquent,4.2.1.2.1,crossLink_IsRelatedTo,4.1.2.1,708,Affirmation du conséquent,True,"Les deux entrées désignent le même sophisme, l'affirmation du conséquent, avec une description pratiquement identique : inférer une cause à partir d'un effet en négligeant d'autres causes possibles. La relation est donc une parenté conceptuelle directe et réciproque, plutôt qu'une opposition ou une inversion."
722,Négation de l'antécédent,4.1.3.1.1.1,crossLink_IsRelatedTo,4.2.1.1.1,729,Négation de l'antécédent,True,"Les deux entrées décrivent le même schéma formel de négation de l’antécédent : de « si P alors Q » et « non-P », inférer indûment « non-Q ». La différence tient surtout au vocabulaire causal/conditionnel, pas à une opposition ou inversion logique."
729,Négation de l'antécédent,4.2.1.1.1,crossLink_IsRelatedTo,4.1.3.1.1.1,722,Négation de l'antécédent,True,"Les deux entrées décrivent le même schéma formel de négation de l’antécédent : de « si P alors Q » et « non-P », inférer indûment « non-Q ». La différence tient surtout au vocabulaire causal/conditionnel, pas à une opposition ou inversion logique."
703,Pétition de principe analogique,4.1.1.4,crossLink_IsRelatedTo,5.2.2.1,840,Pétition de principe analogique,True,"Les deux entrées décrivent exactement le même mécanisme sophistique : une analogie qui présuppose déjà la conclusion à établir. Elles relèvent donc d’une même notion conceptuelle dupliquée dans deux familles taxonomiques différentes, plutôt que d’une opposition ou inversion."
840,Pétition de principe analogique,5.2.2.1,crossLink_IsRelatedTo,4.1.1.4,703,Pétition de principe analogique,True,"Les deux entrées décrivent exactement le même mécanisme sophistique : une analogie qui présuppose déjà la conclusion à établir. Elles relèvent donc d’une même notion conceptuelle dupliquée dans deux familles taxonomiques différentes, plutôt que d’une opposition ou inversion."
4,Appel à l'ignorance,1.1.1.1,crossLink_IsRelatedTo,2.2.3.4,355,Appel à l'ignorance assumée,True,"Les deux sophismes exploitent l’ignorance comme ressort argumentatif : A tire une conclusion de l’absence de preuve, tandis que B organise ou encourage le maintien de cette absence de preuve en écartant les informations contraires. La relation est une parenté conceptuelle autour de l’ignorance, sans inversion ni opposition directe."
355,Appel à l'ignorance assumée,2.2.3.4,crossLink_IsRelatedTo,1.1.1.1,4,Appel à l'ignorance,True,"Les deux sophismes exploitent l’ignorance comme ressort argumentatif : A tire une conclusion de l’absence de preuve, tandis que B organise ou encourage le maintien de cette absence de preuve en écartant les informations contraires. La relation est une parenté conceptuelle autour de l’ignorance, sans inversion ni opposition directe."
319,Appel à la pitié,2.2.1.4,crossLink_IsRelatedTo,2.2,299,Appel à l'émotion,True,"L’appel à la pitié est une forme spécifique d’appel à l’émotion : il mobilise la compassion pour détourner du fond rationnel. Les deux relèvent donc de la même famille d’influence émotionnelle, avec B comme catégorie plus générale."
299,Appel à l'émotion,2.2,crossLink_IsRelatedTo,2.2.1.4,319,Appel à la pitié,True,"L’appel à la pitié est une forme spécifique d’appel à l’émotion : il mobilise la compassion pour détourner du fond rationnel. Les deux relèvent donc de la même famille d’influence émotionnelle, avec B comme catégorie plus générale."
163,Appel à la colère,1.3.2.3.3.1,crossLink_IsRelatedTo,2.2,299,Appel à l'émotion,True,"Les deux sophismes substituent une dynamique émotionnelle à l’examen rationnel du fond : A discrédite une thèse en invoquant la colère de son auteur, tandis que B provoque des émotions pour détourner l’auditoire. Le lien est réel mais général, car A porte sur l’invalidation par l’émotion attribuée, alors que B porte sur la manipulation émotionnelle directe."
299,Appel à l'émotion,2.2,crossLink_IsRelatedTo,1.3.2.3.3.1,163,Appel à la colère,True,"Les deux sophismes substituent une dynamique émotionnelle à l’examen rationnel du fond : A discrédite une thèse en invoquant la colère de son auteur, tandis que B provoque des émotions pour détourner l’auditoire. Le lien est réel mais général, car A porte sur l’invalidation par l’émotion attribuée, alors que B porte sur la manipulation émotionnelle directe."
834,Comparaison abusive,5.2.1,crossLink_IsRelatedTo,5.2.2,839,Fausse analogie,True,"Les deux sophismes relèvent d'un abus de langage fondé sur une comparaison trompeuse ou mal ajustée. La fausse analogie est une forme plus spécifique de comparaison abusive, mais sans lien d'inversion ou d'opposition directe."
839,Fausse analogie,5.2.2,crossLink_IsRelatedTo,5.2.1,834,Comparaison abusive,True,"Les deux sophismes relèvent d'un abus de langage fondé sur une comparaison trompeuse ou mal ajustée. La fausse analogie est une forme plus spécifique de comparaison abusive, mais sans lien d'inversion ou d'opposition directe."
634,Confusion entre corrélation et causalité,3.2.1.1,crossLink_IsRelatedTo,3.2.1.2,635,Confusion entre antériorité et causalité,True,"Ces deux sophismes appartiennent à la même famille d’erreurs causales : ils infèrent indûment une causalité à partir d’un indice insuffisant. A se fonde sur la covariation/corrélation, tandis que B se fonde sur la simple antériorité temporelle."
635,Confusion entre antériorité et causalité,3.2.1.2,crossLink_IsRelatedTo,3.2.1.1,634,Confusion entre corrélation et causalité,True,"Ces deux sophismes appartiennent à la même famille d’erreurs causales : ils infèrent indûment une causalité à partir d’un indice insuffisant. A se fonde sur la covariation/corrélation, tandis que B se fonde sur la simple antériorité temporelle."
707,Inversion de causalité,4.1.2,crossLink_IsRelatedTo,4.1.3,719,Effet cigogne,True,"Les deux sophismes relèvent d’une mauvaise inférence causale : l’un confond le sens de la causalité, l’autre infère indûment une causalité à partir d’une simple corrélation. Ils sont donc apparentés conceptuellement, sans être des inverses ou des contradictions directes."
719,Effet cigogne,4.1.3,crossLink_IsRelatedTo,4.1.2,707,Inversion de causalité,True,"Les deux sophismes relèvent d’une mauvaise inférence causale : l’un confond le sens de la causalité, l’autre infère indûment une causalité à partir d’une simple corrélation. Ils sont donc apparentés conceptuellement, sans être des inverses ou des contradictions directes."
642,Corrélation illusoire,3.2.1.5,crossLink_IsRelatedTo,3.2.1.1,634,Confusion entre corrélation et causalité,True,"Les deux sophismes portent sur une mauvaise interprétation de relations statistiques entre variables. La corrélation illusoire invente ou surestime une relation, tandis que la confusion corrélation-causalité transforme à tort une corrélation observée en lien causal."
634,Confusion entre corrélation et causalité,3.2.1.1,crossLink_IsRelatedTo,3.2.1.5,642,Corrélation illusoire,True,"Les deux sophismes portent sur une mauvaise interprétation de relations statistiques entre variables. La corrélation illusoire invente ou surestime une relation, tandis que la confusion corrélation-causalité transforme à tort une corrélation observée en lien causal."
1352,Empoisonnement du puits,7.2.3,crossLink_IsRelatedTo,7.3.1,1361,Procès en incohérence,True,"Les deux sophismes relèvent de stratégies d’obstruction qui déplacent l’attention de la thèse vers la crédibilité ou la cohérence de l’interlocuteur. L’empoisonnement du puits discrédite préventivement la personne, tandis que le procès en incohérence exploite ses contradictions réelles ou apparentes pour affaiblir sa position."
1361,Procès en incohérence,7.3.1,crossLink_IsRelatedTo,7.2.3,1352,Empoisonnement du puits,True,"Les deux sophismes relèvent de stratégies d’obstruction qui déplacent l’attention de la thèse vers la crédibilité ou la cohérence de l’interlocuteur. L’empoisonnement du puits discrédite préventivement la personne, tandis que le procès en incohérence exploite ses contradictions réelles ou apparentes pour affaiblir sa position."
