attacker_pk,attacker_label,family,subfamily,subsubfamily,decimal_path,attack_type,attacked_node_type,skos_direct_ref,skos_exception_ref,skos_mapping_type,expected_node_type,node_type_axiom_ok
1,1,Insuffisance,,,1,undermine,I-node,GeneralAcceptanceDoubt_Conflict,,skos:broadMatch,I-node,1
2,1,Insuffisance,Argument bâclé,,"1,1",undercut,RA-node,LackOfPTKReliability_Scheme,,skos:broadMatch,RA-node,1
3,1,Insuffisance,Argument bâclé,Argument vide,"1,11",undermine,I-node,OppositeConsequences_Conflict,PopularOpinion_Inference,skos:broadMatch,I-node,1
4,,Insuffisance,Argument bâclé,Argument vide,"1,111",undercut,RA-node,Ignorance_Inference,,skos:broadMatch,RA-node,1
33,2,Insuffisance,Argument bâclé,Justification triviale,"1,12",undercut,RA-node,AlternativeMeans_Conflict,,skos:broadMatch,RA-node,1
34,2,Insuffisance,Argument bâclé,Justification triviale,"1,121",undercut,RA-node,,"Example_Inference, InductiveInference_Scheme",skos:broadMatch,RA-node,1
43,1,Insuffisance,Argument bâclé,Justification triviale,"1,122",undercut,RA-node,,PopularPractice_Inference,skos:closeMatch,RA-node,1
55,2,Insuffisance,Argument bâclé,Sauvetage ad hoc,"1,13",undermine,I-node,,,,I-node,1
70,1,Insuffisance,Préjugé,,"1,2",undermine,I-node,Bias_Inference,"PopularOpinion_Inference, EstablishedRule_Inference, PracticalReasoning_Inference, PositionToKnow_Inference, Preference_Scheme, PresumptiveInference_Scheme",skos:broadMatch,I-node,1
71,2,Insuffisance,Préjugé,Argument d'autorité,"1,21",undercut,RA-node,ExpertiseInconsistency_Conflict,ExpertOpinion_Inference,skos:closeMatch,RA-node,1
96,2,Insuffisance,Préjugé,Sophisme naturaliste,"1,22",undercut,RA-node,,,,RA-node,1
112,2,Insuffisance,Préjugé,Sophisme moraliste,"1,23",undercut,RA-node,,,,RA-node,1
133,1,Insuffisance,Surinterprétation,,"1,3",undermine,I-node,LackOfCompleteKnowledge_Conflict,Sign_Inference,skos:broadMatch,I-node,1
134,1,Insuffisance,Surinterprétation,Sophisme ludique,"1,31",undercut,RA-node,,,,RA-node,1
153,2,Insuffisance,Surinterprétation,Argument des mauvaises raisons,"1,32",undercut,RA-node,,Commitment_Inference,skos:broadMatch,RA-node,1
165,1,Insuffisance,Surinterprétation,Manque de parcimonie,"1,33",undermine,I-node,,,,I-node,1
177,2,Influence,Procédé rhétorique,Langage persuasif,"2,11",undermine,I-node,"GeneralAcceptanceDoubt_Conflict, ArbitraryVerbalClassification_Inference","PopularOpinion_Inference, EstablishedRule_Inference",skos:broadMatch,I-node,1
219,1,Influence,Procédé rhétorique,Humour,"2,12",undermine,I-node,,,,I-node,1
247,2,Influence,Procédé rhétorique,Poésie,"2,13",undermine,I-node,,,,I-node,1
300,2,Influence,Appel à l'émotion,Connivence,"2,21",undermine,I-node,,PositiveConsequences_Inference,skos:broadMatch,I-node,1
322,2,Influence,Appel à l'émotion,Repoussoir,"2,22",undermine,I-node,,NegativeConsequences_Inference,skos:broadMatch,I-node,1
337,2,Influence,Appel à l'émotion,Repoussoir,"2,224",undermine,I-node,IrrationalFearAppeal_Conflict,FearAppeal_Inference,skos:closeMatch,I-node,1
340,2,Influence,Appel à l'émotion,Appel aux conséquences,"2,23",undermine,I-node,,EstablishedRule_Inference,skos:broadMatch,I-node,1
356,1,Influence,Manipulation mentale,,"2,3",undermine,I-node,ConflictingGoals_Conflict,,skos:broadMatch,I-node,1
357,2,Influence,Manipulation mentale,Conditionnement,"2,31",undermine,I-node,SignFromOtherEvents_Conflict,Sign_Inference,skos:broadMatch,I-node,1
420,2,Influence,Manipulation mentale,Jeu de pouvoir,"2,32",undermine,I-node,,,,I-node,1
432,2,Influence,Manipulation mentale,Jeu de pouvoir,"2,3221",undercut,RA-node,,Waste_Inference,skos:broadMatch,RA-node,1
511,1,Influence,Manipulation mentale,Influence non verbale,"2,33",undermine,I-node,,,,I-node,1
595,1,Erreur mathématique,Généralisation abusive,,"3,1",undercut,RA-node,,"Example_Inference, InductiveInference_Scheme, EvidenceToHypothesis_Inference",skos:broadMatch,RA-node,1
596,2,Erreur mathématique,Généralisation abusive,Échantillon biaisé,"3,11",undermine,I-node,,,,I-node,1
614,1,Erreur mathématique,Généralisation abusive,Sophisme de l'accident,"3,12",undercut,RA-node,ExceptionSimilarityCase_Conflict,ExceptionalCase_Inference,skos:broadMatch,RA-node,1
621,2,Erreur mathématique,Généralisation abusive,Transfert illicite,"3,13",undercut,RA-node,PropertyNotExistant_Conflict,,skos:broadMatch,RA-node,1
632,1,Erreur mathématique,Mauvaise interprétation,,"3,2",undercut,RA-node,,EvidenceToHypothesis_Inference,skos:broadMatch,RA-node,1
633,2,Erreur mathématique,Mauvaise interprétation,Relation infondée,"3,21",undercut,RA-node,PropertyNotExistant_Conflict,Sign_Inference,skos:broadMatch,RA-node,1
644,2,Erreur mathématique,Mauvaise interprétation,Probabilités faussées,"3,22",undermine,I-node,,,,I-node,1
658,2,Erreur mathématique,Mauvaise interprétation,Infini trompeur,"3,23",undercut,RA-node,,Gradualism_Inference,skos:broadMatch,RA-node,1
667,2,Erreur mathématique,Résultat invalide,Imprécision,"3,31",undermine,I-node,,,,I-node,1
677,1,Erreur mathématique,Résultat invalide,Imprécision,"3,3131",undercut,RA-node,WeakestLink_Conflict,"PrecedentSlipperySlope_Inference, FullSlipperySlope_Inference, CausalSlipperySlope_Inference",skos:narrowMatch,RA-node,1
681,2,Erreur mathématique,Résultat invalide,Erreur de calcul,"3,32",undermine,I-node,,,,I-node,1
