PK,path,decimal_path,depth,Famille,Famille_camelCase,Sous-Famille,Soussousfamille,état,carte,niveau,nom_vulgarisé,Latin,text_fr,LTfr,desc_fr,Lfr115,example_fr,Lxfr145,link_fr,Family,Subfamily,Subsubfamily,text_en,LTen,Simple_name_en,desc_en,Len115,example_en,example_en_bis,link_en,Lxen145,Remarques,latin,exemple politique,political_example_en,proverbe,Family_ru,Subfamily_ru,Subsubfamily_ru, text_ru,desc_ru,example_ru,link_ru,edition_fevrier_2022,print_&_play_fevrier_2022,+liens transverses,type lien transverse,shape,image,svg_color,svg_illustration,decimal_path_padded,depth_max4
1,1,1,1,Insuffisance,insuffisance,,,,1,2,,,Insuffisance,12,Les arguments que vous utilisez ne suffisent pas à démontrer votre propos.,74,,0,,Insufficiency,,,Insufficiency,13,,The arguments used fail to provide adequate support for the conclusion.,71,"Considering the line out the door, this restaurant must have the best food in the area.",,,87,light green 3: validé par ben le 3 octobre,,,,"Le bon blé porte l'ivraie.""",Недостаточность,,,Недостаточность,"Аргументы, которые вы используете, недостаточны, чтобы подтвердить ваше высказывание.","Судя по количеству посетителей, этот ресторан должен быть одним из лучших в районе. ",,,,,,square,fusil cassé,#a901ef,,1.0000000,1
2,1.1,"1,1",2,Insuffisance,insuffisance,Argument bâclé,,,1,7,,,Argument bâclé,14,"Votre raisonnement manque de rigueur, il s'appuie sur des impressions ou des faits anecdotiques.",96,"Hier, j'ai marché dans une crotte de chien en saluant un passant dans la rue. En ville, mieux vaut éviter de s'adresser à des inconnus.",135,,Insufficiency,Slovenly argument,,Slovenly argument,17,,Your based your argument on anecdote or instinct.,49,"Yesterday, I smiled at a stranger in the street, and then stepped in dog poo. In cities, one should remain aloof to be secure.",,,126,,,,,"""Pardonne à tous mais non à toi.""",Недостаточность,Топорный аргумент,,Топорный аргумент,"Вашему рассуждению не хватает строгости, оно опирается на ощущения и байки. ","Вчера, улыбнувшись  прохожему на улице, я вляпался в собачье дерьмо. Общаться с незнакомцами в городе - опасно. ",,,,,,circle,démon qui lit (bof),,,1.1000000,2
3,1.1.1,"1,11",3,Insuffisance,insuffisance,Argument bâclé,Justification triviale,,2,6,,,Justification triviale,22,"Vous attribuez à une habitude, une impression ou un exemple la valeur d'une preuve.",83,J'ai entendu dire que cette personne était sexiste ; il m'est donc impossible d'être en accord avec elle sur quoi que ce soit.,126,,Insufficiency,Slovenly argument,Trivial Justification,Trivial Justification,21,,"Using anecdotes, habits or intuition as evidence.",49,We can't agree with him. I heard he is a sexist.,,,48,,,,,"""Nulle rose sans épine.""",Недостаточность,Топорный аргумент,Тривиальное обоснование,Тривиальное обоснование,"Привычку, впечатление или пример вы расцениваете как доказательство. ","Я слышал, что он сексист, так что мне нельзя соглашаться с ним ни по какому вопросу. ",,,,,,circle,,,,1.1100000,3
4,1.1.1.1,"1,111",4,Insuffisance,insuffisance,Argument bâclé,Justification triviale,,2,1,,,Preuve anecdotique,18,Vous attribuez à un événement fortuit ou à un exemple la valeur d'un argument.,78,J'ai eu de bonnes notes en mathématiques après avoir bu du jus de cassis ; le jus de cassis rend donc fort en mathématiques.,124,,Insufficiency,Slovenly argument,Trivial Justification,Anecdotal evidence,18,,Using anecdotes or examples to either support or refute a claim.,64,"I drank grapefruit juice and I got good grades at school. Thus, grapefruit juice is good for school.",,http://rationalwiki.org/wiki/Anecdotal_evidence,100,,,,,"Juillet sans orage,Famine au village.""",Недостаточность,Топорный аргумент,Тривиальное обоснование,Анекдотичное обоснование,Случайное событие или пример вы приравниваете к аргументу.,Я попил черносмородинового сока и после этого получил хорошую оценку по математике. Так что этот сок развивает математические способности. ,,1,1,,,circle,microscope,,,1.1110000,4+
13,1.1.1.2,"1,112",4,Insuffisance,insuffisance,Argument bâclé,Justification triviale,,1,1,,,Pratique courante,17,Vous justifiez une manière de faire par son usage commun.,57,Tout le monde dépasse les limites de vitesse; cela ne devrait donc pas être sanctionné.,87,http://autopsia.fr/sophismes-arguments-autorite,Insufficiency,Slovenly argument,Trivial Justification,Appeal to common practice,25,,"Justifying choices, methods or actions on grounds that they are common practice.",80,Everyone evades taxes as much as they can. Why wouldn't I?,,http://www.nizkor.org/features/fallacies/appeal-to-common-practice.html,58,le lien FR le met sous arguments d'autorité... lien transverse?,,,,"""Tout le monde le fait""",Недостаточность,Топорный аргумент,Тривиальное обоснование,Так принято,"Вы оправдываете свое поведение тем, что так поступают все. ","Все превышают скорость, а я чем хуже?",https://ru.wikipedia.org/wiki/Апелляция_к_большинству,1,,,,circle,homme sous un mouton,,,1.1120000,4+
21,1.1.1.3,"1,113",4,Insuffisance,insuffisance,Argument bâclé,Justification triviale,,2,4,,,Sophisme du psychologue,23,Vous prenez votre point de vue individuel pour de l'objectivité.,64,Je trouve les enfants terrifiants ; vous avez donc beaucoup de mérite à élever le vôtre.,88,,Insufficiency,Slovenly argument,Trivial Justification,Psychologist's fallacy,22,,Confusing subjective experience of reality with the essence of that which is being observed.,92,I'm so scared of kids. You are so brave to be raising your own.,,https://en.wikipedia.org/wiki/Psychologist%27s_fallacy,63,,,,,,Недостаточность,Топорный аргумент,Тривиальное обоснование,Софизм психолога,Вашу личную точку зрения вы считаете объективной. ,"Дети - это монстры, так что честь вам и хвала за то, как вы воспитываете вашего. ",,,,vers biais subjectif ou culturel.,,circle,,,,1.1130000,4+
23,1.1.2,"1,12",3,Insuffisance,insuffisance,Argument bâclé,Sauvetage ad hoc,,2,6,,,Sauvetage ad hoc,16,Vous répondez à de justes critiques de vos arguments par des explications sans fondement qui rendent la proposition de plus en plus irréfutable.,144,"– Si les extraterrestres existaient, on en aurait vus ! 
– On ne les voit pas parce qu'ils frappent d'amnésie tous ceux qui les aperçoivent.",140,https://initiativerationnelle.wordpress.com/2016/04/16/sauvetage-ad-hoc/,Insufficiency,Slovenly argument,Ad hoc rescue,Ad hoc rescue,13,,Making unjustified explanatory hypotheses in order to prove that a counter-argument is not actually disproving one's point.,123,"- Raymond will ask me out. 
- He's been seeing Rose. 
- He's just trying to make me jealous.",,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/8/Ad-Hoc-Rescue,92,"J'ajoute la notion d'irréfutabilité qui me parait indissociable de cette technique rhétorique, et je me demande si l'exemple ne devrait pas être le fameux dragon de Carl Sagan - J
",,,,"""Il n'est pire sourd que celui qui ne veut pas entendre."" XXXcheck que ça va ou: ""se raccrocher aux branches""",Недостаточность,Топорный аргумент,Спасение ad hoc,Спасение ad hoc,"Вы отвечаете на справедливую критику необоснованными объяснениями, которые невозможно проверить. ","- Если бы инопланетяне существовали, мы бы их увидели!
- Мы их не видим, потому что они стирают воспоминания у всех, кто с ними сталкивался. ",https://ru.wikipedia.org/wiki/Ad_hoc,,,1.1.3.1.1.2; true scotsman,Opposé,circle,,,,1.1200000,3
37,1.1.3,"1,13",3,Insuffisance,insuffisance,Argument bâclé,Argument vide,,1,8,,,Argument vide,13,Les affirmations qui composent votre raisonnement ne démontrent rien.,69,Il est inutile que je poursuive mes études car l'avenir est incertain.,70,https://fr.wikipedia.org/wiki/Appel_%C3%A0_l%27ignorance,Insufficiency,Slovenly argument,Hollow argument,Hollow argument,15,,Using assertions which don't have any argumentative weight.,59,"No need to keep on studying, because nobody knows what the future will look like.",,https://en.wikipedia.org/wiki/Argument_from_ignorance,81," (portée limitée, argument vide ou appel à l'ignorance comme le suggère le lien???). J'aime l'exemple fr",,,,,Недостаточность,Топорный аргумент,Пустой аргумент,Пустой аргумент,"Утверждение, на котором основано ваше рассуждение, ничем не обосновано. ","Бесполезно продолжать учебу, потому что будущее туманно. ",https://ru.wikipedia.org/wiki/Argumentum_ad_ignorantiam,,,7.1.2.3,,circle,,,,1.1300000,3
64,1.2,"1,2",2,Insuffisance,insuffisance,Préjugé,,,1,8,,,Préjugé,7,Votre thèse repose sur des opinions préconçues.,47,Laisse donc ton père ouvrir ce pot de cornichons: c'est une affaire d'hommes.,77,https://fr.wikipedia.org/wiki/Pr%C3%A9jug%C3%A9,Insufficiency,Prejudice,,Prejudice,9,,Arguing on the basis of unchallenged pre-conceptions.,53,"Let your father open that jar of pickles, it's a man's job.",,https://en.wikipedia.org/wiki/Prejudice,59,,,,,,Недостаточность,Предрассудок,,Предрассудок,Рассуждение основано на стереотипах,"Пусть банку с огурцами откроет отец, это мужская работа. ",https://ru.wikipedia.org/wiki/Предрассудок,,,,,circle,oeillères,,,1.2000000,2
65,1.2.1,"1,21",3,Insuffisance,insuffisance,Préjugé,Argument d'autorité,,2,1,,,Argument d'autorité,19,"Vous justifiez votre propos par l'expertise de personnes influentes qui le soutiennent, plutôt que par son contenu.",115,"Bien qu'ayant trop chaud, je n'enlève pas mon manteau, car maman a dit qu'il faisait froid.",91,https://fr.wikipedia.org/wiki/Argument_d%27autorité,Insufficiency,Prejudice,Argument from Authority,Argument from Authority,23,,"Grounding claims on the high status of a supporter, regardless of the basis or relevance of the supporter's status.",115,I'm feeling hot but I'll keep my coat on because Mum said it was cold today.,,https://en.wikipedia.org/wiki/Argument_from_authority,76,"An argument from authority, also called an appeal to authority, popularized by John Locke as the argumentum ad verecundiam
Jesse: CF version FR: il y a 3 expressions en latin, qui correspondent ici à des sous-categories
Liens transverses (mmiroir) vers par le mépris, par la haine... Lein t vers achievements",,,,,Недостаточность,Предрассудок,Воззвание к авторитету,Воззвание к авторитету,"Вы основываете суждение на авторитетности экспертов, а не на убедительности самих доводов. ","—Моня! Иди домой! 
—Мама, я замёрз? 
—Нет, ты хочешь кушать!",https://ru.wikipedia.org/wiki/Апелляция_к_авторитету,1,1,,,circle,roi éléphant ivre,,,1.2100000,3
72,1.2.1.2,"1,212",4,Insuffisance,insuffisance,Préjugé,Argument d'autorité,,1,4,,,Appel au respect,16,Vous accordez de la valeur à une proposition parce qu'elle est soutenue par une personne réputée.,97,Ce gâteau doit être excellent puisqu'il s'agit d'une recette inventée par Albert Einstein.,90,https://fr.wikipedia.org/wiki/Argument_d%27autoritA13%A9,Insufficiency,Prejudice,Argument from Authority,Argument from respect,21,,"Grounding the validity of a proposition on the basis that a reputable, respected person or entity supports it.",110,"This must be a good recipe, Albert Einstein invented it.
",,https://en.wikipedia.org/wiki/Argument_from_authority,57,"il faudrait affiner les liens pour faire la différence d'avec argument d'autorité, sa mère.",ad verecundiam,,,"""Servir les vieillards est un devoir, servir ses égaux est une politesse, servir les jeunes est une humiliation.""",Недостаточность,Предрассудок,Воззвание к авторитету,Воззвание к уважению,"Вы придаете особое значение предложению, потому что оно было сделано человеком с непререкаемой репутацией. ","Это, должно быть, отличный пирог, потому что рецепт придумал Альберт Эйнштейн.  ",,,,,,circle,,,,1.2120000,4+
73,1.2.1.2.1,"1,2121",5,Insuffisance,insuffisance,Préjugé,Argument d'autorité,,2,5,,,Argument d'accomplissement,26,Vous fondez la validité des propos de quelqu'un sur ses succès dans le domaine concerné.,88,Ton opinion sur la musique m'intéressera quand tu auras sorti un album !,72,,Insufficiency,Prejudice,Argument from Authority,Appeal to accomplishment,24,,Granting value to someone's claims on the basis of his or her achievements in the field being debated.,102,I'll listen to your opinions on music when you've released a record that went platinum.,,https://en.wikipedia.org/wiki/Appeal_to_accomplishment,87,"lien t. RMQ classif: cet argument est négatif mais ses enfants sont positifs. Devrions nous le redéfinir en positif? ie: il a réussi dans les affaires, il sera un bon ministre"" plutôt que d'exiger un ministre qui a réussi... ? ",,,,"Quand le sage désigne la lune, l'idiot regarde le doigt.""",Недостаточность,Предрассудок,Воззвание к авторитету,Аргумент к свершению,Ценность чьих-то слов вы рассматриваете в соответствии с его успехами. ,"Я прислушаюсь к твоему мнению о музыке, когда ты выпустишь альбом! ",,1,,7.3.2.3,,circle,,,,1.2121000,4+
84,1.2.2,"1,22",3,Insuffisance,insuffisance,Préjugé,Sophisme naturaliste,,2,,,,Sophisme naturaliste,20,Vous justifiez le bien-fondé d'une proposition par son caractère supposément originel et naturel.,97,L'être humain a toujours mangé de la viande ; être végétarien est donc contre nature.,85,https://fr.wikipedia.org/wiki/Paralogisme_naturaliste,Insufficiency,Prejudice,Naturalism,Naturalism,19,,"Considering that, since something naturally exists as a fact, it must be a good thing.",86,The fact that man eats meat means that man should eat meat.,,https://en.wikipedia.org/wiki/Naturalistic_fallacy,59,"le darwinisme social. C'est la loi de l'évolution, seuls les plus forts survivent. Appliquer un principe naturel à l'économie est erroné et dangereux. ça irait où cet exemple? fausse analogie? appel à la nature?",,,,"""Les branches des arbres trop chargés se rompent.""        ",Недостаточность,Предрассудок,Апелляция к природе,Апелляция к природе,"Вы обосновываете предложение тем, что, якобы, оно соответствует природе и первоначальному положению вещей. ","Человек всегда ел мясо, так что быть вегетарианцем противоестественно. ",,,,,,circle,,,,1.2200000,3
86,1.2.2.2,"1,222",4,Insuffisance,insuffisance,Préjugé,Sophisme naturaliste,,2,4,,,Raison de la majorité,21,Vous justifiez une position par le fait qu'elle est partagée par le plus grand nombre.,86,La plupart des enfants réclament tous les jours des frites à la cantine; c'est donc ce qu'il faudrait leur servir quotidiennement.,130,https://fr.wikipedia.org/wiki/Argumentum_ad_populum,Insufficiency,Prejudice,Naturalism,Appeal to the majority,22,,Grounding the validity of a proposition on the fact that many or most people agree with it.,91,"Most kids want to eat chips every day. That's what they should have at school, for lunch.",,https://en.wikipedia.org/wiki/Argumentum_ad_populum,89,lien t. lien avec common practice,ad populum,,,C'est pas parce qu'ils sont nombreux à avoir tort qu'ils ont raison. (Coluche),Недостаточность,Предрассудок,Апелляция к природе,Апелляция к большинству,"Вы оправдываете предложение, поскольку оно поддерживается большинством. ","Большинство детей требуют, чтобы каждый день в столовой была картошка фри; так что это и надо им подавать ежедневно. ",https://ru.wikipedia.org/wiki/Апелляция_к_большинству,1,,7.2.1.4.3,,circle,,,,1.2220000,4+
92,1.2.2.3,"1,223",4,Insuffisance,insuffisance,Préjugé,Sophisme naturaliste,,1,2,,,Appel à la tradition,20,Vous établissez la validité d'un discours ou d'une pratique par le fait qu'ils auraient été consacrés par l'usage dans le temps.,128,La corrida a toujours existé en France; il serait donc stupide d'interdire cette pratique dans notre pays.,106,https://fr.wikipedia.org/wiki/Argumentum_ad_antiquitatem,Insufficiency,Prejudice,Naturalism,Appeal to tradition,19,,Supporting an opinion or practice on the basis of it being traditional.,71,You should not let your wife tell you how to live. Men have always been the ones in charge.,,http://www.csun.edu/%7Edgw61315/fallacies.html#Argumentum%20ad%20antiquitatem,91,,Argumentum ad antiquitatem,,,"Le flatteur est proche parent du traître.""	",Недостаточность,Предрассудок,Апелляция к природе,Аргумент к традиции,"Валидность утверждения вы обосновываете тем, что оно освящено традицией.","Коррида всегда существовала, поэтому глупо ее запрещать. ",https://studme.org/336718/ritorika/argument_traditsii,1,1,,,circle,,,,1.2230000,4+
96,1.2.2.4,"1,224",4,Insuffisance,insuffisance,Préjugé,Sophisme naturaliste,,1,7,,argumentum ad naturam,Appel à la nature,17,Vous basez votre argument sur le présupposé que ce qui naturel est bon et ce qui ne l'est pas est mauvais.,106,"Il est normal que chez les hommes, comme chez la plupart des animaux, les mâles dominent car ils sont plus forts et plus violents.",130,https://fr.wikipedia.org/wiki/Appel_à_la_nature,Insufficiency,Prejudice,Naturalism,Appeal to nature,16,"Biologizing, The Green Fallacy","Grounding one's argumentation on the assumption that anything natural is good, or that anything non-natural is bad.",115,"Men are meant to dominate, as do males in most species. ",,"https://en.wikipedia.org/wiki/Appeal_to_nature
https://utminers.utep.edu/omwilliamson/ENGL1311/fallacies.htm",56,,,,,,Недостаточность,Предрассудок,Апелляция к природе,Апелляция к природе,"Вы основываете ваше суждение на убеждении, что то, что естественно, является хорошим, и наоборот. ","Как у большинства животных доминируют самцы, потому что они сильнее и жестче, так и в человеческом обществе доминируют мужчины. ",https://ru.wikipedia.org/wiki/Апелляция_к_природе,1,,,,circle,,,,1.2240000,4+
