virtue_iri_fragment,argument_scheme
adequateComparison,argumentFromAnalogy
appropriateAnalogy,argumentFromAnalogy
appropriateStyle,argumentFromAnalogy
correctAnalogicalReasoning,argumentFromAnalogy
figuresSupportingClarity,argumentFromAnalogy
justifiedComparisons,argumentFromAnalogy
legitimateTransfer,argumentFromAnalogy
avoidingPersonalAttacks,argumentFromBias
balancedConsideration,argumentFromBias
benevolentNeutrality,argumentFromBias
considerationOfOnesIdeologicalBiases,argumentFromBias
correctCriticalReasoning,argumentFromBias
distancingFromIdeologies,argumentFromBias
emotionalNeutrality,argumentFromBias
identificationOfOnesBiases,argumentFromBias
impartialSources,argumentFromBias
interculturalAwareness,argumentFromBias
neutralVocabulary,argumentFromBias
nonPartisanInterpretation,argumentFromBias
nuancedConsiderations,argumentFromBias
objectivityEffort,argumentFromBias
presumptionOfGoodFaith,argumentFromBias
principleOfNonDisqualification,argumentFromBias
recognitionOfPersonalBiases,argumentFromBias
recognitionOfPersonalCulturalBiases,argumentFromBias
respectForThePerson,argumentFromBias
searchForTruth,argumentFromBias
showingEmpathy,argumentFromBias
sourcesFreeOfSocioEconomicBias,argumentFromBias
takingConflictsOfInterestIntoAccount,argumentFromBias
takingTheOpponentsIdeologicalBiasesIntoAccount,argumentFromBias
unbiasedReasoning,argumentFromBias
understandingOthersCulturalBiases,argumentFromBias
understandingOthersPersonalBiases,argumentFromBias
correctAbductiveReasoning,argumentFromCauseToEffect
correctOrientationOfCausality,argumentFromCauseToEffect
exclusionOfAlternativeCauses,argumentFromCauseToEffect
hanlonsRazor,argumentFromCauseToEffect
independenceOfEvents,argumentFromCauseToEffect
occamsRazor,argumentFromCauseToEffect
parsimoniousRepresentation,argumentFromCauseToEffect
plausibleHypothesis,argumentFromCauseToEffect
preciseIdentificationOfCausality,argumentFromCauseToEffect
scientificApproach,argumentFromCauseToEffect
sufficientExplanations,argumentFromCauseToEffect
absenceOfInternalContradictions,argumentFromCommitment
activeListening,argumentFromCommitment
appropriateStance,argumentFromCommitment
argumentFocusedCriticism,argumentFromCommitment
argumentativeCollaboration,argumentFromCommitment
authenticCommunication,argumentFromCommitment
availabilityForDialogue,argumentFromCommitment
avoidingDigressions,argumentFromCommitment
awarenessOfTheLimitsOfAnArgument,argumentFromCommitment
burdenOfProof,argumentFromCommitment
clarityOfIssues,argumentFromCommitment
clearObjective,argumentFromCommitment
clearPositioning,argumentFromCommitment
correctDeductions,argumentFromCommitment
courtesyInDisagreement,argumentFromCommitment
doNotInterrupt,argumentFromCommitment
effectiveParticipation,argumentFromCommitment
enlightenedSelfDeprecation,argumentFromCommitment
enrichingExchange,argumentFromCommitment
explicitJustifications,argumentFromCommitment
fairEvaluationOfTheOpposingPosition,argumentFromCommitment
fairnessInDialogue,argumentFromCommitment
faithfulAcknowledgmentOfTheOpposingPosition,argumentFromCommitment
inferentialMastery,argumentFromCommitment
mutualCommitment,argumentFromCommitment
nonviolentCommunication,argumentFromCommitment
opennessToChange,argumentFromCommitment
positiveContribution,argumentFromCommitment
premiseConsistency,argumentFromCommitment
principleOfCharity,argumentFromCommitment
principleOfFallibility,argumentFromCommitment
questForConsensus,argumentFromCommitment
recognitionOfOnesErrors,argumentFromCommitment
refutablePremises,argumentFromCommitment
respectForTheOriginOfIdeas,argumentFromCommitment
respectfulLanguage,argumentFromCommitment
respectfulRefutationOfOpposingArguments,argumentFromCommitment
