source_dp,source_label,mappingType,bad_map_verdict,recommendation
"2,131",Jeu de sonorités,none,none,"DROP — weak hedge, no defensible mapping"
"2,1312",Assonance,none,none,"DROP — weak hedge, no defensible mapping"
"2,132",Répétition,none,none,"DROP — weak hedge, no defensible mapping"
"2,1322",Anaphore,none,none,"DROP — weak hedge, no defensible mapping"
"2,13222",Symploque,none,none,"DROP — weak hedge, no defensible mapping"
"1,2224",Appel au nombre,skos:exactMatch,skos:exactMatch,ADOPT — extend observed set (legit SKOS predicate)
"3,211",Confusion entre corrélation et causalité,skos:exactMatch,skos:exactMatch,ADOPT — extend observed set (legit SKOS predicate)
"2,1346",Zeugma,skos:noMatch,skos:noMatch,"DROP — weak hedge, no defensible mapping"
"6,3111112",Rappel en série,skos:noMatch,skos:noMatch,"DROP — weak hedge, no defensible mapping"
"1,1116",Argument d'omniscience,skos:relatedMatch,skos:relatedMatch,ADOPT — extend observed set (legit SKOS predicate)
"1,1211",Argument par ouï-dire,skos:relatedMatch,skos:relatedMatch,ADOPT — extend observed set (legit SKOS predicate)
"1,23321",Blasphème,skos:relatedMatch,skos:relatedMatch,ADOPT — extend observed set (legit SKOS predicate)
"2,1141",Appel au slogan,skos:relatedMatch,skos:relatedMatch,ADOPT — extend observed set (legit SKOS predicate)
"2,1142",Petite phrase,skos:relatedMatch,skos:relatedMatch,ADOPT — extend observed set (legit SKOS predicate)
"2,1144",Technique du carpaccio,skos:relatedMatch,skos:relatedMatch,ADOPT — extend observed set (legit SKOS predicate)
"2,1151",Obscurcissement,skos:relatedMatch,skos:relatedMatch,ADOPT — extend observed set (legit SKOS predicate)
"2,11513",Obscurantisme,skos:relatedMatch,skos:relatedMatch,ADOPT — extend observed set (legit SKOS predicate)
"2,115242",Langage des titres de presse,skos:relatedMatch,skos:relatedMatch,ADOPT — extend observed set (legit SKOS predicate)
"2,1211",Blague,skos:relatedMatch,skos:relatedMatch,ADOPT — extend observed set (legit SKOS predicate)
"2,12124",Bathos,skos:relatedMatch,skos:relatedMatch,ADOPT — extend observed set (legit SKOS predicate)
"2,122221",Wellerisme,skos:relatedMatch,skos:relatedMatch,ADOPT — extend observed set (legit SKOS predicate)
"2,122222",Antiparémie,skos:relatedMatch,skos:relatedMatch,ADOPT — extend observed set (legit SKOS predicate)
"2,1223",Ironie,skos:relatedMatch,skos:relatedMatch,ADOPT — extend observed set (legit SKOS predicate)
"2,122323",Second degré,skos:relatedMatch,skos:relatedMatch,ADOPT — extend observed set (legit SKOS predicate)
"2,123",Cynisme,skos:relatedMatch,skos:relatedMatch,ADOPT — extend observed set (legit SKOS predicate)
"2,1231",Humour noir,skos:relatedMatch,skos:relatedMatch,ADOPT — extend observed set (legit SKOS predicate)
"2,1311",Allitération,skos:relatedMatch,skos:relatedMatch,ADOPT — extend observed set (legit SKOS predicate)
"2,1314",Onomatopée,skos:relatedMatch,skos:relatedMatch,ADOPT — extend observed set (legit SKOS predicate)
