source_dp,source_label,kind,verb_or_field,target,target_label,confidence,rationale,warns
"1,111",Appel à l'ignorance,crossLink,IsRelatedTo,1.1.1.1.4,Preuve par absence de réfutation,0.95,La preuve par absence de réfutation est une forme particulièrement nette de l’appel à l’ignorance: conclure vrai parce que non réfuté.,
"1,111",Appel à l'ignorance,crossLink,IsRelatedTo,1.1.1.1.3,Argument d'incrédulité,0.72,"Les deux tirent une conclusion indue d’une limite cognitive ou épistémique, mais l’incrédulité repose sur l’incompréhension plutôt que sur l’absence de preuve.",
"1,111",Appel à l'ignorance,crossLink,Allows,1.1.1.1.1,Ignorance délibérée,0.55,L’appel à l’ignorance peut ouvrir la voie à l’ignorance délibérée lorsque l’absence alléguée de preuve est entretenue en écartant les informations contraires.,
"1,111",Appel à l'ignorance,AIF_skosDirectRef,,Ignorance_Inference,,,skos:closeMatch,
"1,111",Appel à l'ignorance,AIF_skosExceptionRef,,LackOfCompleteKnowledge_Conflict,,,skos:closeMatch,
"1,1111",Ignorance délibérée,crossLink,Allows,1.1.1.1,Appel à l'ignorance,0.65,"By deliberately avoiding contrary information, the arguer manufactures or preserves the ignorance that an appeal to ignorance can then exploit.",
"1,1111",Ignorance délibérée,crossLink,Allows,1.1.1.1.1.1,A priorisme,0.78,Deliberate ignorance is the enabling attitude behind refusing to examine disconfirming evidence in a priorism.,
"1,1111",Ignorance délibérée,crossLink,Allows,1.1.1.1.1.2,Syndrome du vrai croyant,0.7,Avoiding potentially defeating information helps sustain continued belief despite contrary evidence.,
"1,1111",Ignorance délibérée,crossLink,Mirrors,1.1.1.1.1.3,Tabou,0.76,"Both involve shielding a position from invalidating facts, with taboo doing so by refusing discussion rather than merely avoiding knowledge.",
"1,1111",Ignorance délibérée,AIF_skosDirectRef,,Bias_Inference,,,skos:broadMatch,
"1,1111",Ignorance délibérée,AIF_skosExceptionRef,,LackOfCompleteKnowledge_Conflict,,,skos:broadMatch,
"1,11111",A priorisme,crossLink,Leverages,1.1.1.1.1,Ignorance délibérée,0.9,A priorisme is a specific form of deliberately rejecting information that could contradict one’s position.,
"1,11111",A priorisme,crossLink,Allows,1.1.1.1.1.2,Syndrome du vrai croyant,0.78,Refusing to consider contrary evidence creates the conditions for persisting in a false belief despite strong counterevidence.,
"1,11111",A priorisme,crossLink,Mirrors,1.1.1.1.1.3,Tabou,0.72,"Both involve blocking potentially refuting information, though taboo blocks discussion while apriorism blocks evidential consideration.",
"1,11111",A priorisme,AIF_skosDirectRef,,Bias_Inference,,,skos:closeMatch,
"1,11111",A priorisme,AIF_skosExceptionRef,,LackOfCompleteKnowledge_Conflict,,,skos:closeMatch,
"1,11112",Syndrome du vrai croyant,crossLink,Leverages,1.1.1.1.1,Ignorance délibérée,0.9,Persisting in a false belief despite strong contrary evidence typically relies on deliberately rejecting information that would undermine the position.,
"1,11112",Syndrome du vrai croyant,crossLink,Leverages,1.1.1.1.1.1,A priorisme,0.78,The true-believer pattern often operates through a prioristic refusal to examine evidence that contradicts the cherished belief.,
"1,11112",Syndrome du vrai croyant,crossLink,IsRelatedTo,1.1.1.1.1.3,Tabou,0.55,"Refusing to discuss potentially falsifying facts can support continued belief, but tabooing discussion is a more dialogical tactic than mere persistence in error.",
"1,11112",Syndrome du vrai croyant,AIF_skosDirectRef,,Bias_Inference,,,skos:broadMatch,
"1,11112",Syndrome du vrai croyant,AIF_skosExceptionRef,,EvidenceToHypothesis_Inference,,,skos:broadMatch,
"2,111",Question piège,crossLink,Leverages,2.1.1.1.1,Question piège,0.92,A complex/trick question typically works by embedding a false or controversial presupposition that the respondent is pressured to accept.,bad_map:skos:relatedMatch
"2,111",Question piège,crossLink,Leverages,2.1.1.2,Pétition de principe,0.74,"The trap often consists in presupposing the very point at issue, thereby smuggling in a petitio principii through the question form.",bad_map:skos:relatedMatch
