attacker_pk,attacker_label,family,subfamily,subsubfamily,decimal_path,attack_type,attacked_node_type,skos_direct_ref,skos_exception_ref,skos_mapping_type,expected_node_type,node_type_axiom_ok
1,Argument pertinent,Argument pertinent,,,1.0000000,undercut,RA-node,Argument from Sign,,L'élément invoqué constitue-t-il réellement un signe pertinent et fiable de la conclusion avancée ?,RA-node,1
2,Argument fondé,Argument pertinent,Argument fondé,,1.1000000,undercut,RA-node,Argument from Sign,,Les faits ou raisons invoqués constituent-ils un appui pertinent et suffisant pour la conclusion ?,RA-node,1
3,Argument réel,Argument pertinent,Argument fondé,Argument réel,1.1100000,undercut,RA-node,Argument from Sign,,"Les éléments invoqués sont-ils concrets, vérifiables et pertinents pour la conclusion ?",RA-node,1
4,Argument déductif,Argument pertinent,Argument fondé,Argument réel,1.1110000,undercut,RA-node,Argument from Rule,,La conclusion suit-elle nécessairement des prémisses selon une règle logique valide ?,RA-node,1
5,Argument inductif,Argument pertinent,Argument fondé,Argument réel,1.1120000,undercut,RA-node,Argument from Example,,"Les exemples sont-ils assez nombreux, pertinents et représentatifs pour soutenir probablement la conclusion ?",RA-node,1
6,Preuves tangibles,Argument pertinent,Argument fondé,Preuves tangibles,1.1200000,undercut,RA-node,Argument from Sign,,"Les preuves présentées sont-elles tangibles, vérifiables et réellement probantes ?",RA-node,1
7,Objectif clair,Argument pertinent,Argument fondé,Preuves tangibles,1.1210000,undercut,RA-node,Argument from Commitment,,L'objectif du débat et les positions défendues sont-ils clairement établis ?,RA-node,1
8,Illustrer par des exemples,Argument pertinent,Argument fondé,Preuves tangibles,1.1220000,undercut,RA-node,Argument from Example,,Les exemples choisis illustrent-ils de façon précise et pertinente la thèse défendue ?,RA-node,1
9,Appuyer par des citations,Argument pertinent,Argument fondé,Preuves tangibles,1.1230000,undercut,RA-node,Argument from Expert Opinion,,La citation provient-elle d'une source compétente et soutient-elle réellement l'argument ?,RA-node,1
10,Citer ses sources,Argument pertinent,Argument fondé,Preuves tangibles,1.1240000,undercut,RA-node,Argument from Position to Know,,"La source est-elle précisément identifiable, correctement rapportée et placée dans son contexte ?",RA-node,1
11,Raisonner sans biais,Argument pertinent,Argument fondé,Raisonnement non orienté,1.1300000,undercut,RA-node,Argument from Bias,,Le raisonnement tient-il compte des faits pertinents sans sélection biaisée en faveur d'une conclusion préconçue ?,RA-node,1
12,Prémisses fiables,Argument pertinent,Prémisses fiables,,1.2000000,undercut,RA-node,Argument from Position to Know,,La source ou la prémisse avancée est-elle suffisamment fiable et en position de soutenir correctement la conclusion ?,RA-node,1
13,Sources crédibles,Argument pertinent,Prémisses fiables,Sources crédibles,1.2100000,undercut,RA-node,Argument from Position to Know,,La source est-elle en position fiable de connaître ce qu'elle affirme ?,RA-node,1
14,Source bien évaluée,Argument pertinent,Prémisses fiables,Sources crédibles,1.2110000,undercut,RA-node,Argument from Position to Know,,"La fiabilité, la compétence et les limites de la source ont-elles été évaluées de manière critique ?",RA-node,1
15,Journal réputé,Argument pertinent,Prémisses fiables,Sources crédibles,1.2111000,undercut,RA-node,Argument from Position to Know,,Le média cité possède-t-il une réputation vérifiable d'exactitude et de rigueur éditoriale ?,RA-node,1
16,Publication scientifique,Argument pertinent,Prémisses fiables,Sources crédibles,1.2112000,undercut,RA-node,Argument from Expert Opinion,,La publication est-elle évaluée par des pairs compétents et méthodologiquement fiable ?,RA-node,1
17,Autorité compétente,Argument pertinent,Prémisses fiables,Sources crédibles,1.2113000,undercut,RA-node,Argument from Expert Opinion,,L'autorité invoquée est-elle compétente dans le domaine précis concerné ?,RA-node,1
18,Expert du domaine,Argument pertinent,Prémisses fiables,Sources crédibles,1.2113100,undercut,RA-node,Argument from Expert Opinion,,"L'expert possède-t-il une expertise reconnue, pertinente et fiable dans ce domaine ?",RA-node,1
19,Témoignage non controversé,Argument pertinent,Prémisses fiables,Sources crédibles,1.2114000,undercut,RA-node,Argument from Witness Testimony,,"Le témoignage est-il fiable, corroboré et exempt de controverse sérieuse ?",RA-node,1
20,Conclusion validée,Argument pertinent,Prémisses fiables,Sources crédibles,1.2120000,undercut,RA-node,Argument from Expert Opinion,,La conclusion a-t-elle été validée par des preuves vérifiées et reconnues par la communauté compétente ?,RA-node,1
21,Information confirmée,Argument pertinent,Prémisses fiables,Sources crédibles,1.2130000,undercut,RA-node,Argument from Position to Know,,L'information est-elle confirmée par des sources fiables et correctement identifiées ?,RA-node,1
22,Faits vérifiés,Argument pertinent,Prémisses fiables,Sources crédibles,1.2131000,undercut,RA-node,Argument from Sign,,Les prémisses factuelles ont-elles été vérifiées par un contrôle minutieux et indépendant ?,RA-node,1
23,Preuves empiriques,Argument pertinent,Prémisses fiables,Sources crédibles,1.2131100,undercut,RA-node,Argument from Sign,,"Les données empiriques sont-elles observables, vérifiables et pertinentes pour la conclusion ?",RA-node,1
24,Hypothèse plausible,Argument pertinent,Prémisses fiables,Sources crédibles,1.2140000,undercut,RA-node,Argument from Cause to Effect,,"L'hypothèse est-elle plausible, nécessaire et reliée aux faits à expliquer ?",RA-node,1
25,Sources indépendantes,Argument pertinent,Prémisses fiables,Sources indépendantes,1.2200000,undercut,RA-node,Argument from Position to Know,,"Les sources sont-elles multiples, indépendantes et convergentes ?",RA-node,1
26,Sources impartiales,Argument pertinent,Prémisses fiables,Sources impartiales,1.2300000,undercut,RA-node,Argument from Bias,,La source est-elle suffisamment impartiale et dépourvue d'intérêt personnel dans la conclusion ?,RA-node,1
27,Sources sans biais social,Argument pertinent,Prémisses fiables,Sources impartiales,1.2310000,undercut,RA-node,Argument from Bias,,La source est-elle exempte de biais socio-économiques susceptibles de fausser l'information ?,RA-node,1
