weight,src_grappe_path,src_grappe_name,src_famille,tgt_grappe_path,tgt_grappe_name,tgt_famille,cross_family,leaf_link_examples
137,2.3,Manipulation mentale,Influence,2.3,Manipulation mentale,Influence,no,Équivoque antithétique-[Leverages]->Distanciation; Équivoque antithétique-[Mirrors]->Questions en désordre; Questions en désordre-[Mirrors]->Distanciation
134,6.3,Raisonnement biaisé,Tricherie,6.3,Raisonnement biaisé,Tricherie,no,Biais d’attention-[Leverages]->Biais émotionnels; Effet de modalité-[IsRelatedTo]->Modèle des niveaux de traitement; Effet de suffixe-[Leverages]->Rappel en série
49,6.1,Présentation trompeuse des faits,Tricherie,6.1,Présentation trompeuse des faits,Tricherie,no,Déformation-[IsRelatedTo]->Prémisse fausse; Minimisation-[Inverts]->Exagération; Minimisation-[IsRelatedTo]->Amplification et minimisation
36,2.1,Technique rhétorique,Influence,2.1,Technique rhétorique,Influence,no,Question piège-[Leverages]->Pétition de principe; Question multiple-[Mirrors]->Question piège; Pensée cliché-[Mirrors]->Appel au slogan
28,1.1,Généralisation hâtive,Insuffisance,1.1,Généralisation hâtive,Insuffisance,no,A priorisme-[Mirrors]->Tabou; A priorisme-[IsRelatedTo]->Syndrome du vrai croyant; Syndrome du vrai croyant-[Leverages]->A priorisme
26,7.3,Ad hominem,Obstruction,7.3,Ad hominem,Obstruction,no,Whataboutisme-[Mirrors]->Critique de l'incohérence passée; Critique de l'incohérence passée-[Mirrors]->Whataboutisme; Extension-[Leverages]->Tirer de fausses conclusions
26,2.1,Technique rhétorique,Influence,5,Abus de langage,?,YES,Question rhétorique-[Leverages]->Abus de langage; Jargon scientifique-[Leverages]->Abus de langage; Fedspeak-[Leverages]->Abus de langage
26,1.2,Préjugé,Insuffisance,1.2,Préjugé,Insuffisance,no,Argument de pouvoir-[Mirrors]->Appel au respect; Argument d'obéissance aveugle-[Mirrors]->Autorité invincible; Appel à l'assurance-[Mirrors]->Appel à la loyauté
24,3.1,Généralisation abusive,Erreur mathématique,3.1,Généralisation abusive,Erreur mathématique,no,Échantillon non représentatif-[Leverages]->Biais de sélection; Appel aux petits nombres-[Leverages]->Insensibilité à la taille de l'échantillon; Appel à la coïncidence-[Inverts]->Généralisation hâtive
22,4.2,Composition fautive,Erreur de raisonnement,4.2,Composition fautive,Erreur de raisonnement,no,Transposition impropre-[Leverages]->L'un n'empêche pas l'autre; Transposition impropre-[Mirrors]->Commutation des conditionnelles; Commutation des conditionnelles-[Mirrors]->Transposition impropre
22,2.2,Appel à l'émotion,Influence,2.2,Appel à l'émotion,Influence,no,Appel au désir-[Mirrors]->Appel à la pitié; Appel aux généralités flatteuses-[IsRelatedTo]->Discours démagogique; Démagogie-[Mirrors]->Appel au pain et aux jeux
20,1.3,Surinterprétation,Insuffisance,1.3,Surinterprétation,Insuffisance,no,Sophisme quantitatif-[Leverages]->Effet du lampadaire; Effet du lampadaire-[Mirrors]->Sophisme quantitatif; Sophisme de l'historien-[Mirrors]->Déterminisme rétrospectif
19,6.2,Déplacement des critères,Tricherie,6.2,Déplacement des critères,Tricherie,no,Justification infinie-[Mirrors]->Solution parfaite; Piège kafkaïen-[Mirrors]->Refus de légitimer; Assertion ambiguë-[Mirrors]->Langue de bois
17,3.2,Interprétation quantitative erronée,Erreur mathématique,3.2,Interprétation quantitative erronée,Erreur mathématique,no,Confusion entre antériorité et causalité-[Leverages]->Confusion entre corrélation et causalité; Pêche aux données-[Allows]->Corrélation illusoire; Comparaisons multiples-[Allows]->Statistiques de l'occulte
16,6.1,Présentation trompeuse des faits,Tricherie,2,Influence,?,YES,Mensonge poli-[Leverages]->Influence; Pour la bonne cause-[Leverages]->Influence; Fake news-[Leverages]->Influence
16,5.3,Ambiguïté,Abus de langage,5.3,Ambiguïté,Abus de langage,no,Accent-[Mirrors]->Ponctuation ambiguë; Solécisme-[Mirrors]->Ponctuation ambiguë; Barbarisme-[Mirrors]->Solécisme
15,5.1,Définition biaisée,Abus de langage,5.1,Définition biaisée,Abus de langage,no,Défaut d'élucidation-[Allows]->Indéfinissabilité; Concept essentiellement contesté-[Leverages]->Indéfinissabilité; Définition trop large-[Inverts]->Définition trop restrictive
15,4.3,Déduction invalide,Erreur de raisonnement,4.3,Déduction invalide,Erreur de raisonnement,no,Rationalisation-[Leverages]->Donner de mauvaises raisons; Tirer une mauvaise conclusion-[IsRelatedTo]->Donner de mauvaises raisons; Acte de foi-[IsRelatedTo]->Substitut de preuve
14,7.2,Sabotage du débat,Obstruction,7.2,Sabotage du débat,Obstruction,no,Digression-[IsRelatedTo]->Interrompre et détourner le débat; Interrompre et détourner le débat-[Leverages]->Digression; Changement de terrain-[Leverages]->Digression
14,6.3,Raisonnement biaisé,Tricherie,2,Influence,?,YES,Effet de cadrage-[Allows]->Influence; Biais de distinction-[Leverages]->Influence; Effet d'ancrage-[Allows]->Influence
12,6.3,Raisonnement biaisé,Tricherie,1,Insuffisance,?,YES,Effet du lampadaire-[Allows]->Insuffisance; Effet dur-facile-[Allows]->Insuffisance; Preuve anecdotique-[IsRelatedTo]->Insuffisance
10,6.2,Déplacement des critères,Tricherie,5,Abus de langage,?,YES,Confondre une explication et une excuse-[Leverages]->Abus de langage; Mots compliqués-[Denounces]->Abus de langage; Ne pas se mouiller-[Leverages]->Abus de langage
10,4.3,Déduction invalide,Erreur de raisonnement,1,Insuffisance,?,YES,Prémisses non pertinentes-[IsRelatedTo]->Insuffisance; Hypothèse farfelue-[Leverages]->Insuffisance; Familiarité étonnante-[IsRelatedTo]->Insuffisance
9,7.1,Refus du débat,Obstruction,7.1,Refus du débat,Obstruction,no,Truthiness-[Mirrors]->Droit à mon opinion; Droit à mon opinion-[Mirrors]->Truthiness; Impossibilité de test-[Mirrors]->Argument autocollant
9,6.1,Présentation trompeuse des faits,Tricherie,1,Insuffisance,?,YES,Homme de paille-[IsRelatedTo]->Insuffisance; Information obsolète-[IsRelatedTo]->Insuffisance; Mensonge par omission-[Leverages]->Insuffisance
9,4.1,Causalité douteuse,Erreur de raisonnement,4.1,Causalité douteuse,Erreur de raisonnement,no,Question piège-[IsRelatedTo]->Soutien infondé; Pétition de principe analogique-[Leverages]->Argument circulaire; Soutien infondé-[Mirrors]->Question piège
9,2.3,Manipulation mentale,Influence,7,Obstruction,?,YES,Questions en désordre-[Allows]->Obstruction; Appel à l'effet Stroop-[Allows]->Obstruction; Lance à incendie du mensonge-[Leverages]->Obstruction
8,5.2,Comparaison fallacieuse,Abus de langage,5.2,Comparaison fallacieuse,Abus de langage,no,Comparaison incomplète-[Mirrors]->Comparaison incohérente; Classification non exclusive-[Allows]->Comparaison incohérente; Classification non exclusive-[Mirrors]->Distinction sans différence
8,4.1,Causalité douteuse,Erreur de raisonnement,1,Insuffisance,?,YES,Cercle cartésien-[IsRelatedTo]->Insuffisance; Conclusion excessive-[IsRelatedTo]->Insuffisance; Soutien infondé-[IsRelatedTo]->Insuffisance
8,3.1,Généralisation abusive,Erreur mathématique,1,Insuffisance,?,YES,Appel aux petits nombres-[IsRelatedTo]->Insuffisance; Appel à la coïncidence-[IsRelatedTo]->Insuffisance; Biais de représentativité-[IsRelatedTo]->Insuffisance
8,1.2,Préjugé,Insuffisance,2,Influence,?,YES,Argument d'autorité personnelle-[IsRelatedTo]->Influence; Appel à l'assurance-[Leverages]->Influence; Appel à la célébrité-[Leverages]->Influence
7,7.1,Refus du débat,Obstruction,1,Insuffisance,?,YES,Truthiness-[IsRelatedTo]->Insuffisance; Droit à mon opinion-[Leverages]->Insuffisance; Réfutation lapidaire-[IsRelatedTo]->Insuffisance
7,2.3,Manipulation mentale,Influence,6.3,Raisonnement biaisé,Tricherie,YES,Cadrage-[PredatesOn]->Effet de cadrage; Appel à la validation subjective-[PredatesOn]->Validation subjective; Ancrage-[PredatesOn]->Effet d'ancrage
6,7.2,Sabotage du débat,Obstruction,2,Influence,?,YES,Stratégie du chat mort-[Leverages]->Influence; Piège de gratitude-[IsRelatedTo]->Influence; Raison de la majorité-[Leverages]->Influence
